# DelveInfo
DelveInfo.CastingTime:          Spreektijd: {0}
SpellDescription.MonsterRez.DamageDuration:			gedurende {0} s
SpellDescription.SummonMonster.MainDescription:		Wederkeer uit het lijk.
SpellDescription.DamageAdd.MainDescription:			De melee‑aanvallen van het doelwit doen {0} extra {1}.
SpellDescription.DamageShield.MainDescription:		Brengt {0} {1} toe aan vijanden die je in melee raken.
SpellDescription.SpellReflection.MainDescription1:	Weerkaatst spreuken met {0}% kans aan {1}% van de schade en absorbeert {2}% van de veroorzaakte schade.
SpellDescription.SpellReflection.MainDescription2:	Weerkaatst geen melee‑stijlen of schoten van boogschutters.
SpellDescription.SpellReflectionDebuff.MainDescription:		Verwijdert het magische afbuigschild van het doelwit.
SpellDescription.PowerShield.MainDescription:		Als je gezondheid onder {0}% zakt, zet mana om in gezondheid tot {1}% van je maximale leven.
SpellDescription.PowerTransfer.MainDescription:		Verplaatst {0} mana van de spreker naar het doelwit.
SpellDescription.Resurrect.MainDescription:			Verreist en herstelt {0}% gezondheid en {1}% mana (en uithouding) zonder verlies van ervaring of constitutie.
SpellDescription.OffensiveProc.MainDescription:		{0} geeft {1}% kans om een secundaire spreuk te activeren met je melee‑aanvallen:
SpellDescription.DefensiveProc.MainDescription:		{0} geeft {1}% kans om een secundaire spreuk te activeren wanneer je in melee geraakt wordt:
SpellDescription.SpeedEnhancement.MainDescription:	Verhoogt snelheid tot {0}% van normaal.
SpellDescription.SpellShield.MainDescription:		{0} absorbeert 100% magische schade en 70% DoT‑schade wanneer de gezondheid {1}% of lager is.
SpellDescription.StyleBleeding.MainDescription:		Het doelwit lijdt {0} {1} elke {2} s.
SpellDescription.StyleTaunt.Increase:				Daagt het doelwit uit en verhoogt je dreiging met {0}.
SpellDescription.StyleTaunt.Decrease:				Verlaagt de uitdaging en vermindert je dreiging met -{0}.
SpellDescription.Taunt.MainDescription:				Daagt het doelwit uit en verhoogt je dreiging met {0}.
SpellDescription.SummonSpell.MainDescription:		Roept een dienaar op die de oproeper dient. Werkt op wezens tot {0}% van je niveau, max. {1}.
SpellDescription.MeleeAblativeArmor.MainDescription:		Verleent een tijdelijk schild dat {0}% fysieke schade absorbeert tot een maximum van {1}.
SpellDescription.MagicAblativeArmor.MainDescription:		Verleent een tijdelijk schild dat {0}% magische schade absorbeert tot een maximum van {1}.
SpellDescription.BothAblativeArmor.MainDescription:	Verleent een tijdelijk schild dat {0}% van alle schade absorbeert tot een maximum van {1}.
SpellDescription.BattleFeverDurationBuff.MainDescription:	Verlengt de duur van Strijdkoorts met {0}%.
SpellDescription.TankAdrenaline.MainDescription:	Strijdkoorts overspoelt je! Je melee‑slagen missen niet tegen vijanden van jouw niveau en je verdediging en melee‑kracht nemen sterk toe.
SpellDescription.MageAdrenaline.MainDescription:	Strijdkoorts overspoelt je! Verdediging, trefkans van spreuken en spreektijd nemen flink toe en treffers onderbreken je niet.
SpellDescription.StealthAdrenaline.MainDescription:	Strijdkoorts overspoelt je! Je melee‑slagen missen niet tegen vijanden van jouw niveau; verdediging, stealth en kracht op afstand en in melee nemen sterk toe.
SpellDescription.Amnesia.MainDescription:			Doet het monster vergeten wie het aanviel. Onderbreekt vijandige spreuken zonder te verdoven, tenzij weerstaan.
SpellDescription.Mesmerize.MainDescription:			Het doelwit wordt gehypnotiseerd en kan niet handelen.
SpellDescription.Stun.MainDescription:				Verdooft het doelwit gedurende {0} s.
SpellDescription.Charm.MainDescription1:			Poging om een {0} wezen te betoveren.
SpellDescription.Charm.MainDescription2:			Raakt monsters tot {0}% van je niveau, max. {1}.
SpellDescription.CombatHeal.MainDescription:		Heelt {0} schade elke {1} s.
SpellDescription.Confusion.MainDescriptionPositive:	Het wezen heeft {0}% kans om van doelwit te wisselen.
SpellDescription.Confusion.MainDescriptionNegative:	100% kans om van doelwit te wisselen en 75% kans om een bondgenoot aan te vallen.
SpellDescription.PetConversion.MainDescription:		Bevrijdt het doelwit en al je torens in het gebied. Je krijgt {0}% van de mana terug die aan de oproep is besteed.
SpellDescription.CraftingSpeedBuff.MainDescription:	Verhoogt de ambachtssnelheid met {0}%.
SpellDescription.CureDisease.MainDescription:		Verwijdert alle ziekten van het doelwit.
SpellDescription.CureMezz.MainDescription:			Verwijdert alle hypnose‑effecten van het doelwit.
SpellDescription.CureNearsight.MainDescription:		Verwijdert alle nabijzicht‑effecten.
SpellDescription.CurePoison.MainDescription:		Verwijdert alle schade‑over‑tijd‑effecten (zoals gif) van het doelwit.
SpellDescription.DamageSpeedDecrease.MainDescription:		Verlaagt de snelheid met {0}% en brengt {1} {2} toe.
SpellDescription.DamageToPower.MainDescription:		Zet {0}% van ontvangen spreukschade op het doelwit om in mana.
SpellDescription.DeathClaw.MainDescription:			{0} reduceert de gezondheid van de vijand met 90%. Raakt geen geesten, zwakke wezens of doelen boven niveau {1}; verminderd effect op ondoden en bazen.
SpellDescription.EnduranceDrain.MainDescription:	{0}% uithouding wordt van het doelwit gedraineerd en naar de spreker overgezet.
SpellDescription.EnduranceHeal.MainDescription:		Herstelt {0} uithouding.
SpellDescription.Disarm.MainDescription1:			Ontwapent het doelwit gedurende {0} s.
SpellDescription.Disarm.MainDescription2:			Kan niet opnieuw toegepast worden tot na {0} s.
SpellDescription.GroundArea.MainDescription1:		Creëert een “wolk” die iedereen in het gebied treft.
SpellDescription.GroundArea.MainDescription2:		Area‑effect:
SpellDescription.CloudsongFall.MainDescription:		Verlaagt valschade met {0}%.
SpellDescription.DoomHammer.MainDescription:		Brengt {0} {1} toe.
SpellDescription.RampingDamageFocus.SingleTargetNoSnare:	Brengt {0} {1} per puls toe aan het doelwit. Neemt toe met {2}% per puls tot {3}%. Kost {4}% mana per puls.
SpellDescription.RampingDamageFocus.SingleTargetSnare:		Brengt {0} {1} per puls toe en verlaagt snelheid met {5}%. Neemt toe met {2}% tot {3}%. Kost {4}% mana per puls.
SpellDescription.RampingDamageFocus.AoENoSnare:				Brengt {0} {1} per puls toe in een gebied. Neemt toe met {2}% tot {3}%. Kost {4}% mana per puls.
SpellDescription.RampingDamageFocus.AoESnare:				Brengt {0} {1} per puls toe in een gebied en verlaagt snelheid met {5}%. Neemt toe met {2}% tot {3}%. Kost {4}% mana per puls.
SpellDescription.HereticPiercingMagic.MainDescription:		Verhoogt de effectiviteit van de spreuken van het doelwit met {0}% en vermindert volledige resists tegen hogere niveaus.
SpellDescription.SummonNethersbane.MainDescription1:		Roept Nethersbane, de onheilige kling van Arawn, op.
SpellDescription.SummonNethersbane.MainDescription2:		Doet koudeschade.
SpellDescription.SummonIcebrand.MainDescription1:			Roept Icebrand, de schaduw‑doordrenkte onheilige kling, op.
SpellDescription.SummonIcebrand.MainDescription2:			Doet koudeschade.
SpellDescription.GoldenSpearJavelin.MainDescription:		Roept 5 magische werpsperen op.
SpellDescription.OmniHeal.MainDescription:					Geeft {0}% gezondheid, uithouding en mana terug.
SpellDescription.OmniHarm.MainDescription:					Het doelwit verliest {0} uithouding en {1} mana.
SpellDescription.OmniLifeDrain.MainDescription:				Brengt schade toe; geeft de spreker {0}% als gezondheid, {1}% als mana en {2}% als uithouding terug.
SpellDescription.PowerHeal.MainDescription:					Herstelt {0}% van de mana van het doelwit.
SpellDescription.Silence.MainDescription:					Maakt de vijand het zwijgen op voor {0} s.
SpellDescription.IllusionSpell.MainDescription1:			De oproeper creëert {0} {1} illusies die hem omringen en vijanden verwarren.
SpellDescription.IllusionSpell.MainDescription2:			Illusies doen {0}% van de schade van de oproeper, hebben {1}% van zijn maximale gezondheid en verdwijnen na {2} s.
SpellDescription.IllusionSpell.SubDescription1:				De oproeper neemt de vorm van een wezen aan en de {0} illusies delen zijn uiterlijk.
SpellDescription.IllusionSpell.SubDescription2a:			Illusies bewegen met de oproeper mee en bootsen zijn bewegingen, stijlen en spreuken na.
SpellDescription.IllusionSpell.SubDescription2b:			Als de spreker beweegt, verdwijnen de illusies en eindigt de spreuk.
SpellDescription.Bump.MainDescriptionSingle:		Slingert de vijand {0} eenheden omhoog en duwt hem {1}%–{2}% van de maximale afstand vooruit, waardoor hij in de lucht verbluft raakt.
SpellDescription.Bump.MainDescriptionArea:			Duwt alle vijanden binnen {3} eenheden {0} omhoog en {1}%–{2}% vooruit, waarbij ze in de lucht verbluft raken.
SpellDescription.Bump.MainDescriptionCone:			Duwt vijanden in een kegel {0} omhoog en {1}%–{2}% vooruit, waarbij ze in de lucht verbluft raken.
SpellDescription.Conversion.MainDescription:		Zet {0}% van alle ontvangen schade om in gezondheid, uithouding en mana.
SpellDescription.MagicConversion.MainDescription:	Zet {0}% van alle ontvangen magische schade om in gezondheid, uithouding en mana.
SpellDescription.Fury.MainDescription:				Verleent {0}% kans om crowd‑control te weerstaan en verhoogt alle magische weerstanden met {0}%.
SpellDescription.HealthToFatigue.MainDescription:	Verbruikt {0}% van je gezondheid en herstelt {1}% van verloren uithouding.
SpellDescription.Chamber.MainDescription:			Staat toe een kamer voor te laden met een primaire en secundaire spreuk om ze onmiddellijk op het doelwit los te laten.
SpellDescription.Chamber.CanContainBolts:			Kan bliksems/bolts bevatten.
SpellDescription.Chamber.CannotContainBolts:		Kan geen bolts bevatten.
SpellDescription.FocusShell.MainDescription:		Verlaagt ontvangen melee‑ en spreukschade met {0}%.
SpellDescription.FocusShell.OnlyInPvPORvR:			Alleen te gebruiken in RvR‑ of PvP‑zones.
SpellDescription.Powerless.MainDescription:			Staat toe een secundaire spreuk zonder manakosten te werpen.
SpellDescription.Range.MainDescription:				Staat toe een secundaire spreuk met {0}% bereik te werpen.
SpellDescription.Uninterruptable.MainDescription:	Staat toe een secundaire spreuk ononderbreekbaar te werpen, maar vermindert de effectiviteit met {0}%.
SpellDescription.Agony.ConditionDescription:		Vereist dat het doelwit onder “Dread” en “Anguish” staat.
SpellDescription.Doom.ConditionDescription:			Vereist “Dread”, “Anguish” en “Agony”.
SpellDescription.Doom.Expires:						Bij afloop:
SpellDescription.BuffShear.Str:						Verwijdert buffs die Kracht verhogen.
SpellDescription.BuffShear.Dex:						Verwijdert buffs die Behendigheid verhogen.
SpellDescription.BuffShear.Con:						Verwijdert buffs die Constitutie verhogen.
SpellDescription.BuffShear.Acuity:					Verwijdert buffs die Scherpzinnigheid verhogen.
SpellDescription.BuffShear.StrCon:					Verwijdert Kracht/Constitutie‑buffs.
SpellDescription.BuffShear.DexQui:					Verwijdert Behendigheid/Snelheid‑buffs.
SpellDescription.BuffShear.Random:					Verwijdert willekeurig één positieve buff.
SpellDescription.BuffShear.Ablative:				Verwijdert alle ablatieven schilden.
SpellDescription.ResistBuff.MainDescription:				Verhoogt weerstand tegen {0} met {1}%.
SpellDescription.BodySpiritEnergyBuff.MainDescription:		Verhoogt weerstand tegen Lichaam, Geest en Energie met {0}%.
SpellDescription.HeatColdMatterBuff.MainDescription:		Verhoogt weerstand tegen Hitte, Koude en Materie met {0}%.
SpellDescription.AllMagicResistsBuff.MainDescription:		Verhoogt alle magische weerstanden met {0}%.
SpellDescription.SecondaryMagicResistsBuff.MainDescription:	Verhoogt secundaire magische weerstanden met {0}%.
SpellDescription.AllMeleeResistsBuff.MainDescription:		Verhoogt weerstanden tegen melee‑schade met {0}%.
SpellDescription.AllResistsBuff.MainDescription:			Verhoogt alle weerstanden met {0}%.
SpellDescription.EssenceBuff.MainDescription:				Verhoogt weerstand tegen “Essentie”‑schade met {0}%.
SpellDescription.ResistDebuff.MainDescription:				Verlaagt weerstand tegen {0} van het doelwit met {1}%.
SpellDescription.CrushSlashThrustDebuff.MainDescription:	Verlaagt weerstanden tegen melee‑schade met {0}%.
SpellDescription.EssenceDebuff.MainDescription:				Verlaagt weerstanden tegen “Essentie”‑schade.
SpellDescription.DualStatDebuff.MainDescription:			Verlaagt {0} en {1} van het doelwit met {2}.
SpellDescription.DualStatBuff.MainDescription:				Verhoogt {0} en {1} met {2}.
SpellDescription.SingleStatBuff.MainDescription:			Verhoogt {0} met {1}.
SpellDescription.CombatSpeedBuff.MainDescription:			Verhoogt aanvalsnelheid met {0}%.
SpellDescription.FatigueConsumptionBuff.MainDescription:	Acties verbruiken {0}% minder uithouding.
SpellDescription.DPSBuff.MainDescription:					Verhoogt DPS met {0}%.
SpellDescription.MeleeDamageBuff.MainDescription:			Je doet {0}% meer melee‑schade.
SpellDescription.MesmerizeDurationBuff.MainDescription:		Verlaagt de effectiviteit van hypnose‑spreuken met {0}%.
SpellDescription.EvadeChanceBuff.MainDescription:			Verleent {0}% kans om te ontwijken.
SpellDescription.ParryChanceBuff.MainDescription:			Verleent {0}% kans om te pareren.
SpellDescription.WeaponSkillBuff.MainDescription:			Verhoogt vaardigheid met {0} met {1}%.
SpellDescription.StealthSkillBuff.MainDescription:			Verhoogt Stealth‑vaardigheid {0} met {1}%.
SpellDescription.FlexibleSkillBuff.MainDescription:			Verhoogt Flexibel‑vaardigheid {0} met {1}%.
SpellDescription.ResiPierceBuff.MainDescription:			Verleent {0}% kans om magische weerstanden te doorboren.
SpellDescription.CriticalMagicalBuff.MainDescription:		Verhoogt crit‑kans van spreuken met {0}%.
SpellDescription.CriticalMeleeBuff.MainDescription:			Verhoogt crit‑kans in melee met {0}%.
SpellDescription.SingleStatDebuff.MainDescription:			Verlaagt {0} met {1}.
SpellDescription.CombatSpeedDebuff.MainDescription:			Verlaagt aanvalsnelheid van het doelwit met {0}%.
SpellDescription.MeleeDamageDebuff.MainDescription:			Het doelwit doet {0}% minder melee‑schade.
SpellDescription.FatigueConsumptionDebuff.MainDescription:	Verhoogt uithoudingsverbruik in gevecht van het doelwit met {0}%.
SpellDescription.FumbleChanceDebuff.MainDescription:		Verhoogt de kans op uitglijden/fumble van het doelwit met {0}%.
SpellDescription.DPSDebuff.MainDescription:					Verlaagt DPS met {0}%.
SpellDescription.SkillsDebuff.MainDescription:				Verlaagt vaardigheden met {0}%.
SpellDescription.Warlock.SecondarySpell:					Dit is een secundaire spreuk.
SpellDescription.Warlock.PrimarySpell:						Dit is een primaire spreuk.
SpellDescription.AllStatsDebuff.MainDescription:			Verlaagt alle attributen van het doelwit met {0}.
SpellDescription.AllStatsPercentDebuff.MainDescription:		Verlaagt alle attributen van het doelwit met {0}%.
SpellDescription.Morph.MainDescription:						Het doelwit is veranderd in {0}.
SpellDescription.PowerRend.MainDescription:					Het doelwit verliest {0}% van zijn mana.
SpellDescription.SummonAnimistFnF.MainDescription:		Roept een stationaire toren op op je grond‑doel dat vijanden binnen bereik aanvalt.
SpellDescription.Bomber.MainDescription:				Roept een elementaire geest op die naar het doelwit vliegt, ontploft en zijn spreuk bij aankomst werpt.
SpellDescription.SavageParryBuff.MainDescription:		Verhoogt je parreekans met {0}%.
SpellDescription.SavageEvadeBuff.MainDescription:		Verhoogt je ontwijkkans met {0}%.
SpellDescription.SavageCombatSpeedBuff.MainDescription:	Verhoogt je aanvalsnelheid met {0}%.
SpellDescription.SavageDPSBuff.MainDescription:			Verhoogt je melee‑schade met {0}.
SpellDescription.SavageEnduranceHeal.MainDescription:	Je herstelt {0} uithouding ten koste van een deel van je gezondheid.
SpellDescription.Archery.SingleTarget:					Brengt {0} {1} toe aan het doelwit.
SpellDescription.Archery.AreaTarget:					Brengt {0} {1} toe aan het doelwit en omgeving.
SpellDescription.Archery.SecondaryEffectiveness:		De doeltreffendheid van het schot stijgt met {0}%.
SpellDescription.WarlockSpeedDecrease.Frog:				Verandert het doelwit in een kikker!
SpellDescription.MaidenKiss.MainDescription:			Heelt de toestand “Kikker” bij het doelwit.
SpellDescription.ArawnCure.MainDescription:				Heelt gif, ziekte en res‑sickness.
SpellDescription.Fear.SingleTarget:						Zaait angst bij de geselecteerde vijand. Raakt geen pets of doelen boven niveau {0}.
SpellDescription.Fear.AreaTarget:						Zaait angst bij vijandelijke monsters binnen een straal van {1} rond de spreker. Raakt niet boven niveau {0}.
SpellDescription.FearServant.SingleTarget:				Zaait angst bij een vijandelijke pet. Raakt niet boven niveau {0}.
SpellDescription.FearServant.AreaTarget:				Zaait angst bij vijandelijke pets binnen {1}. Raakt niet boven niveau {0}.
SpellDescription.FearServant.SingleTarget&Npc:			Zaait angst bij de geselecteerde vijand. Raakt niet boven niveau {0}.
SpellDescription.FearServant.AreaTarget&Npc:			Zaait angst bij vijanden binnen {1}. Raakt niet boven niveau {0}.
SpellDescription.FearServant.PetDescription:			Onder angst kunnen pets niet bestuurd of vrijgelaten worden door hun meester.
SpellDescription.BainsheePulseDmg.MainDescription:		Het doelwit lijdt {0} {1}.
SpellDescription.BainsheePulseDmg.AreaDescription:		Raakt alle vijanden nabij de spreker.
SpellDescription.BainsheePulseDmg.SecondaryDescription:	Opnieuw werpen tijdens het effect annuleert het. Eindigt als de spreker beweegt.
SpellDescription.BeFriend.MainDescriptionArea:			Betover tijdelijk (tot niveau {0}) nabije monsters zodat ze vriendelijk en bondgenoten worden.
SpellDescription.BeFriend.MainDescriptionSingle:		Betover tijdelijk (tot niveau {0}) het geselecteerde monster zodat het vriendelijk en bondgenoot wordt.
SpellDescription.VampiirStealthDetection.MainDescription:	Verhoogt detectie van sluipende vijanden met {0}%.
SpellDescription.VampiirSkillBonusDeBuff.MainDescription:	Verlaagt tijdelijk de vaardigheidsbonussen van het doelwit gedurende {0} seconden.
SpellDescription.VampiirMeleeResistance.MainDescription:	Verhoogt weerstanden tegen melee‑schade met {0}%.
SpellDescription.VampiirMagicResistance.MainDescription:	Verhoogt de kans om magische schade te weerstaan met {0}%.
SpellDescription.VampiirEffectivenessDeBuff.MainDescription:	Verlaagt tijdelijk de effectiviteit van het doelwit met {0}%.
SpellDescription.VampiirEffectivenessDeBuff.CombatCastable:	In gevecht te werpen.
SpellDescription.VampiirArmorDebuff.MainDescription:		Verlaagt tijdelijk absorptie en pantserscore van een willekeurig stuk (helm, torso of benen) met {0}%.
SpellDescription.VampiirArmorDebuff.AdditionalInfo:			Treft alleen helm, torso of benen.
SpellDescription.VampiirBolt.MainDescription:			Absorbeert {0}% van de mana van het doelwit en zet die om naar de spreker.
SpellDescription.VampiirBolt.MainDescription2:			Raakt geen doelen boven niveau {0}.
SpellDescription.IllusionBlade.Part1:					Roept een spectraal wapen op dat even aan je zijde vecht voordat het verdwijnt.
SpellDescription.IllusionBlade.Part2:					Handelt zelfstandig en kan niet bestuurd, vrijgelaten of geheeld worden.
SpellDescription.RangeShield.MainDescription:			Beschermt de groep van de spreker tegen fysieke aanvallen van boogschutters.
SpellDescription.PetSpell.MainDescription1:				Pet‑spreuken:
SpellDescription.PetSpell.MainDescription2:				Verhoogt de vermelde waarden van het doelwit.
SpellDescription.Ascendance.MainDescription:			Verhoogt de effectiviteit van je spreuken en vaardigheden aanzienlijk met {0}%.
SpellDescription.Ascendance.Restrictions:				Tijdens “Opstijging” kun je geen genezingen of verrijzenissen werpen.
SpellDescription.Ascendance.Interaction:				“Meester van Concentratie” annuleert “Opstijging” en andersom.  
SpellDescription.Occultist.ConditionDescription1:		Kan niet worden geworpen in Chtonische vorm.
SpellDescription.Occultist.ConditionDescription2:		Kan niet worden geworpen in Geest‑ of Krankzinnige vorm.
SpellDescription.Occultist.Summon.UmbralAegis1:			Roept een Gepantserde Aegis op. Uitstekend om te tanken en schade te absorberen.
SpellDescription.Occultist.Summon.UmbralAegis2:			Geestvorm: Aegis krijgt 200‑straal DD, meer pantser, magische absorptie en hogere vechtsnelheid.
SpellDescription.Occultist.Summon.Soultorn1:			Roept een Zielgescheurde op. Doet materieschade maar is kwetsbaar voor magie en fysiek.
SpellDescription.Occultist.Summon.Soultorn2:			Geestvorm: voegt ook materie‑debuff en ziekte toe.
SpellDescription.Occultist.Summon.UmbralHulk1:			Roept een Gepantserde Kolos op, expert in fysieke schade.
SpellDescription.Occultist.Summon.UmbralHulk2:			Geestvorm: krijgt 5 s charge, 3 s rug‑stun en hogere kans op off‑hand.
SpellDescription.Occultist.Summon.ImageOfArawn1:		Roept een Beeltenis van Arawn op. Heelt bondgenoten met enkele heals van 12%.
SpellDescription.Occultist.Summon.ImageOfArawn2:		Geestvorm: voegt genezing van gif, ziekte en res‑sickness toe en kan nabijzicht verwijderen.  
SpellDescription.Occultist.Summon.SuccubusArchDemon1:	Roept een demonische Succubus op die haar doel hypnotiseert.
SpellDescription.Occultist.Summon.SuccubusArchDemon2:	Geestvorm: de Aartsdemon krijgt een sterke Dex/Qui‑debuff en kan nabijzicht verwijderen.
SpellDescription.Occultist.SpiritShapeShift1:			Neemt geestvorm aan. {0}% van ontvangen schade wordt geabsorbeerd en omgezet in mana.
SpellDescription.Occultist.SpiritShapeShift2:			Manaregeneratie +{0} per niveau en stealth‑detectie +{1}%.
SpellDescription.Occultist.SpiritShapeShift3:			Jouw dienaren worden taaier en krijgen extra vaardigheden.
SpellDescription.Occultist.ChtonicShapeShift1:			Belichaamt de Chtonische Ridder. AF +{0} per niveau; gezondheid, AF en wapens +{1}%, melee‑absorptie +{2}% en secundaire magische weerstanden +{3}%.  
