Commands.GM.TextNPC.Description:			TextNPC Commands:
Commands.GM.TextNPC.Usage.Quest:		'/textnpc quest <None/Available/Lesson/Lore/Finish/Pending>' Shows the quest icon on the NPC
Commands.GM.TextNPC.Usage.Quest.Add:			'/textnpc quest add <questName(-goalId-)> <reponse>' To add a quest(optionally goal) as a response and call a new step
Commands.GM.TextNPC.Usage.Quest.Remove:			'/textnpc quest remove <questName(-goalId)> <reponse>' To remove a quest(optionally goal)
Commands.GM.TextNPC.Usage.Level:		'/textnpc level <levelmin> <levelmax>' Set minimum and maximum level players can interact with this NPC
Commands.GM.TextNPC.Usage.Guild.Add:	'/textnpc guild add <guildname>' Add a Guild the NPC cannot interact with (use 'NO GUILD' for non-guilded players)
Commands.GM.TextNPC.Usage.Guild.Remove:			'/textnpc guild remove <guildname>' Remove a Guild the NPC cannot interact with
Commands.GM.TextNPC.Usage.GuilAAdd:			'/textnpc guildA add <guildname>' Add a Guild the NPC can interact with (use 'NO GUILD' for non-guilded players and 'ALL' to allow interactions with all guilds)
Commands.GM.TextNPC.Usage.GuildARemove:			'/textnpc guildA remove <guildname>' Remove a Guild the NPC can interact with
Commands.GM.TextNPC.Usage.RaceAdd:			'/textnpc race add <race name>' Add a Race the NPC cannot interact with
Commands.GM.TextNPC.Usage.RaceRemove:			'/textnpc race remove <race name>' Remove a Race the NPC cannot interact with
Commands.GM.TextNPC.Usage.RaceList:		'/textnpc race list' Display server's Races list while selecting the NPC
Commands.GM.TextNPC.Usage.ClassAdd:			'/textnpc class add <class name>' Add a Class the NPC cannot interact with
Commands.GM.TextNPC.Usage.ClassRemove:			'/textnpc class remove <class name>' Remove a Class the NPC cannot interact with
Commands.GM.TextNPC.Usage.ClassList:		'/textnpc class list' Display server's Classes list while selecting the NPC
Commands.GM.TextNPC.Usage.Hour:		'/textnpc hour <hour min> <hour max>' Set gameserver's time when a NPC is allowed to interact with a player (works as well for random phrases)
Commands.GM.TextNPC.Usage.Condition.List:		'/textnpc condition list' Display the Conditions list of the NPC (the NPC has to be selected)
Commands.GM.TextNPC.Usage.Condition.Help:		'/textnpc condition help' Display more informations about how Conditions works with NPCs (the NPC has to be selected)
Commands.GM.TextNPC.AdditionalDescription:		For every NPC dialog: {0} = Name of the player, {1} = Family name, {2} = Guild name, {3} = Class, {4} = Race
