# SpellHandler
SpellHandler.CancelEffect:			Vous désactivez votre effet.
SpellHandler.DamageToPower.PowerSteal:		Vous volez {0} point{1} de Mana.
SpellHandler.DamageToPower.NoMorePower:		Vous ne pouvez plus absorber davantage de Mana.

SpellHandler.EnduranceDrain.SpellHit:		{0} vous vole {1} d'endurance !
SpellHandler.EnduranceDrain.StealSuccess:	Vous volez {1} d'endurance à {0} !
SpellHandler.EnduranceDrain.StealPoints:	Vous volez {0} point{1} d'endurance.
SpellHandler.EnduranceDrain.CannotAbsorbMore:	Vous ne pouvez pas absorber davantage d'endurance.
SpellHandler.EnduranceHeal.CasterFull:		Votre jauge d'endurance est pleine.
SpellHandler.EnduranceHeal.TargetFull:		{0} a sa jauge d'endurance pleine.
SpellHandler.EnduranceHeal.CasterHealed:	Vous restaurez {0} points d'endurance.
SpellHandler.EnduranceHeal.TargetHealed:	Vous restaurez {0} pour {1} points d'endurance !
SpellHandler.EnduranceHeal.TargetRestored:	Votre endurance a été restaurée de {1} points par {0}.
SpellHandler.EnduranceHeal.TargetTooHigh:	Vous ne pouvez pas lancer une guérison d'endurance si la cible a plus de 90% de sa jauge d'endurance remplie !
SpellHandler.HealthToEndurance.TransferLife:	Vous transférez {0} point(s) de vie en endurance !

SpellHandler.FocusShell.NoPets:			Ce sort ne peut pas être lancé sur les familiers !
SpellHandler.FocusShell.SameRealm:		Ce sort ne fonctionne que sur les membres de votre royaume !
SpellHandler.SummonSpell.PetControl:		Le {0} est maintenant sous votre contrôle.
SpellHandler.SummonNoveltyPet.CannotCastHere:	Vous ne pouvez pas lancer ce sort ici !

SpellHandler.PowerHeal.FullPowerOther:		La jauge de Mana de {0} est pleine !
SpellHandler.PowerHeal.RestorePowerSelf:	Vous restaurez {0} points de Mana.
SpellHandler.PowerHeal.RestorePowerOther:	Vous restaurez {0} de {1} points de Mana !
SpellHandler.PowerHeal.PowerRestored:		Votre Mana a été restaurée par {0} de {1} points.
SpellHandler.PowerTransfer.CannotTransferToSelf:	Vous ne pouvez pas transférer de Mana à vous-même !
SpellHandler.PowerTransfer.TransferSuccess:	Vous transférez {0} points de Mana à {1} !
SpellHandler.PowerTransfer.PowerReceived:	{0} vous transfère {1} points de Mana !
SpellHandler.PowerRegenBuff.NoEffect:		Ce sort n'a aucun effet sur cette classe !

SpellHandler.Silence.AlreadyAffected:		Votre cible est déjà affectée par un effet de ce type !
SpellHandler.SpeedEnhancement.CombatRecent:	Vous avez été en combat récemment, le sort n'a aucun effet sur vous !
SpellHandler.WaterBreathing.StartEffect:	Vous vous trouvez capable de bouger librement et de respirer sous l'eau comme dans l'air !
SpellHandler.WaterBreathing.EndEffect:		Vous buvez la tasse et réalisez soudain que vous n'êtes plus capable de respirer sous l'eau !

SpellHandler.GroundAreaEffect.AlreayActive: Vous avez déjà un effet de sol actif et ne pouvez pas en lancer un autre!

SpellHandler.DelveInfo.Sec:			sec
