# DelveInfo
DelveInfo.CastingTime:          Čas sesílání: {0}
SpellDescription.SummonSpell.MainDescription:		Vyvolá mazlíčka sloužícího vyvolávači. Působí na tvory do {0}% tvé úrovně, max. {1}.
SpellDescription.MeleeAblativeArmor.MainDescription:		Uděluje dočasný štít pohlcující {0}% fyzického poškození až do {1}.
SpellDescription.MagicAblativeArmor.MainDescription:		Uděluje dočasný štít pohlcující {0}% magického poškození až do {1}.
SpellDescription.BothAblativeArmor.MainDescription:	Uděluje dočasný štít pohlcující {0}% veškerého poškození až do {1}.
SpellDescription.BattleFeverDurationBuff.MainDescription:	Prodlužuje trvání Bojové horečky o {0}%.
SpellDescription.TankAdrenaline.MainDescription:	Pohlcuje tě bojová horečka! Tvé zásahy na blízko nemíjí protivníky tvé úrovně a tvá obrana i síla na blízko výrazně rostou.
SpellDescription.MageAdrenaline.MainDescription:	Pohlcuje tě bojová horečka! Obrana, šance zásahu kouzly i rychlost sesílání výrazně rostou a zásahy tě nepřeruší.
SpellDescription.StealthAdrenaline.MainDescription:	Pohlcuje tě bojová horečka! Zásahy na blízko nemíjí nepřátele tvé úrovně a obrana, nenápadnost i síla na dálku i na blízko výrazně rostou.
SpellDescription.Amnesia.MainDescription:			Smaže mysl nestvůry, aby zapomněla, koho napadala. Přeruší probíhající nepřátelská kouzla bez omráčení, pokud neodolá.
SpellDescription.Mesmerize.MainDescription:			Cíl je zhypnotizován a neschopen akce.
SpellDescription.Stun.MainDescription:				Omráčí cíl na {0} s.
SpellDescription.Charm.MainDescription1:			Pokusí se ovládnout tvora {0}.
SpellDescription.Charm.MainDescription2:			Působí na monstra do {0}% tvé úrovně, max. {1}.
SpellDescription.CombatHeal.MainDescription:		Léčí {0} poškození každých {1} s.
SpellDescription.Confusion.MainDescriptionPositive:	Tvor má {0}% šanci změnit cíl.
SpellDescription.Confusion.MainDescriptionNegative:	100% šance změnit cíl a 75% šance zaútočit na spojence.
SpellDescription.PetConversion.MainDescription:		Propustí cíl i všechny tvé věžičky v oblasti. Získáš zpět {0}% many vynaložené na vyvolání mazlíčka.
SpellDescription.CraftingSpeedBuff.MainDescription:	Zvyšuje rychlost řemesla o {0}%.
SpellDescription.CureDisease.MainDescription:		Odstraní všechny nemoci z cíle.
SpellDescription.CureMezz.MainDescription:			Odstraní všechny efekty hypnózy z cíle.
SpellDescription.CureNearsight.MainDescription:		Odstraní veškeré efekty krátkozrakosti.
SpellDescription.CurePoison.MainDescription:		Odstraní všechny efekty poškození v čase (např. jedy) z cíle.
SpellDescription.DamageSpeedDecrease.MainDescription:		Snižuje rychlost o {0}% a uděluje {1} {2}.
SpellDescription.DamageToPower.MainDescription:		Převádí {0}% přijatého kouzelnického poškození na cíli na manu.
SpellDescription.DeathClaw.MainDescription:			{0} sníží zdraví nepřítele o 90%. Neúčinkuje na duchy, slabé tvory ani nad úroveň {1}; snížený účinek na nemrtvé a bossy.
SpellDescription.EnduranceDrain.MainDescription:	{0}% výdrže cíle je vysáto a převedeno na sesílatele.
SpellDescription.EnduranceHeal.MainDescription:		Obnoví {0} výdrže.
SpellDescription.Disarm.MainDescription1:			Od-zbrojí cíl na {0} s.
SpellDescription.Disarm.MainDescription2:			Nelze znovu aplikovat dříve než za {0} s.
SpellDescription.GroundArea.MainDescription1:		Vytvoří „mrak“, který zasáhne všechny v oblasti.
SpellDescription.GroundArea.MainDescription2:		Plošný efekt:
SpellDescription.CloudsongFall.MainDescription:		Snižuje poškození z pádu o {0}%.
SpellDescription.DoomHammer.MainDescription:		Uděluje {0} {1}.
SpellDescription.RampingDamageFocus.SingleTargetNoSnare:	Uděluje {0} {1} při každém pulzu cíli. Zvyšuje se o {2}% na pulz až do {3}%. Stojí {4}% many na pulz.
SpellDescription.RampingDamageFocus.SingleTargetSnare:		Uděluje {0} {1} na pulz a snižuje rychlost o {5}%. Zvyšuje se o {2}% až do {3}%. Stojí {4}% many na pulz.
SpellDescription.RampingDamageFocus.AoENoSnare:				Uděluje {0} {1} na pulz v oblasti. Zvyšuje se o {2}% až do {3}%. Stojí {4}% many na pulz.
SpellDescription.RampingDamageFocus.AoESnare:				Uděluje {0} {1} na pulz v oblasti a snižuje rychlost o {5}%. Zvyšuje se o {2}% až do {3}%. Stojí {4}% many na pulz.
SpellDescription.HereticPiercingMagic.MainDescription:		Zvyšuje účinnost kouzel cíle o {0}% a snižuje úplná odolání proti vyšším úrovním.
SpellDescription.SummonNethersbane.MainDescription1:		Vyvolá Nethersbane, nečistý meč Arawna.
SpellDescription.SummonNethersbane.MainDescription2:		Jeho typ poškození je chlad.
SpellDescription.SummonIcebrand.MainDescription1:			Vyvolá Icebrand, nečistý meč napuštěný stíny.
SpellDescription.SummonIcebrand.MainDescription2:			Jeho typ poškození je chlad.
SpellDescription.GoldenSpearJavelin.MainDescription:		Vyvolá 5 magických oštěpů.
SpellDescription.OmniHeal.MainDescription:					Navrátí {0}% zdraví, výdrž i manu.
SpellDescription.OmniHarm.MainDescription:					Cíl ztratí {0} výdrže a {1} many.
SpellDescription.OmniLifeDrain.MainDescription:				Udělí poškození; vrátí sesílateli {0}% jako zdraví, {1}% jako manu a {2}% jako výdrž.
SpellDescription.PowerHeal.MainDescription:					Obnoví {0}% many cíle.
SpellDescription.Silence.MainDescription:					Umlčí nepřítele na {0} s.
SpellDescription.IllusionSpell.MainDescription1:			Vyvolávač vytvoří {0} {1} iluzí, které jej obklopí a matou nepřátele.
SpellDescription.IllusionSpell.MainDescription2:			Iluzí způsobují {0}% poškození vyvolávače, mají {1}% jeho maxima zdraví a zmizí po {2} s.
SpellDescription.IllusionSpell.SubDescription1:				Vyvolávač přijme podobu tvora a {0} iluzí sdílí jeho vzhled.
SpellDescription.IllusionSpell.SubDescription2a:			Iluzí se pohybují se svým pánem a napodobují jeho pohyby, styly i kouzla.
SpellDescription.IllusionSpell.SubDescription2b:			Pokud se sesílatel pohne, iluzí zmizí a kouzlo skončí.
SpellDescription.Bump.MainDescriptionSingle:		Odmrští nepřítele o {0} jednotek vzhůru a vymrští jej vpřed na {1}%–{2}% max. vzdálenosti; ve vzduchu je omráčen.
SpellDescription.Bump.MainDescriptionArea:			Postrčí všechny nepřátele v poloměru {3} jednotek {0} vzhůru a {1}%–{2}% vpřed; ve vzduchu jsou omráčeni.
SpellDescription.Bump.MainDescriptionCone:			Postrčí nepřátele v kuželu {0} vzhůru a {1}%–{2}% vpřed; ve vzduchu jsou omráčeni.
SpellDescription.Conversion.MainDescription:		Převádí {0}% veškerého přijatého poškození na zdraví, výdrž a manu.
SpellDescription.MagicConversion.MainDescription:	Převádí {0}% veškerého přijatého magického poškození na zdraví, výdrž a manu.
SpellDescription.Fury.MainDescription:				Dává {0}% šanci odolat ovládacím efektům a zvyšuje všechny magické odolnosti o {0}%.
SpellDescription.HealthToFatigue.MainDescription:	Spotřebuje {0}% tvého zdraví a obnoví {1}% ztracené výdrže.
SpellDescription.Chamber.MainDescription:			Umožní před-nabití komory primárním a sekundárním kouzlem a jejich okamžité vypuštění na cíl.
SpellDescription.Chamber.CanContainBolts:			Může obsahovat blesky/bolt kouzla.
SpellDescription.Chamber.CannotContainBolts:		Nemůže obsahovat bolt kouzla.
SpellDescription.FocusShell.MainDescription:		Snižuje přijaté poškození zblízka i od kouzel o {0}%.
SpellDescription.FocusShell.OnlyInPvPORvR:			Použitelné pouze v RvR či PvP zónách.
SpellDescription.Powerless.MainDescription:			Umožní seslat sekundární kouzlo bez nákladů many.
SpellDescription.Range.MainDescription:				Umožní seslat sekundární kouzlo s {0}% dosahem.
SpellDescription.Uninterruptable.MainDescription:	Umožní seslat sekundární kouzlo bez přerušení, ale sníží jeho účinnost o {0}%.
SpellDescription.Agony.ConditionDescription:		Vyžaduje, aby byl cíl pod „Dread“ a „Anguish“.
SpellDescription.Doom.ConditionDescription:			Vyžaduje „Dread“, „Anguish“ a „Agony“.
SpellDescription.Doom.Expires:						Po vypršení:
SpellDescription.BuffShear.Str:						Odstraní posílení zvyšující Sílu.
SpellDescription.BuffShear.Dex:						Odstraní posílení zvyšující Obratnost.
SpellDescription.BuffShear.Con:						Odstraní posílení zvyšující Konstituci.
SpellDescription.BuffShear.Acuity:					Odstraní posílení zvyšující Bystrost.
SpellDescription.BuffShear.StrCon:					Odstraní posílení Síla/Konstituce.
SpellDescription.BuffShear.DexQui:					Odstraní posílení Obratnost/Rychlost.
SpellDescription.BuffShear.Random:					Náhodně odstraní jeden pozitivní buff.
SpellDescription.BuffShear.Ablative:				Odstraní všechny ablativní štíty.
SpellDescription.ResistBuff.MainDescription:				Zvyšuje odolnost vůči {0} o {1}%.
SpellDescription.BodySpiritEnergyBuff.MainDescription:		Zvyšuje odolnost vůči Tělo, Duch a Energie o {0}%.
SpellDescription.HeatColdMatterBuff.MainDescription:		Zvyšuje odolnost vůči Oheň, Chlad a Hmota o {0}%.
SpellDescription.AllMagicResistsBuff.MainDescription:		Zvyšuje všechny magické odolnosti o {0}%.
SpellDescription.SecondaryMagicResistsBuff.MainDescription:	Zvyšuje sekundární magické odolnosti o {0}%.
SpellDescription.AllMeleeResistsBuff.MainDescription:		Zvyšuje odolnosti proti poškození na blízko o {0}%.
SpellDescription.AllResistsBuff.MainDescription:			Zvyšuje všechny odolnosti o {0}%.
SpellDescription.EssenceBuff.MainDescription:				Zvyšuje odolnost proti poškození „Esence“ o {0}%.
SpellDescription.ResistDebuff.MainDescription:				Snižuje odolnost cíle vůči {0} o {1}%.
SpellDescription.CrushSlashThrustDebuff.MainDescription:	Snižuje odolnosti proti poškození na blízko o {0}%.
SpellDescription.EssenceDebuff.MainDescription:				Snižuje odolnost proti poškození „Esence“.
SpellDescription.DualStatDebuff.MainDescription:			Snižuje {0} a {1} cíle o {2}.
SpellDescription.DualStatBuff.MainDescription:				Zvyšuje {0} a {1} o {2}.
SpellDescription.SingleStatBuff.MainDescription:			Zvyšuje {0} o {1}.
SpellDescription.CombatSpeedBuff.MainDescription:			Zvyšuje rychlost útoku o {0}%.
SpellDescription.FatigueConsumptionBuff.MainDescription:	Akce spotřebují o {0}% méně výdrže.
SpellDescription.DPSBuff.MainDescription:					Zvyšuje DPS o {0}%.
SpellDescription.MeleeDamageBuff.MainDescription:			Uděluješ o {0}% více poškození na blízko.
SpellDescription.MesmerizeDurationBuff.MainDescription:		Snižuje účinnost hypnózních kouzel o {0}%.
SpellDescription.EvadeChanceBuff.MainDescription:			Dává {0}% šanci uhnout.
SpellDescription.ParryChanceBuff.MainDescription:			Dává {0}% šanci vykrýt.
SpellDescription.WeaponSkillBuff.MainDescription:			Zvyšuje dovednost s {0} o {1}%.
SpellDescription.StealthSkillBuff.MainDescription:			Zvyšuje dovednost Nenápadnost {0} o {1}%.
SpellDescription.FlexibleSkillBuff.MainDescription:			Zvyšuje dovednost Flexibilní {0} o {1}%.
SpellDescription.ResiPierceBuff.MainDescription:			Dává {0}% šanci prorazit magické odolnosti.
SpellDescription.CriticalMagicalBuff.MainDescription:		Zvyšuje šanci na kritický zásah kouzly o {0}%.
SpellDescription.CriticalMeleeBuff.MainDescription:			Zvyšuje šanci na kritický zásah na blízko o {0}%.
SpellDescription.SingleStatDebuff.MainDescription:			Snižuje {0} o {1}.
SpellDescription.CombatSpeedDebuff.MainDescription:			Snižuje rychlost útoku cíle o {0}%.
SpellDescription.MeleeDamageDebuff.MainDescription:			Cíl uděluje o {0}% méně poškození na blízko.
SpellDescription.FatigueConsumptionDebuff.MainDescription:	Zvyšuje spotřebu výdrže cíle v boji o {0}%.
SpellDescription.FumbleChanceDebuff.MainDescription:		Zvyšuje šanci cíle na chybu (fumble) o {0}%.
SpellDescription.DPSDebuff.MainDescription:					Snižuje DPS o {0}%.
SpellDescription.SkillsDebuff.MainDescription:				Snižuje dovednosti o {0}%.
SpellDescription.Warlock.SecondarySpell:					Toto je sekundární kouzlo.
SpellDescription.Warlock.PrimarySpell:						Toto je primární kouzlo.
SpellDescription.AllStatsDebuff.MainDescription:			Snižuje všechny atributy cíle o {0}.
SpellDescription.AllStatsPercentDebuff.MainDescription:		Snižuje všechny atributy cíle o {0}%.
SpellDescription.Morph.MainDescription:						Cíl byl proměněn v {0}.
SpellDescription.PowerRend.MainDescription:					Cíl ztrácí {0}% své many.
SpellDescription.SummonAnimistFnF.MainDescription:		Vyvolá stacionární věžičku na tvém pozemním cíli, která útočí na nepřátele v dosahu.
SpellDescription.Bomber.MainDescription:				Vyvolá elementárního ducha, který letí k cíli, exploduje a při dopadu sesílá své kouzlo.
SpellDescription.SavageParryBuff.MainDescription:		Zvyšuje tvou šanci vykrýt o {0}%.
SpellDescription.SavageEvadeBuff.MainDescription:		Zvyšuje tvou šanci uhnout o {0}%.
SpellDescription.SavageCombatSpeedBuff.MainDescription:	Zvyšuje tvou rychlost útoku o {0}%.
SpellDescription.SavageDPSBuff.MainDescription:			Zvyšuje tvé poškození na blízko o {0}.
SpellDescription.SavageEnduranceHeal.MainDescription:	Obnovíš {0} výdrže za cenu části svého zdraví.
SpellDescription.Archery.SingleTarget:					Uděluje {0} {1} cíli.
SpellDescription.Archery.AreaTarget:					Uděluje {0} {1} cíli a okolí.
SpellDescription.Archery.SecondaryEffectiveness:		Účinnost výstřelu se zvyšuje o {0}%.
SpellDescription.WarlockSpeedDecrease.Frog:				Promění cíl v žábu!
SpellDescription.MaidenKiss.MainDescription:			Léčí stav „Žába“ z cíle.
SpellDescription.ArawnCure.MainDescription:				Léčí jed, nemoc a res-sickness.
SpellDescription.Fear.SingleTarget:						Vyvolá strach ve zvoleném nepříteli. Neúčinkuje na mazlíčky ani na cíle nad úroveň {0}.
SpellDescription.Fear.AreaTarget:						Vyvolá strach v nepřátelských nestvůrách v poloměru {1} okolo sesílatele. Neúčinkuje nad úroveň {0}.
SpellDescription.FearServant.SingleTarget:				Vyvolá strach v nepřátelském mazlíčkovi. Neúčinkuje nad úroveň {0}.
SpellDescription.FearServant.AreaTarget:				Vyvolá strach v nepřátelských mazlíčcích v poloměru {1}. Neúčinkuje nad úroveň {0}.
SpellDescription.FearServant.SingleTarget&Npc:			Vyvolá strach ve zvoleném nepříteli. Neúčinkuje nad úroveň {0}.
SpellDescription.FearServant.AreaTarget&Npc:			Vyvolá strach v nepřátelích v poloměru {1}. Neúčinkuje nad úroveň {0}.
SpellDescription.FearServant.PetDescription:			Pod strachem nelze mazlíčky ovládat ani propustit.
SpellDescription.BainsheePulseDmg.MainDescription:		Cíl utrpí {0} {1}.
SpellDescription.BainsheePulseDmg.AreaDescription:		Zasáhne všechny nepřátele poblíž sesílatele.
SpellDescription.BainsheePulseDmg.SecondaryDescription:	Opětovné seslání během trvání efekt ruší. Končí, pokud se sesílatel pohne.
SpellDescription.BeFriend.MainDescriptionArea:			Dočasně (až do úrovně {0}) očaruje blízké nestvůry, aby byly přátelské a spojenci.
SpellDescription.BeFriend.MainDescriptionSingle:		Dočasně (až do úrovně {0}) očaruje vybranou nestvůru, aby byla přátelská a spojenec.
SpellDescription.VampiirStealthDetection.MainDescription:	Zvyšuje odhalování nenápadných nepřátel o {0}%.
SpellDescription.VampiirSkillBonusDeBuff.MainDescription:	Snižuje dočasně bonusy cíle po dobu {0} sekund.
SpellDescription.VampiirMeleeResistance.MainDescription:	Zvyšuje odolnosti proti poškození na blízko o {0}%.
SpellDescription.VampiirMagicResistance.MainDescription:	Zvyšuje šanci odolat magickému poškození o {0}%.
SpellDescription.VampiirEffectivenessDeBuff.MainDescription:	Snižuje dočasně efektivitu cíle o {0}%.
SpellDescription.VampiirEffectivenessDeBuff.CombatCastable:	Lze seslat v boji.
SpellDescription.VampiirArmorDebuff.MainDescription:		Dočasně snižuje absorpci a faktor zbroje náhodného kusu (helma, trup nebo nohy) o {0}%.
SpellDescription.VampiirArmorDebuff.AdditionalInfo:			Působí pouze na helmu, trup nebo nohy.
SpellDescription.VampiirBolt.MainDescription:			Vysaje {0}% many cíle a převede ji na sesílatele.
SpellDescription.VampiirBolt.MainDescription2:			Neúčinkuje na cíle nad úroveň {0}.
SpellDescription.IllusionBlade.Part1:					Vyvolá spektrální zbraň, která po tvém boku krátce bojuje, než se rozplyne.
SpellDescription.IllusionBlade.Part2:					Jedná samostatně a nelze ji ovládat, propustit ani léčit.
SpellDescription.RangeShield.MainDescription:			Chrání skupinu sesílatele před fyzickými útoky lučištníků.
SpellDescription.PetSpell.MainDescription1:				Kouzla mazlíčků:
SpellDescription.PetSpell.MainDescription2:				Zvyšuje uvedené hodnoty cíle.
SpellDescription.Ascendance.MainDescription:			Výrazně zvyšuje účinnost tvých kouzel a dovedností o {0}%.
SpellDescription.Ascendance.Restrictions:				Během „Vzestupu“ nelze sesílat léčení ani vzkříšení.
SpellDescription.Ascendance.Interaction:				„Mistr soustředění“ ruší „Vzestup“ a naopak.  
SpellDescription.Occultist.ConditionDescription1:		 Nelze seslat v Chtonické podobě.
SpellDescription.Occultist.ConditionDescription2:		Nelze seslat v podobě Ducha ani Šílence.
SpellDescription.Occultist.Summon.UmbralAegis1:			Vyvolá Obrace-nou Aegis. Výtečná pro tankování a pohlcování poškození.
SpellDescription.Occultist.Summon.UmbralAegis2:			Podoba Ducha: Aegis získá DD s poloměrem 200, více zbroje, magickou absorpci a vyšší rychlost boje.
SpellDescription.Occultist.Summon.Soultorn1:			Vyvolá Rozervanou duši. Uděluje poškození Hmotou, ale je křehká vůči magii i fyziku.
SpellDescription.Occultist.Summon.Soultorn2:			Podoba Ducha: navíc aplikuje debuff Hmota a Nemoc.
SpellDescription.Occultist.Summon.UmbralHulk1:			Vyvolá Obrace-ného Kolosa, odborníka na fyzické poškození.
SpellDescription.Occultist.Summon.UmbralHulk2:			Podoba Ducha: získá 5 s výpad, 3 s omráčení zezadu a vyšší šanci off-hand.
SpellDescription.Occultist.Summon.ImageOfArawn1:		Vyvolá Obraz Arawna. Léčí spojence jednotlivými léčeními o 12%.
SpellDescription.Occultist.Summon.ImageOfArawn2:		Podoba Ducha: přidává léčbu jedu, nemoci a res-sickness a může odstranit krátkozrakost.  
SpellDescription.Occultist.Summon.SuccubusArchDemon1:	Vyvolá démonickou Sukkubu, která hypnotizuje svůj cíl.
SpellDescription.Occultist.Summon.SuccubusArchDemon2:	Podoba Ducha: Arcdémon získá silný Dex/Qui debuff a může odstranit krátkozrakost.
SpellDescription.Occultist.SpiritShapeShift1:			Přijmeš podobu Ducha. {0}% přijatého poškození se pohltí a převede na manu.
SpellDescription.Occultist.SpiritShapeShift2:			Regenerace many +{0} na úroveň a odhalování nenápadných +{1}%.
SpellDescription.Occultist.SpiritShapeShift3:			Tví služebníci jsou odolnější a získají další schopnosti.
SpellDescription.Occultist.ChtonicShapeShift1:			Ztělesníš Chtonického jezdce. AF +{0} na úroveň; zdraví, AF a zbraně +{1}%, absorpce na blízko +{2}% a sekundární magické odolnosti +{3}%.  
SpellDescription.Occultist.ChtonicShapeShift2:			Získáš také schopnost krytí (Parry).
SpellDescription.Occultist.DecrepitShapeShift1:			Ztělesníš Zchátralého mága. Magické poškození +{0}%.
SpellDescription.Occultist.DecrepitShapeShift2:			Absorpce zbroje +{0}%.
SpellDescription.Occultist.DecrepitShapeShift3:			Útočníci na blízko mají {0}% šanci aplikovat Nemoc; tvé hnijící tělo regeneruje a regenerace zdraví +{1}.
