# HOUSING (CS)
House.DBHousePermissions.AccessLevel:			Úroveň přístupu {0}
HousingPlaceItemHandler.PutMoney:				Vlož peníze na účet svého domu.

# /Housing LotMarker
Housing.LotMarker.TargetLotNumber:				Míříš na parcelu číslo {0}.
Housing.LotMarker.ItCanBeBoughtFor:				Lze koupit za {0}.
Housing.LotMarker.ItIsOwnedBy:				Tuto parcelu vlastní {0}.
Housing.LotMarker.YouAlreadyOwnAHouse:			Už vlastníš dům!
Housing.LotMarker.DoYouWantToBuyThisLot1:			Chceš koupit tuto parcelu?
Housing.LotMarker.DoYouWantToBuyThisLot2:			Cena je {0}.
Housing.LotMarker.YouDoNotOwnThisLot:				Tuto parcelu nevlastníš!
Housing.LotMarker.YouAlreadyOwnAnotherLotOrHouse:	Již vlastníš jinou parcelu nebo dům (č. {0}).
Housing.LotMarker.YouJustBoughtThisLotFor:			Právě jsi koupil(a) tuto parcelu za {0}.
Housing.LotMarker.YouDontHaveEnoughMoney:			Nedostatek finančních prostředků!
Housing.LotMarker.ThisItemCantBeSold:				Tento předmět nelze prodat.

Scripts.Player.Housing.BadShieldBanner:			Toto není platný předmět ani prapor.
Scripts.Player.Housing.CantBeSold:				Tento předmět nelze prodat!
Scripts.Player.Housing.CarpetsRemoved:			Tvůj koberec byl odstraněn.
Scripts.Player.Housing.ClearHookPoint:			Chceš odstranit předmět z kotevního bodu?
Scripts.Player.Housing.EnteredHouse:				Vstupuješ do domu číslo {0}.
Scripts.Player.Housing.GardenItemPlaced:			Zahradní předměty umístěny. Zbývá {0} míst.
Scripts.Player.Housing.GardenItemPlacedName:		Polož předmět {0} na svou zahradu.
Scripts.Player.Housing.GardenMaxObjects:			Na svou zahradu jsi umístil(a) 30 předmětů. Žádné místo nezbývá.
Scripts.Player.Housing.GuildNowOwns:				[Cech] {0} nyní vlastní cechovní dům o velikosti {1}!
Scripts.Player.Housing.HookPointAdded:			Tento předmět byl přidán do tvého domu.
Scripts.Player.Housing.HookPointAlready:			Tento kotevní bod už má předmět!
Scripts.Player.Housing.HookPointCleared:			Kotevní bod je nyní prázdný.
Scripts.Player.Housing.HookPointCloser:			Přibliž se co nejblíže k požadované parcele a stiskni „přijmout“.
Scripts.Player.Housing.HookPointID:				ID kotevního bodu je: {0}
Scripts.Player.Housing.HookPointLogged:			Pozice kotevního bodu {0} zaznamenána!
Scripts.Player.Housing.HookPointLogLoc:			Zobrazit kotevní body?
Scripts.Player.Housing.HookPointNot:				Toto není předmět použitelný na kotevních bodech!
Scripts.Player.Housing.HookPointNotPlaced:			Předmět nebyl umístěn na tento kotevní bod.
Scripts.Player.Housing.HouseUseMaterial:			Použij Shift+pravé kliknutí na svůj dům pro změnu vzhledu.
Scripts.Player.Housing.HouseUseMaterial:			Použij Shift+pravé kliknutí na svůj dům pro změnu koberců.
Scripts.Player.Housing.IndoorFloorPlaced:			Umístil(a) jsi {0} na podlahu svého domu.
Scripts.Player.Housing.IndoorItemPlaced:			Vnitřní předmět umístěn. Zbývá {0} místo.
Scripts.Player.Housing.IndoorMaxItems:			Aktuálně máš v domě umístěno {0} předmětů. Další už nelze.
Scripts.Player.Housing.IndoorWallPlaced:			Právě jsi připevnil(a) {0} na stěnu svého domu.
Scripts.Player.Housing.InteriorBannersAdded:		Vnitřní cechovní prapor byl změněn.
Scripts.Player.Housing.InteriorBannersRemoved:		Vnitřní cechovní prapor byl odstraněn.
Scripts.Player.Housing.InteriorShieldsAdded:		Vnitřní cechovní štít byl změněn.
Scripts.Player.Housing.InteriorShieldsRemoved:		Vnitřní cechovní štít byl odstraněn.
Scripts.Player.Housing.LeftHouse:				Opouštíš dům {0}.
Scripts.Player.Housing.LotAlready:				Již vlastníš jinou parcelu nebo dům (č. {0}).
Scripts.Player.Housing.LotBought:				Právě jsi koupil(a) tuto parcelu za {0}!
Scripts.Player.Housing.LotCost:					Lze koupit za {0}.
Scripts.Player.Housing.LotNotItem:				Toto není platný vlastnický list.
Scripts.Player.Housing.LotNotYours:				Tuto parcelu nevlastníš!
Scripts.Player.Housing.LotOffer:				Chceš koupit tuto parcelu? Stojí {0}.
Scripts.Player.Housing.LotTargeted:				Míříš na parcelu číslo {0}.
Scripts.Player.Housing.NotFloorObject:			Tento předmět nelze umístit do horního patra!
Scripts.Player.Housing.NotHookPoint:				Tento předmět nelze umístit na kotevní bod!
Scripts.Player.Housing.NotWallObject:				Tento předmět nelze umístit na stěnu!
Scripts.Player.Housing.OutdoorBannersAdded:		Vnější cechovní prapor byl změněn.
Scripts.Player.Housing.OutdoorBannersRemoved:		Vnější cechovní prapor byl odstraněn.
Scripts.Player.Housing.OutdoorShieldsAdded:		Vnější cechovní štít byl změněn.
Scripts.Player.Housing.OutdoorShieldsRemoved:		Vnější cechovní štít byl odstraněn.
Scripts.Player.Housing.PaidChanges:				Platíš {0} za provedení změn.
Scripts.Player.Housing.PaidNotEnough:			Nemáš dostatek peněz, abys to mohl provést!
Scripts.Player.Housing.PorchAlready:				Tento dům už má verandu!
Scripts.Player.Housing.PorchNone:				Tento dům nemá verandu!
Scripts.Player.Housing.PorchNotItem:				Toto není verandový předmět!
Scripts.Player.Housing.TransferToGuild:			Chceš převést tento dům na {0}?

