
# HOUSING
House.DBHousePermissions.AccessLevel:			Access level {0}
Commands.Players.Housing.HookPointNot:			Ce n'est pas un objet utilisable sur les ancrages!
Commands.Players.Housing.HookPointNotPlaced:		L'objet n'a pas été placé sur cet ancrage.
Commands.Players.Housing.HouseUseMaterial:		Utilisez shift+clic-droit dans votre maison pour changer l'apparence de votre maison.
Commands.Players.Housing.HouseUseMaterial:		Utilisez shift+clic-droit dans votre maison pour changer vos tapis.
Commands.Players.Housing.IndoorFloorPlaced:		Vous avez placé {0} à l'étage de votre maison.
Commands.Players.Housing.IndoorItemPlaced:		Objet intérieur placé. {0} place restante.
Commands.Players.Housing.IndoorMaxItems:			Vous avez actuellement placé {0} objets dans votre maison. Vous ne pouvez plus en placer.
Commands.Players.Housing.IndoorWallPlaced:		Vous venez de placer {0} sur le mur de votre maison.
Commands.Players.Housing.InteriorBannersAdded:		Votre bannière de guilde intérieure a été changée.
Commands.Players.Housing.InteriorBannersRemoved:		Votre bannière de guilde intérieure a été retirée.
Commands.Players.Housing.InteriorShieldsAdded:		Votre emblème de guilde intérieur a été changé.
Commands.Players.Housing.InteriorShieldsRemoved:		Votre emblème de guilde intérieur a été retiré.
Commands.Players.Housing.LeftHouse:			Sortie de la maison {0}.
Commands.Players.Housing.LotAlready:			Vous possédez déjà un autre lot ou une maison (numéro {0})
Commands.Players.Housing.LotBought:			Vous venez d'acheter ce lot pour {0} !
Commands.Players.Housing.LotCost:				Il peut être acheté pour {0}.
Commands.Players.Housing.LotNotItem:			Ce n'est pas un acte de propriété valide.
Commands.Players.Housing.LotNotYours:			Vous ne possédez pas ce lot !
Commands.Players.Housing.LotOffer:			Voulez-vous acheter ce lot ? Il coûte {0}.
Commands.Players.Housing.LotTargeted:			Vous sélectionnez le lot numéro {0}.
Commands.Players.Housing.NotFloorObject:			Cet objet ne peut pas être placé à l'étage !
Commands.Players.Housing.NotHookPoint:			Cet objet ne peut pas être placé sur l'ancrage !
Commands.Players.Housing.NotWallObject:			Cet objet ne peut pas être placé sur le mur !
Commands.Players.Housing.OutdoorBannersAdded:		Votre bannière de guilde extérieure a été changée.
Commands.Players.Housing.OutdoorBannersRemoved:		Votre bannière de guilde extérieure a été retirée.
Commands.Players.Housing.OutdoorShieldsAdded:		Votre emblème de guilde extérieur a été changé.
Commands.Players.Housing.OutdoorShieldsRemoved:		Votre emblème de guilde extérieur a été retiré.
Commands.Players.Housing.PaidChanges:			Vous payez {0} pour effectuer les changements.
Commands.Players.Housing.PaidNotEnough:			Vous n'avez pas assez d'argent pour faire cela !
Commands.Players.Housing.PorchAlready:			Cette maison a déjà un porche !
Commands.Players.Housing.PorchNone:			Cette maison ne contient pas de porche !
Commands.Players.Housing.PorchNotItem:			Ce n'est pas un objet pour le porche !
Commands.Players.Housing.TransferToGuild:			Vous voulez transférer cette maison à {0} ?



