# /SkillBase
SkillBase.RegisterPropertyNames.Acuity:               Acuité
SkillBase.RegisterPropertyNames.Darkness:            Ténèbres
SkillBase.RegisterPropertyNames.DarknessFocus:         Focus : Ténèbres
SkillBase.RegisterPropertyNames.DeathServant:         Servitor Mortis
SkillBase.RegisterPropertyNames.DeathservantFocus:      Focus : Servitor Mortis
SkillBase.RegisterPropertyNames.Deathsight:            Visio Mortis
SkillBase.RegisterPropertyNames.DeathsightFocus:     Focus : Visio Mortis
SkillBase.RegisterPropertyNames.DebuffEffectivness:      Réduction d'efficacité
SkillBase.RegisterPropertyNames.DefensiveBonus:         Bonus de défense (PvE Uniquement)
SkillBase.RegisterPropertyNames.Dementia:            Démence
SkillBase.RegisterPropertyNames.Dexterity:            Dexterité
SkillBase.RegisterPropertyNames.DexterityBonusCap:      Bonus au cap de Dexterité
SkillBase.RegisterPropertyNames.DualWield:            Deux Armes
SkillBase.RegisterPropertyNames.EarthMagic:            Voie de la Terre
SkillBase.RegisterPropertyNames.EarthMagicFocus:      Focus : Voie de la Terre
SkillBase.RegisterPropertyNames.EffectiveLevel:         Niveau effectif
SkillBase.RegisterPropertyNames.Empathy:            Empathie
SkillBase.RegisterPropertyNames.EmpathyBonusCap:      Bonus au cap d'Empathie
SkillBase.RegisterPropertyNames.Enchantment:         Enchantements
SkillBase.RegisterPropertyNames.EnchantmentFocus:      Focus : Enchantements
SkillBase.RegisterPropertyNames.EnduranceRegeneration:   Régénération d'endurance
SkillBase.RegisterPropertyNames.Energy:               Résistance à l'Energie
SkillBase.RegisterPropertyNames.Enhancement:         Bénédictions
SkillBase.RegisterPropertyNames.Envenom:            Empoisonner
SkillBase.RegisterPropertyNames.EtherealShriek:         Cri Ethéré
SkillBase.RegisterPropertyNames.EtherealShriekFocus:   Focus : Cri Ethéré
SkillBase.RegisterPropertyNames.EvadeChance:         Chance d'Esquive
SkillBase.RegisterPropertyNames.ExperienceLoss:         Réduction de perte d'expérience
SkillBase.RegisterPropertyNames.Fatigue:            Endurance
SkillBase.RegisterPropertyNames.FireMagic:            Voie du Feu
SkillBase.RegisterPropertyNames.FireMagicFocus:         Focus : Voie du Feu
SkillBase.RegisterPropertyNames.FistWraps:            Bandages
SkillBase.RegisterPropertyNames.FlexibleWeapon:         Flexibles
SkillBase.RegisterPropertyNames.FumbleChance:         Chances de rater lamentablement
SkillBase.RegisterPropertyNames.Hammer:              Marteau
SkillBase.RegisterPropertyNames.HandToHand:            Contact
SkillBase.RegisterPropertyNames.HealingEffectiveness:   Bonus à l'efficacité des soins
SkillBase.RegisterPropertyNames.HealthRegeneration:      Régéneration des points de vie
SkillBase.RegisterPropertyNames.Heat:              Résistance à la Chaleur
SkillBase.RegisterPropertyNames.Hexing:               Maléfices
SkillBase.RegisterPropertyNames.HexingFocus:         Focus : Maléfices
SkillBase.RegisterPropertyNames.HitPointsBonusCap:      Bonus au cap des points de vie
SkillBase.RegisterPropertyNames.Hits:               Points de vie
SkillBase.RegisterPropertyNames.Instruments:         Instruments
SkillBase.RegisterPropertyNames.Intelligence:         Intelligence
SkillBase.RegisterPropertyNames.IntelligenceBonusCap:   Bonus au cap d'Intelligence
SkillBase.RegisterPropertyNames.LargeWeapon:         Grandes Armes
SkillBase.RegisterPropertyNames.LeftAxe:           Hache Sénestre
SkillBase.RegisterPropertyNames.LightMagic:            Voie du Soleil
SkillBase.RegisterPropertyNames.LightMagicFocus:      Focus : Voie du Soleil
SkillBase.RegisterPropertyNames.Longbows:            Arc Long
SkillBase.RegisterPropertyNames.MagicDamageBonus:      Bonus aux dégâts magiques
SkillBase.RegisterPropertyNames.Magnetism:            Force Tellurique
SkillBase.RegisterPropertyNames.ManaMagic:            Voie de la Lune
SkillBase.RegisterPropertyNames.ManaMagicFocus:        Focus : Voie de la Lune
SkillBase.RegisterPropertyNames.Matter:               Résistance à la Matière
SkillBase.RegisterPropertyNames.MatterMagic:         Manipulation
SkillBase.RegisterPropertyNames.MatterMagicFocus:      Focus : Manipulation
SkillBase.RegisterPropertyNames.MaulerStaff:         Bâton de Kan-Laresh
SkillBase.RegisterPropertyNames.MaximumSpeed:         Vitesse maximum
SkillBase.RegisterPropertyNames.MeleeDamage:         Bonus aux dégâts de mêlée
SkillBase.RegisterPropertyNames.MeleeSpeed:            Bonus à la vitesse de mêlée
SkillBase.RegisterPropertyNames.Mending:            Reconstitution
SkillBase.RegisterPropertyNames.Mentalism:            Empathie
SkillBase.RegisterPropertyNames.MentalismFocus:         Focus : Empathie
SkillBase.RegisterPropertyNames.MesmerizeDuration:      Durée d'Hypnotisme
SkillBase.RegisterPropertyNames.MindMagic:            Âme
SkillBase.RegisterPropertyNames.MindMagicFocus:         Focus : Âme
SkillBase.RegisterPropertyNames.Music:               Musique
SkillBase.RegisterPropertyNames.Nature:               Croissance
SkillBase.RegisterPropertyNames.SpellFumbleChance:		Chance d'échapper aux sorts
SkillBase.RegisterPropertyNames.NegativeReduction:    Réduction de la durée des effets négatifs (PvE Uniquement)
SkillBase.RegisterPropertyNames.NightshadeMagic:      Magie de l'Ombre
SkillBase.RegisterPropertyNames.Nurture:            Symbiose
SkillBase.RegisterPropertyNames.OdinsWill:            Volonté d'Odin
SkillBase.RegisterPropertyNames.Pacification:         Apaisement
SkillBase.RegisterPropertyNames.Painworking:         Dolor Inflictus
SkillBase.RegisterPropertyNames.PainworkingFocus:      Focus : Dolor Inflictus
SkillBase.RegisterPropertyNames.Parry:               Parade
SkillBase.RegisterPropertyNames.ParryChance:         Chance de Parade
SkillBase.RegisterPropertyNames.Pathfinding:         Art des Forêts
SkillBase.RegisterPropertyNames.PhantasmalWail:         Lamentation Sépulcrale
SkillBase.RegisterPropertyNames.PhantasmalWailFocus:   Focus : Lamentation Sépulcrale
SkillBase.RegisterPropertyNames.PieceAblative:         Ablatif (PvE Uniquement)
SkillBase.RegisterPropertyNames.Piercing:            Perforant
SkillBase.RegisterPropertyNames.Piety:               Piété
SkillBase.RegisterPropertyNames.PietyBonusCap:         Bonus au cap de Piété
SkillBase.RegisterPropertyNames.Polearms:            Armes d'Hast
SkillBase.RegisterPropertyNames.Power:               Mana
SkillBase.RegisterPropertyNames.PowerBonusCap:         Bonus au cap des points de mana
SkillBase.RegisterPropertyNames.PowerPool:            Réserve de mana
SkillBase.RegisterPropertyNames.PowerRegeneration:      Régénération des points de mana
SkillBase.RegisterPropertyNames.PowerStrikes:         Coups Puissants
SkillBase.RegisterPropertyNames.Quickness:            Vivacité
SkillBase.RegisterPropertyNames.QuicknessBonusCap:      Bonus au cap de Vivacité
SkillBase.RegisterPropertyNames.RangedDamage:         Tous dégâts à distance
SkillBase.RegisterPropertyNames.ReactionaryStyleDamage:   Bonus aux styles réactionnels (PvE Uniquement)
SkillBase.RegisterPropertyNames.RecurvedBow:         Arc Recourbé
SkillBase.RegisterPropertyNames.Regrowth:           Régénération
SkillBase.RegisterPropertyNames.Rejuvenation:         Guérison
SkillBase.RegisterPropertyNames.ResistPierce:         Ignore les défenses magiques
SkillBase.RegisterPropertyNames.Runecarving:         Runes d'Odin
SkillBase.RegisterPropertyNames.RunecarvingFocus:      Focus : Runes d'Odin
SkillBase.RegisterPropertyNames.Savagery:           Sauvagerie
SkillBase.RegisterPropertyNames.Scythe:              Faux
SkillBase.RegisterPropertyNames.ShadowMastery:         Maîtrise des Ombres
SkillBase.RegisterPropertyNames.Shields:            Boucliers
SkillBase.RegisterPropertyNames.ShortBow:            Arc Court
SkillBase.RegisterPropertyNames.Slash:               Résistance Tranchant
SkillBase.RegisterPropertyNames.Slashing:            Tranchant
SkillBase.RegisterPropertyNames.Smiting:            Colère Divine
SkillBase.RegisterPropertyNames.Soulrending:         Tourment d'Âme
SkillBase.RegisterPropertyNames.Spear:               Lance
SkillBase.RegisterPropertyNames.SpectralForce:         Force Spectrale
SkillBase.RegisterPropertyNames.SpectralForceFocus:      Focus : Force Spectrale
SkillBase.RegisterPropertyNames.SpectralGuard:         Défense Spectrale
SkillBase.RegisterPropertyNames.SpeedDecreaseDuration:   Durée de Ralentissement de Déplacement
SkillBase.RegisterPropertyNames.SpellDuration:         Durée des Sorts
SkillBase.RegisterPropertyNames.SpellPowerCost:         Réduction des Coûts en Mana des Sorts (PvE Uniquement)
SkillBase.RegisterPropertyNames.SpellRange:            Portée de Sort
SkillBase.RegisterPropertyNames.Spirit:               Résistance à l'Esprit
SkillBase.RegisterPropertyNames.SpiritMagic:         Voie du Simulacre
SkillBase.RegisterPropertyNames.SpiritMagicFocus:      Focus : Voie du Simulacre
SkillBase.RegisterPropertyNames.Staff:               Bâton
SkillBase.RegisterPropertyNames.StatBuffSpells:         Tous les Sorts d'Augmentation
SkillBase.RegisterPropertyNames.Stealth:            Furtivité
SkillBase.RegisterPropertyNames.Stormcalling:         Ire de Thor
SkillBase.RegisterPropertyNames.Strength:            Force
SkillBase.RegisterPropertyNames.StrengthBonusCap:      Bonus au cap de Force
SkillBase.RegisterPropertyNames.StunDuration:         Durée des Stun
SkillBase.RegisterPropertyNames.StyleCostReduction:      Réduction des Coûts d'endurance des Styles de Combat (PvE Uniquement)
SkillBase.RegisterPropertyNames.StyleDamage:         Bonus aux Dégâts des Styles de Combat
SkillBase.RegisterPropertyNames.Summoning:            Servants de Hel
SkillBase.RegisterPropertyNames.SummoningFocus:         Focus : Servants de Hel
SkillBase.RegisterPropertyNames.Suppression:         Affaiblissement
SkillBase.RegisterPropertyNames.SuppressionFocus:      Focus : Affaiblissement
SkillBase.RegisterPropertyNames.Sword:               Epée
SkillBase.RegisterPropertyNames.ThrownWeapons:         Armes de Jet
SkillBase.RegisterPropertyNames.Thrust:               Résistance à l'Estoc
SkillBase.RegisterPropertyNames.Thrusting:            Estoc
SkillBase.RegisterPropertyNames.ToHitBonus:            Chances de toucher (PvE Uniquement)
SkillBase.RegisterPropertyNames.TwoHanded:            Deux Mains
SkillBase.RegisterPropertyNames.Valor:               Vaillance
SkillBase.RegisterPropertyNames.VampiiricEmbrace:      Etreinte
SkillBase.RegisterPropertyNames.Verdant:            Voie de la Verdure
SkillBase.RegisterPropertyNames.VerdantFocus:         Focus : Voie de la Verdure
SkillBase.RegisterPropertyNames.VoidMagic:            Voie du Vide
SkillBase.RegisterPropertyNames.VoidMagicFocus:         Focus : Voie du Vide
SkillBase.RegisterPropertyNames.WeaponSkill:         Bonus à l'attaque (Weaponskill)
SkillBase.RegisterPropertyNames.WindMagic:            Voie de l'Air
SkillBase.RegisterPropertyNames.WindMagicFocus:         Focus : Voie de l'Air
SkillBase.RegisterPropertyNames.Witchcraft:            Artifices
SkillBase.RegisterPropertyNames.WitchcraftFocus:      Focus : Artifices

SkillBase.RegisterPropertyNames.KeepDamage:				Bonus Dommages contre les Forts
SkillBase.RegisterPropertyNames.DPS:					Augmentation du DPS
SkillBase.RegisterPropertyNames.MagicAbsorption:		Absorption Magique
SkillBase.RegisterPropertyNames.MaxHealth:				Points de Vie Max
SkillBase.RegisterPropertyNames.MaxMana:				Points de Mana Max
SkillBase.RegisterPropertyNames.MissHit:				Bonus de Coup Manqué
SkillBase.RegisterPropertyNames.WaterSpeed:				Bonus de Vitesse de Nage

SkillBase.RegisterPropertyNames.Essence:				Résistance à l'Essence
SkillBase.RegisterPropertyNames.CraftingSkillGain:		Bonus de Gain en Artisanat
SkillBase.RegisterPropertyNames.CraftingSpeed:			Vitesse de l'Artisanat
SkillBase.RegisterPropertyNames.CounterAttack:			Chance de Contre-Attaque
SkillBase.RegisterPropertyNames.RobberyResist:			Chance d'éviter les Vols
SkillBase.RegisterPropertyNames.MythicalStrCap:			Bonus Mythique Cap de Force
SkillBase.RegisterPropertyNames.MythicalDexCap:			Bonus Mythique Cap de Dexterité
SkillBase.RegisterPropertyNames.MythicalConCap:			Bonus Mythique Cap de Constitution
SkillBase.RegisterPropertyNames.MythicalQuiCap:			Bonus Mythique Cap de Vivacité
SkillBase.RegisterPropertyNames.MythicalIntCap:			Bonus Mythique Cap d'Intelligence
SkillBase.RegisterPropertyNames.MythicalPieCap:			Bonus Mythique Cap de Piété
SkillBase.RegisterPropertyNames.MythicalEmpCap:			Bonus Mythique Cap d'Empathie
SkillBase.RegisterPropertyNames.MythicalChaCap:			Bonus Mythique Cap de Charisme
SkillBase.RegisterPropertyNames.MythicalAcuCap:			Bonus Mythique Cap d'Acuité
SkillBase.RegisterPropertyNames.BodyCap:				Bonus au Cap Résistance au Corps
SkillBase.RegisterPropertyNames.ColdCap:				Bonus au Cap Résistance au Froid
SkillBase.RegisterPropertyNames.CrushCap:				Bonus au Cap Résistance Contondant
SkillBase.RegisterPropertyNames.EnergyCap:				Bonus au Cap Résistance à l'Energie
SkillBase.RegisterPropertyNames.HeatCap:				Bonus au Cap Résistance à la Chaleur
SkillBase.RegisterPropertyNames.MatterCap:				Bonus au Cap Résistance à la Matière
SkillBase.RegisterPropertyNames.SlashCap:				Bonus au Cap Résistance Tranchant
SkillBase.RegisterPropertyNames.SpiritCap:				Bonus au Cap Résistance à l'Esprit
SkillBase.RegisterPropertyNames.ThrustCap:				Bonus au Cap Résistance à l'Estoc
SkillBase.RegisterPropertyNames.MythicalCrowdDuration:	Réduction Durée des Sorts de Contrôle
SkillBase.RegisterPropertyNames.LootChance:				Chance de Loot
SkillBase.RegisterPropertyNames.MythicalOmniRegen: 		Bonus Mythique de Régénération
SkillBase.RegisterPropertyNames.MythicalTension: 		Bonus Mythique de Tension
SkillBase.RegisterPropertyNames.SpellShieldChance:		Chance de Blindage Contre les Sorts
SkillBase.RegisterPropertyNames.MythicalSpellReflect: 	Bonus Mythique de Renvoi de Sort
SkillBase.RegisterPropertyNames.MythicalSafeFall: 		Bonus Mythique de Résistance aux Chutes
SkillBase.RegisterPropertyNames.MythicalDiscumbering:	Bonus Mythique Encombrement
SkillBase.RegisterPropertyNames.MythicalCoin:			Bonus Mythique de Butin
SkillBase.RegisterPropertyNames.SpellLevel:				Bonus de niveau des Sorts
SkillBase.RegisterPropertyNames.Conversion:				Conversion
SkillBase.RegisterPropertyNames.ExtraHp:				Bonus Mythique de Points de Vie
SkillBase.RegisterPropertyNames.StyleAbsorb:			Bonus Mythique Absorption Dégâts Physiques
SkillBase.RegisterPropertyNames.ArcaneSyphon:			Arcane Syphon
SkillBase.RegisterPropertyNames.RealmPoints:			Bonus Mythique Points de Royaume
SkillBase.RegisterPropertyNames.BountyPoints:			Bonus Mythique Gains en Bounty Points
SkillBase.RegisterPropertyNames.ExperiencePoints:		Bonus Mythique Expérience

SkillBase.RegisterPropertyNames.RobberyChanceBonus:         Bonus Chance de Vol
SkillBase.RegisterPropertyNames.RobberyDelayReduction:      Réduction de temps de recharge de Vol
SkillBase.RegisterPropertyNames.StealthEffectivenessBonus:  Bonus Furtivité
SkillBase.RegisterPropertyNames.StealthDetectionBonus:      Bonus détection de Furtivité

SkillBase.RegisterPropertyNames.Skill_Learning:			Apprentissage
