
# DelveInfo
DelveInfo.CastingTime:          Durée d'incantation : {0}
SpellDescription.OmniHarm.MainDescription:					La cible perd aussi {0} point(s) d'endurance et {1} point(s) de mana.
SpellDescription.OmniLifeDrain.MainDescription:				Inflige des dégâts à la cible. {0}% des dégâts sont rendus sous forme de vie, {1}% sous forme de mana et {2}% sous forme d'endurance au lanceur du sort.
SpellDescription.PowerHeal.MainDescription:					Restaure {0}% de la réserve de mana de la cible.
SpellDescription.Silence.MainDescription:					L'ennemi est réduit au silence et ne peut pas lancer de sorts pendant {0} secondes.
SpellDescription.IllusionSpell.MainDescription1:			L'invocateur crée {0} illusions {1} pour l'entourer, déstabilisant ainsi ses adversaires.
SpellDescription.IllusionSpell.MainDescription2:			Les illusions infligent {0}% des dégâts de l'invocateur, possèdent {1}% des points de vie max de l'invocateur, et disparaissent après {2} secondes.
SpellDescription.IllusionSpell.SubDescription1:				L'invocateur est métamorphosé en une créature, et les {0} illusions invoquées partagent la même apparence.
SpellDescription.IllusionSpell.SubDescription2a:			Les illusions se déplacent suivant l'invocateur, imitant ses mouvements, styles et sorts.
SpellDescription.IllusionSpell.SubDescription2b:			Les illusions disparaissent immédiatement et le sort prend fin si le lanceur se déplace.
SpellDescription.Bump.MainDescriptionSingle:		Projette l'ennemi ciblé à {0} unités de hauteur dans les airs et le lance en avant entre {1}% et {2}% de la distance de lancer maximale, l'étourdissant en plein vol.
SpellDescription.Bump.MainDescriptionArea:			Tous les ennemis situés dans un rayon de {3} unités sont projetés à {0} unités de hauteur puis lancés en avant entre {1}% et {2}% de la distance de lancer maximale, les laissant étourdis en plein vol.
SpellDescription.Bump.MainDescriptionCone:			Les ennemis situés dans un cône face au lanceur du sort sont propulsés à {0} unités de hauteur et envoyés en avant entre {1}% et {2}% de la distance de lancer maximale, les laissant étourdis en plein vol.
SpellDescription.Conversion.MainDescription:		{0}% de tous les types de dégâts subis sont convertis en santé, endurance et mana.
SpellDescription.MagicConversion.MainDescription:	{0}% de tous les dégâts magiques subis sont convertis en santé, endurance et mana.
SpellDescription.Fury.MainDescription:				Confère une chance de {0}% de dévier les sorts de contrôle, et augmente toutes les résistances magiques de {0}%.
SpellDescription.HealthToFatigue.MainDescription:	La cible consomme {0}% de ses points de vie et récupère {1}% d'endurance perdue.
SpellDescription.Chamber.MainDescription:			Vous permet de précharger une chambre contenant un sort principal et un sort secondaire qui peuvent être déchargés instantanément sur votre cible.
SpellDescription.Chamber.CanContainBolts:			Peut contenir des projectiles.
SpellDescription.Chamber.CannotContainBolts:		Ne peut pas contenir de projectiles.
SpellDescription.FocusShell.MainDescription:		Tous les dégâts de mêlée et de sorts infligés à la cible sont réduits de {0}%.
SpellDescription.FocusShell.OnlyInPvPORvR:			Ce sort ne peut être utilisé que dans les zones RvR ou PvP.
SpellDescription.Powerless.MainDescription:			Vous permet d'incanter un sort secondaire sans dépenser de mana.
SpellDescription.Range.MainDescription:				Vous permet d'incanter un sort secondaire à {0}% de portée.
SpellDescription.Uninterruptable.MainDescription:	Vous permet d'incanter un sort secondaire sans être interrompu mais réduit son efficacité de {0}%.
SpellDescription.Agony.ConditionDescription:		La cible doit être sous l'effet de « Dread » et « Anguish » pour lancer ce sort.
SpellDescription.Doom.ConditionDescription:			La cible doit être sous l'effet de « Dread », « Anguish » et « Agony » pour lancer ce sort.
SpellDescription.Doom.Expires:						A l'expiration du sort :
SpellDescription.BuffShear.Str:						Supprime les effets de sort bénéfiques augmentant la Force de la cible.
SpellDescription.BuffShear.Dex:						Supprime les effets de sort bénéfiques augmentant la Dextérité de la cible.
SpellDescription.BuffShear.Con:						Supprime les effets de sort bénéfiques augmentant la Constitution de la cible.
SpellDescription.BuffShear.Acuity:					Supprime les effets de sort bénéfiques augmentant la Clairvoyance de la cible.
SpellDescription.BuffShear.StrCon:					Supprime les effets de sort bénéfiques augmentant la Force/Constitution de la cible.
SpellDescription.BuffShear.DexQui:					Supprime les effets de sort bénéfiques augmentant la Dextérité/Vivacité de la cible.
SpellDescription.BuffShear.Random:					Supprime aléatoirement un effet de sort bénéfique de la cible.
SpellDescription.BuffShear.Ablative:				Supprime tous les boucliers ablatifs présents sur la cible.
SpellDescription.ResistBuff.MainDescription:				Augmente la résistance de la cible aux {0} de {1}%.
SpellDescription.BodySpiritEnergyBuff.MainDescription:		Augmente la résistance de la cible aux dégâts de corps, d'esprit et d'énergie de {0}%.
SpellDescription.HeatColdMatterBuff.MainDescription:		Augmente la résistance de la cible aux dégâts de chaleur, de froid et de matière de {0}%.
SpellDescription.AllMagicResistsBuff.MainDescription:		Augmente la résistance de la cible à tous les dégâts magiques de {0}%.
SpellDescription.SecondaryMagicResistsBuff.MainDescription:	Augmente les résistances magiques secondaires de la cible de {0}%.
SpellDescription.AllMeleeResistsBuff.MainDescription:		Augmente la résistance de la cible à tous les dégâts de mêlée de {0}%.
SpellDescription.AllResistsBuff.MainDescription:			Augmente la résistance de la cible à tous les types de dégâts de {0}%.
SpellDescription.EssenceBuff.MainDescription:				Augmente la résistance de la cible aux dégâts de type « essence » de {0}%.
SpellDescription.ResistDebuff.MainDescription:				Réduit la résistance de la cible aux {0} de {1}%.
SpellDescription.CrushSlashThrustDebuff.MainDescription:	Réduit les résistances de la cible aux dégâts de mêlée de {0}%.
SpellDescription.EssenceDebuff.MainDescription:				Réduit les résistances de la cible aux dégâts de type « essence » de {0}%.
SpellDescription.DualStatDebuff.MainDescription:			Réduit {0} et {1} de la cible de {2}.
SpellDescription.DualStatBuff.MainDescription:				Augmente {0} et {1} de {2}.
SpellDescription.SingleStatBuff.MainDescription:			Augmente {0} de {1}.
SpellDescription.CombatSpeedBuff.MainDescription:			Augmente la vitesse d'attaque de {0}%.
SpellDescription.FatigueConsumptionBuff.MainDescription:	Les actions nécessitent {0}% d'endurance en moins.
SpellDescription.DPSBuff.MainDescription:					Augmente le DPS de {0}%.
SpellDescription.MeleeDamageBuff.MainDescription:			Vous infligez {0}% de dégâts de mêlée supplémentaires.
SpellDescription.MesmerizeDurationBuff.MainDescription:		Réduit l'efficacité des sorts d'hypnose de {0}%.
SpellDescription.EvadeChanceBuff.MainDescription:			Octroie {0}% de chance d'esquiver les attaques.
SpellDescription.ParryChanceBuff.MainDescription:			Octroie {0}% de chance de parer les attaques.
SpellDescription.WeaponSkillBuff.MainDescription:			Augmente la compétence en Armes de {0} de {1}%.
SpellDescription.StealthSkillBuff.MainDescription:			Augmente la compétence de Furtivité de {0} de {1}%.
SpellDescription.FlexibleSkillBuff.MainDescription:			Augmente la compétence Flexible de {0} de {1}%.
SpellDescription.ResiPierceBuff.MainDescription:			Vous accorde {0}% de chance de pénétrer les résistances magiques.
SpellDescription.CriticalMagicalBuff.MainDescription:		Augmente les chances de critique des sorts de la cible de {0}%.
SpellDescription.CriticalMeleeBuff.MainDescription:			Augmente la chance de coup critique en mêlée de la cible de {0}%.
SpellDescription.SingleStatDebuff.MainDescription:			Réduit {0} de {1}.
SpellDescription.CombatSpeedDebuff.MainDescription:			La vitesse d'attaque de la cible est réduite de {0}%.
SpellDescription.MeleeDamageDebuff.MainDescription:			La cible inflige {0}% de dégâts de mêlée en moins.
SpellDescription.FatigueConsumptionDebuff.MainDescription:	Augmente de {0}% l'endurance consommée par la cible en combat.
SpellDescription.FumbleChanceDebuff.MainDescription:		Augmente la probabilité que la cible échoue lamentablement de {0}%.
SpellDescription.DPSDebuff.MainDescription:					Réduit le DPS de {0}%.
SpellDescription.SkillsDebuff.MainDescription:				Réduit les compétences de {0}%.
SpellDescription.Warlock.SecondarySpell:					Ceci est un sort secondaire.
SpellDescription.Warlock.PrimarySpell:						Ceci est un sort primaire.
SpellDescription.AllStatsDebuff.MainDescription:			Réduit toutes les stats de la cible de {0}.
SpellDescription.AllStatsPercentDebuff.MainDescription:		Réduit toutes les stats de la cible de {0}%.
SpellDescription.Morph.MainDescription:						La cible a été changée en {0}.
SpellDescription.PowerRend.MainDescription:					La cible perd {0}% de mana.
SpellDescription.SummonAnimistFnF.MainDescription:		Invoque une tourelle fixe à l'emplacement de votre cible au sol, qui attaque tous les ennemis à portée.
SpellDescription.Bomber.MainDescription:				Invoque un esprit élémentaire qui se dirige vers la cible et explose, lançant son sort à l'arrivée.
SpellDescription.SavageParryBuff.MainDescription:		Augmente vos chances de parer de {0}%.
SpellDescription.SavageEvadeBuff.MainDescription:		Augmente vos chances d'esquiver de {0}%.
SpellDescription.SavageCombatSpeedBuff.MainDescription:	Augmente votre vitesse d'attaque de {0}%.
SpellDescription.SavageDPSBuff.MainDescription:			Augmente vos dégâts de mêlée de {0}.
SpellDescription.SavageEnduranceHeal.MainDescription:	Vous regagnez {0} d'endurance au prix d'une partie de votre santé.
SpellDescription.Archery.SingleTarget:					Inflige {0} {1} à la cible.
SpellDescription.Archery.AreaTarget:					Inflige {0} {1} à la cible et à son entourage.
SpellDescription.Archery.SecondaryEffectiveness:		L'efficacité du tir est augmentée de {0}%.
SpellDescription.Fear.SingleTarget:						Effraie l'ennemi ciblé. N'affecte pas les ennemis de niveau supérieur à {0}.
SpellDescription.Fear.AreaTarget:						Un sort de terreur de zone centré sur le lanceur, effrayant les ennemis dans un rayon de {1} unités. N'affecte pas les ennemis de niveau supérieur à {0}.
SpellDescription.BainsheePulseDmg.MainDescription:		La cible subit {0} {1}.
SpellDescription.BainsheePulseDmg.AreaDescription:		Le sort affecte tous les ennemis dans le rayon immédiat du lanceur du sort.
SpellDescription.BainsheePulseDmg.SecondaryDescription:	Lancer à nouveau l'incantation pendant son effet l'annule. Elle se dissipe si le lanceur du sort se déplace.
SpellDescription.BeFriend.MainDescriptionArea:			Charme temporairement les monstres présents dans le rayon du lanceur, tant qu'ils sont de niveau inférieur ou égal à {0}, les rendant amicaux et agissant comme des alliés.
SpellDescription.BeFriend.MainDescriptionSingle:		Charme temporairement le monstre ciblé, tant qu'il est de niveau inférieur ou égal à {0}, le rendant amical et agissant comme un allié.
SpellDescription.VampiirStealthDetection.MainDescription:	Augmente la capacité de la cible à détecter les ennemis camouflés de {0}%.
SpellDescription.VampiirSkillBonusDeBuff.MainDescription:	Affaiblit temporairement les bonus de compétence de la cible de {0}%.
SpellDescription.VampiirMeleeResistance.MainDescription:	Augmente les résistances de mêlée de la cible de {0}%.
SpellDescription.VampiirMagicResistance.MainDescription:	Augmente les chances de résistance aux dommages magiques de la cible de {0}%.
SpellDescription.VampiirEffectivenessDeBuff.MainDescription:	Réduit temporairement l'efficacité de la cible de {0}%.
SpellDescription.VampiirEffectivenessDeBuff.CombatCastable:		Peut être lancé en combat.
SpellDescription.VampiirArmorDebuff.MainDescription:		Réduit temporairement l'absorption et le facteur d'armure d'une pièce d'armure aléatoire de la cible de {0}%.
SpellDescription.VampiirArmorDebuff.AdditionalInfo:			Cela n'affectera que le heaume, le torse ou les jambes de la cible.
SpellDescription.RangeShield.MainDescription:			Protège le groupe de l'incantateur contre les attaques physiques d'archerie.
SpellDescription.PetSpell.MainDescription1:				Sort de familier :
SpellDescription.PetSpell.MainDescription2:				Augmente les statistiques listés de la cible.

# ML Spells ShortDescriptions
SpellDescription.Convoker.SummonWood.MainDescription:			Invoque et génère 100 planches de bois au hasard utilisables pour améliorer et réparer les portes et les murs des forteresses.
SpellDescription.Convoker.PrescienceNode.MainDescription1:		Rune déployée au sol (rayon de 1000) exposant les ennemis furtifs sans annuler leur invisibilité.
SpellDescription.Convoker.PrescienceNode.MainDescription2:		La rune de Préscience peut être attaqué et possède {0} points de vie.
SpellDescription.Convoker.Prescience.MainDescription1:			Vous avez été détecté(e) par une rune de Prescience !
SpellDescription.Convoker.Prescience.MainDescription2:			Vous confère des capacités précognitives, permettant une meilleure anticipation des mouvements ennemis.
SpellDescription.Convoker.PowerTrap.MainDescription:			Déploie une rune qui draine 20% de la mana des ennemis lors de sa détonation (fonctionne uniquement sur les ennemis disposant d'une réserve de mana).
SpellDescription.Convoker.SpeedWrap.MainDescription:			Rune déployée au sol qui annule les effets des sorts d'augmentation de vitesse pour les ennemis qui la traversent. Ceux affectés ne peuvent plus bénéficier de sorts de vitesse pendant 6 secondes après avoir quitté le rayon d'influence de la balise.
SpellDescription.Convoker.SummonWarcrystal.MainDescription:		Invoque et génère dans l'inventaire une munition de siège puissante (mitraille, balles, glace ou pierres de catapulte).
SpellDescription.Convoker.Battlewarder.MainDescription1:		Un Gardien de Bataille est invoqué pour intercepter les attaques ennemies. Reste immobile et consomme de la mana pendant qu'il est actif.
SpellDescription.Convoker.Battlewarder.MainDescription2:		Incantation ciblée au sol. Plusieurs Gardiens de Bataille peuvent être invoqués simultanément avec d'autres familiers, et plusieurs Gardes de Bataille peuvent être invoqués à la fois.
SpellDescription.Convoker.DissonanceTrap.MainDescription:		Déploie une rune de dissonance qui cause {0} {1} aux ennemis lors de sa détonation.
