
# DelveInfo
DelveInfo.CastingTime:			Casting time: {0}
SpellDescription.AfHitsBuff.MainDescription:		Increases the target's armor and health by {0}% while within range of this aura.
SpellDescription.AllStatsBuff.MainDescription:		Increases all of {0}'s stats by {1}.
SpellDescription.PowerDrain.MainDescription:		Deals {0} {1} to the target, and the caster regains {2}% of the damage as power.
SpellDescription.RealPowerDrain.MainDescription:	Deals {0} {1} to the target, the caster regains {2}% of the damage as power, and the target loses {3}% of its total mana.
SpellDescription.PowerLock.MainDescription1:		Locks you and your target in place, siphoning {0}% base power from them every {1}s for {2} seconds.
SpellDescription.PowerLock.MainDescription2:		While grappled, neither you nor your target can be damaged by melee attacks.
SpellDescription.PowerLock.MainDescription3:		Can only be used against players or player-controlled pets.
SpellDescription.Damnation.MainDescription1:		The target is condemned, turned into a zombie and loses all its spell enhancements. The target will be more resilient against melee attacks by {0}% but will inevitably die after {1} seconds. No cure can reverse this effect.
SpellDescription.Damnation.MainDescription2:		Healing is severely reduced to only {0}%.
SpellDescription.Damnation.MainDescription3:		Healing will have no effect on the target.
SpellDescription.Damnation.MainDescription4:		Healing will be converted by {0}% into damages.
SpellDescription.Damnation.MainDescription5:		Undead monsters are not affected by this spell.
SpellDescription.MonsterRez.MainDescription:		Brings the target back to life as an undead monster, restoring {0}% health and {1}% power and endurance, without experience or constitution loss.
SpellDescription.MonsterRez.DamageMain:				Deals {1} {0} to the target
SpellDescription.MonsterRez.DamageRadius:			and its surroundings
SpellDescription.MonsterRez.DamageFrequency:		every {0} seconds
SpellDescription.MonsterRez.DamageDuration:			over a period of {0} seconds
SpellDescription.SummonMonster.MainDescription:		Corpse resurrection.
SpellDescription.DamageAdd.MainDescription:			The target's melee attacks do an additional {0} {1}.
SpellDescription.DamageShield.MainDescription:		The target deals {0} {1} to enemies that hit them with a melee attack.
SpellDescription.SpellReflection.MainDescription1:	{0} reflects spells back at the attacker with a {1}% chance and at {2}% of their original damage, while absorbing {3}% of damage dealt.
SpellDescription.SpellReflection.MainDescription2:	Close combat or archery spells aren't reflected.
SpellDescription.SpellReflectionDebuff.MainDescription:		Removes the target's magic deflection shield.
SpellDescription.PowerShield.MainDescription:		When the user's health falls below {0}%, power is converted into health until it reaches {1}% of maximum health.
SpellDescription.PowerTransfer.MainDescription:		Transfers {0} power from the caster to the target.
SpellDescription.Resurrect.MainDescription:			Brings the target back to life, restoring {0}% health and {1}% power (and endurance), with no experience or constitution loss.
SpellDescription.OffensiveProc.MainDescription:		{0} triggers a secondary spell with a {1}% chance on your melee attacks:
SpellDescription.DefensiveProc.MainDescription:		{0} triggers a secondary spell with a {1}% chance when you are hit by melee attacks:
SpellDescription.SpeedEnhancement.MainDescription:	The target's speed is increased to {0}% of normal.
SpellDescription.SpellShield.MainDescription:		{0} absorbs 100% of spell damage and 70% of DoT effects when the player's health drops to {1}% or lower.
SpellDescription.StyleBleeding.MainDescription:		Target takes {0} {1} every {2} seconds.
SpellDescription.StyleTaunt.Increase:				Taunts the target, increasing your threat against it by {0}.
SpellDescription.StyleTaunt.Decrease:				Detaunts the target, decreasing your threat against it by -{0}.
SpellDescription.Taunt.MainDescription:				Taunts the target, increasing your threat against it by {0}.
SpellDescription.SummonSpell.MainDescription:		Summons a pet to serve the caster. It can affect monsters up to {0}% of your level, up to a maximum of level {1}.
SpellDescription.MeleeAblativeArmor.MainDescription:		Target gains a temporary health buffer that absorbs {0}% of the physical damage dealt, up to a maximum of {1} damage.
SpellDescription.MagicAblativeArmor.MainDescription:		Target gains a temporary health buffer that absorbs {0}% of the magical damage dealt, up to a maximum of {1} damage.
SpellDescription.BothAblativeArmor.MainDescription:	Target gains a temporary health buffer that absorbs {0}% of all damage dealt, up to a maximum of {1} damage.
SpellDescription.BattleFeverDurationBuff.MainDescription:	Increases Battle Fever duration by {0}%.
SpellDescription.TankAdrenaline.MainDescription:	You are taken over by battle fever! Your styled attacks against evenly matched enemies cannot miss and your defense and your melee power are greatly enhanced!
SpellDescription.MageAdrenaline.MainDescription:	You are taken over by battle fever! Your defense and chance to hit with spells and their casting speed are greatly enhanced, and you cannot be interrupted by attacks!
SpellDescription.StealthAdrenaline.MainDescription:	You are taken over by battle fever! Your styled attacks against evenly matched enemies cannot miss and your defense, stealth, melee and ranged power are greatly enhanced!
SpellDescription.Amnesia.MainDescription:			Clears the monster's mind, causing it to forget who it was attacking. Negates any spells currently being cast by enemy player targets, but does not interrupt them unless resisted.
SpellDescription.Mesmerize.MainDescription:			The target is mesmerized and cannot take any actions.
SpellDescription.Stun.MainDescription:				The target is stunned and cannot take any actions for {0} seconds.
SpellDescription.Charm.MainDescription1:			Attempts to bring the target {0} monster under the caster's control.
SpellDescription.Charm.MainDescription2:			Affects monsters up to {0}% of your level, to a maximum of level {1}.
SpellDescription.CombatHeal.MainDescription:		Target is healed {0} damage every {1} seconds.
SpellDescription.Confusion.MainDescriptionPositive:	Monster target has a {0}% chance to switch which target they are fighting.
SpellDescription.Confusion.MainDescriptionNegative:	Monster target has a 100% chance to switch which target they are fighting and a 75% chance to attack an ally.
SpellDescription.PetConversion.MainDescription:		Releases the target and all other turrets you have summoned from the area. {0}% of the power used in summoning the pet is returned to the caster.
SpellDescription.CraftingSpeedBuff.MainDescription:	Increases the target's crafting speed by {0}%.
SpellDescription.CureDisease.MainDescription:		All disease effects are removed from the target.
SpellDescription.CureMezz.MainDescription:			All mesmerization effects are removed from the target.
SpellDescription.CureNearsight.MainDescription:		All nearsight effects are removed from the target.
SpellDescription.CurePoison.MainDescription:		All damage over time effects (such as poisons) are removed from the target.
SpellDescription.DamageSpeedDecrease.MainDescription:		The target is slowed by {0}%. Deals {1} {2} damage to the target.
SpellDescription.DamageToPower.MainDescription:		{0}% of any spell damage done to the target is converted into power.
SpellDescription.DeathClaw.MainDescription:			{0} reduces the enemy's life by 90%. It does not affect ghosts, weak enemies, or enemies above level {1}, and has a reduced effect on undead and bosses.
SpellDescription.EnduranceDrain.MainDescription:	{0}% endurance is stolen from the target and transferred to the caster.
SpellDescription.EnduranceHeal.MainDescription:		Replenishes {0} endurance.
SpellDescription.Disarm.MainDescription1:			Disarms your target for {0} seconds.
SpellDescription.Disarm.MainDescription2:			This effect can be recast only after {0} seconds once used.
SpellDescription.GroundArea.MainDescription1:		Creates a cloud that affects everyone in the area.
SpellDescription.GroundArea.MainDescription2:		Cloud Effect:
SpellDescription.CloudsongFall.MainDescription:		Target takes {0}% less damage when falling.
SpellDescription.DoomHammer.MainDescription:		Deals {0} {1}.
SpellDescription.RampingDamageFocus.SingleTargetNoSnare:	Deals {0} {1} to the target each pulse. Damage increases by {2}% each pulse, up to {3}% maximum. Costs {4}% power per pulse.
SpellDescription.RampingDamageFocus.SingleTargetSnare:		Deals {0} {1} to the target each pulse and slows movement by {5}%. Damage increases by {2}% each pulse, up to {3}% maximum. Costs {4}% power per pulse.
SpellDescription.RampingDamageFocus.AoENoSnare:				Deals {0} {1} in the area each pulse. Damage increases by {2}% each pulse, up to {3}% maximum. Costs {4}% power per pulse.
SpellDescription.RampingDamageFocus.AoESnare:				Deals {0} {1} in the area each pulse and slows movement by {5}%. Damage increases by {2}% each pulse, up to {3}% maximum. Costs {4}% power per pulse.
SpellDescription.HereticPiercingMagic.MainDescription:		Effectiveness of the target's spells is increased by {0}%. Against higher-level opponents than the target, this should reduce the chance of a full resist.
SpellDescription.SummonNethersbane.MainDescription1:		Summon Nethersbane, the evil blade used by Arawn.
SpellDescription.SummonNethersbane.MainDescription2:		The Damage type of Nethersbane is Cold.
SpellDescription.SummonIcebrand.MainDescription1:			Summon Icebrand, the evil blade imbued by shadows.
SpellDescription.SummonIcebrand.MainDescription2:			The Damage type of Icebrand is Cold.
SpellDescription.GoldenSpearJavelin.MainDescription:		Summons 5 magical javelins.
SpellDescription.OmniHeal.MainDescription:					The target regains {0}% of health, endurance, and power.
SpellDescription.OmniHarm.MainDescription:					Additionally, the target loses {0} endurance and {1} power.
SpellDescription.OmniLifeDrain.MainDescription:				Damages the target. {0}% of the damage is returned as health, {1}% as power, and {2}% as endurance to the caster.
SpellDescription.PowerHeal.MainDescription:					Replenishes the target's power pool by {0}%.
SpellDescription.Silence.MainDescription:					Enemy is silenced and can't cast spells for {0} seconds.
SpellDescription.IllusionSpell.MainDescription1:			The caster summons {0} illusions {1} to surround himself, confusing his opponents.
SpellDescription.IllusionSpell.MainDescription2:			Illusions deal {0}% of the caster's damage, have {1}% of the caster's max health, and fade after {2} seconds.
SpellDescription.IllusionSpell.SubDescription1:				The caster is shapechanged into a creature, and the {0} summoned illusions will share the same appearance.
SpellDescription.IllusionSpell.SubDescription2a:			Illusions move alongside the caster, mimicking his movements, styles, and spells.
SpellDescription.IllusionSpell.SubDescription2b:			Illusions vanish immediately and the spell ends if the caster moves.
SpellDescription.Bump.MainDescriptionSingle:		Throws the targeted enemy {0} units high into the air and launches it forward between {1}% and {2}% of the maximum throw distance, stunning it mid-flight.
SpellDescription.Bump.MainDescriptionArea:			All enemies within {3} units are hurled {0} units high and flung forward between {1}% and {2}% of the maximum throw distance, leaving them stunned while airborne.
SpellDescription.Bump.MainDescriptionCone:			Enemies in a cone before the caster are tossed {0} units high and thrown forward between {1}% and {2}% of the maximum throw distance, leaving them stunned in mid-air.
SpellDescription.Conversion.MainDescription:		{0}% of any damage done to you is converted into health, endurance, and mana.
SpellDescription.MagicConversion.MainDescription:	{0}% of any spell damage done to you is converted into health, endurance, and mana.
SpellDescription.Fury.MainDescription:				Gives a {0}% chance to deflect crowd control spells, and increases all magical resists by {0}%.
SpellDescription.HealthToFatigue.MainDescription:	Target uses {0}% of health points and regains {1}% of lost endurance.
SpellDescription.Chamber.MainDescription:			Allows you to preload a chamber containing a primary spell and a secondary spell which can be instantly unloaded upon your target.
SpellDescription.Chamber.CanContainBolts:			Can contain bolts.
SpellDescription.Chamber.CannotContainBolts:		Cannot contain bolts.
SpellDescription.FocusShell.MainDescription:		All Melee and Spell Damage done to the target is reduced by {0}%.
SpellDescription.FocusShell.OnlyInPvPORvR:			This spell can only be used in RvR or PvP zones.
SpellDescription.Powerless.MainDescription:			Allows you to cast a secondary spell without expending power.
SpellDescription.Range.MainDescription:				Allows you to cast a secondary spell at {0}% range.
SpellDescription.Uninterruptable.MainDescription:	Allows you to cast a secondary spell without being interrupted but reduces its effectiveness by {0}%.
SpellDescription.Agony.ConditionDescription:		The target must be currently inflicted with Dread and Anguish before you can cast this spell.
SpellDescription.Doom.ConditionDescription:			The target must be currently inflicted with Dread, Anguish and Agony before you can cast this spell.
SpellDescription.Doom.Expires:						When expires:
SpellDescription.BuffShear.Str:						Strips the target of any beneficial Strength spell effects.
SpellDescription.BuffShear.Dex:						Strips the target of any beneficial Dexterity spell effects.
SpellDescription.BuffShear.Con:						Strips the target of any beneficial Constitution spell effects.
SpellDescription.BuffShear.Acuity:					Strips the target of any beneficial Acuity spell effects.
SpellDescription.BuffShear.StrCon:					Strips the target of any beneficial Strength/Constitution dual spell effects.
SpellDescription.BuffShear.DexQui:					Strips the target of any beneficial Dexterity/Quickness dual spell effects.
SpellDescription.BuffShear.Random:					Randomly strips one beneficial spell effect from the target.
SpellDescription.BuffShear.Ablative:				Strips the target of any ablative barrier.
SpellDescription.ResistBuff.MainDescription:				Increases the target's resistance to {0} damage by {1}%.
SpellDescription.BodySpiritEnergyBuff.MainDescription:		Increases the target's resistance to body, spirit, and energy damage by {0}%.
SpellDescription.HeatColdMatterBuff.MainDescription:		Increases the target's resistance to heat, cold, and matter damage by {0}%.
SpellDescription.AllMagicResistsBuff.MainDescription:		Increases the target's resistance to all magic damage by {0}%.
SpellDescription.SecondaryMagicResistsBuff.MainDescription:	Increases the target's secondary magic resistances by {0}%.
SpellDescription.AllMeleeResistsBuff.MainDescription:		Increases the target's resistance to all melee damage by {0}%.
SpellDescription.AllResistsBuff.MainDescription:			Increases the target's resistance to all damage by {0}%.
SpellDescription.EssenceBuff.MainDescription:				Increases the target's resistance to 'essence' damage by {0}%.
SpellDescription.ResistDebuff.MainDescription:				Decreases the target's resistance to {0} damage by {1}%.
SpellDescription.CrushSlashThrustDebuff.MainDescription:	Decreases the target's resistances to melee damage by {0}%.
SpellDescription.EssenceDebuff.MainDescription:				Decreases the target's resistances to 'essence' damage by {0}%.
SpellDescription.DualStatDebuff.MainDescription:			Reduces the target's {0} and {1} by {2}.
SpellDescription.DualStatBuff.MainDescription:				Increases {0} and {1} by {2}.
SpellDescription.SingleStatBuff.MainDescription:			Increases {0} by {1}.
SpellDescription.CombatSpeedBuff.MainDescription:			Increases attack speed by {0}%.
SpellDescription.FatigueConsumptionBuff.MainDescription:	Actions require {0}% less endurance.
SpellDescription.DPSBuff.MainDescription:					Increases DPS by {0}%.
SpellDescription.MeleeDamageBuff.MainDescription:			You deal {0}% additional melee damage.
SpellDescription.MesmerizeDurationBuff.MainDescription:		Reduces mesmerize effectiveness by {0}%.
SpellDescription.EvadeChanceBuff.MainDescription:			Grants {0}% chance to evade attacks.
SpellDescription.ParryChanceBuff.MainDescription:			Grants {0}% chance to parry attacks.
SpellDescription.WeaponSkillBuff.MainDescription:			Increases Weapon skill by {0}%.
SpellDescription.StealthSkillBuff.MainDescription:			Increases Stealth skill by {0}%.
SpellDescription.FlexibleSkillBuff.MainDescription:			Increases Flexible skill by {0}%.
SpellDescription.ResiPierceBuff.MainDescription:			Grants you {0}% chance to penetrate magical resistances.
SpellDescription.CriticalMagicalBuff.MainDescription:		Increases the target's chance for a critical spell hit by {0}%.
SpellDescription.CriticalMeleeBuff.MainDescription:			Increases the target's chance for a critical melee hit by {0}%.
SpellDescription.SingleStatDebuff.MainDescription:			Decreases the target's {0} by {1}.
SpellDescription.CombatSpeedDebuff.MainDescription:			The target's attack speed is reduced by {0}%.
SpellDescription.MeleeDamageDebuff.MainDescription:			The target deals {0}% less damage with melee attacks.
SpellDescription.FatigueConsumptionDebuff.MainDescription:	Increases the endurance the target uses in combat by {0}%.
SpellDescription.FumbleChanceDebuff.MainDescription:		Increases the target's chance to fumble by {0}%.
SpellDescription.DPSDebuff.MainDescription:					Decreases DPS by {0}%.
SpellDescription.SkillsDebuff.MainDescription:				Decreases skills by {0}%.
SpellDescription.Warlock.SecondarySpell:					This is a secondary spell.
SpellDescription.Warlock.PrimarySpell:						This is a primary spell.
SpellDescription.AllStatsDebuff.MainDescription:			Decreases all stats of the target by {0}.
SpellDescription.AllStatsPercentDebuff.MainDescription:		Decreases all stats of the target by {0}%.
SpellDescription.Morph.MainDescription:						Target has been shapechanged to {0}.
SpellDescription.PowerRend.MainDescription:					Target loses {0}% power.
SpellDescription.SummonAnimistFnF.MainDescription:		Summons a stationary turret at your ground target location that attacks all enemies within range.
SpellDescription.Bomber.MainDescription:				Summons an elemental spirit that moves towards the target and explodes, casting its spell upon arrival.
SpellDescription.SavageParryBuff.MainDescription:		Increases your chance to parry by {0}%.
SpellDescription.SavageEvadeBuff.MainDescription:		Increases your chance to evade by {0}%.
SpellDescription.SavageCombatSpeedBuff.MainDescription:	Increases your attack speed by {0}%.
SpellDescription.SavageDPSBuff.MainDescription:			Increases your melee damage by {0}.
SpellDescription.SavageEnduranceHeal.MainDescription:	You regain {0} endurance at the cost of some of your health.
SpellDescription.Archery.SingleTarget:					Deals {0} {1} to the target.
SpellDescription.Archery.AreaTarget:					Deals {0} {1} to the target and its surroundings.
SpellDescription.Archery.SecondaryEffectiveness:		The shot's effectiveness is increased by {0}%.
SpellDescription.WarlockSpeedDecrease.Frog:				The target is shapeshifted into a Frog!
SpellDescription.MaidenKiss.MainDescription:			Cure the target from "Frog" status.
SpellDescription.ArawnCure.MainDescription:				Cure the target from "Poison", "Disease", Resurrection Sickness" status.
SpellDescription.Fear.SingleTarget:						Frightens away the targeted enemy monster. Cannot affect player's pets or enemies above level {0}.
SpellDescription.Fear.AreaTarget:						A point-blank area of effect fear that frightens away enemy monsters within {1} units of the caster. Cannot affect player's pets or enemies above level {0}.
SpellDescription.FearServant.SingleTarget:				Frightens away the targeted enemy's pet(s). Cannot affect enemy's pets above level {0}.
SpellDescription.FearServant.AreaTarget:				A point-blank area of effect fear that frightens away enemy's pet(s) within {1} units of the caster. Cannot affect enemy's pets above level {0}.
SpellDescription.FearServant.SingleTarget&Npc:			Frightens away the targeted enemies. Cannot affect enemies above level {0}.
SpellDescription.FearServant.AreaTarget&Npc:			A point-blank area of effect fear that frightens away enemies within {1} units of the caster. Cannot affect enemies above level {0}.
SpellDescription.BainsheePulseDmg.MainDescription:		Target takes {0} {1}.
SpellDescription.BainsheePulseDmg.AreaDescription:		The spell affects all enemies in the immediate radius of the caster.
SpellDescription.BainsheePulseDmg.SecondaryDescription:	Casting the chant again while it is running cancels it. The spell effect drops if the caster moves.
SpellDescription.BeFriend.MainDescriptionArea:			Temporarily charms all monsters within the spell's radius around the caster, as long as they are below level {0}, making them friendly and acting like allies.
SpellDescription.BeFriend.MainDescriptionSingle:		Temporarily charms the targeted monster, as long as it is below level {0}, making it friendly and acting like an ally.
SpellDescription.VampiirStealthDetection.MainDescription:	Increases the target's ability to detect stealthed enemies by {0}%.
SpellDescription.VampiirSkillBonusDeBuff.MainDescription:	Temporarily debuffs the target's skill bonuses by {0}%.
SpellDescription.VampiirMeleeResistance.MainDescription:	Increases the target's melee resistances by {0}%.
SpellDescription.VampiirMagicResistance.MainDescription:	Target's chance to resist magical damage is increased by {0}%.
SpellDescription.VampiirEffectivenessDeBuff.MainDescription:	Temporarily reduces the target's effectiveness by {0}%.
SpellDescription.VampiirEffectivenessDeBuff.CombatCastable:		Can be cast while in combat.
SpellDescription.VampiirArmorDebuff.MainDescription:		Temporarily debuffs the absorption and armor factor of one random piece of armor on the target by {0}%.
SpellDescription.VampiirArmorDebuff.AdditionalInfo:			This will only affect the Head, Torso, or Legs armor of the target.
SpellDescription.RangeShield.MainDescription:			Shields the caster's group from ranged physical attacks.
SpellDescription.PetSpell.MainDescription1:				Pet Spell:
SpellDescription.PetSpell.MainDescription2:				Increases the target's listed stat(s).

# ML Spells ShortDescriptions
SpellDescription.Convoker.SummonWood.MainDescription:			Summons 100 random material boards of wood usable for upgrading and repairing keep doors and walls.
SpellDescription.Convoker.PrescienceNode.MainDescription1:		Ground targeted ward (1000 radius) that can make enemy stealthers visible, without removing their stealth.
SpellDescription.Convoker.PrescienceNode.MainDescription2:		Prescience Node has {0} hit points and can be attacked and destroyed.
SpellDescription.Convoker.Prescience.MainDescription1:			You have been detected by a Prescience Node!
SpellDescription.Convoker.Prescience.MainDescription2:			Empowers you with prescient abilities, allowing better anticipation of enemy moves.
SpellDescription.Convoker.PowerTrap.MainDescription:			Deploys a rune that drains 20% power from enemies when it detonates (works only on enemies that have a power pool).
SpellDescription.Convoker.SpeedWrap.MainDescription:			Ward that negates the effects of speed boosts for enemies who pass through it. Those affected cannot gain the benefit of speed spells for 6 seconds after leaving the speedwarp radius.
SpellDescription.Convoker.SummonWarcrystal.MainDescription:		Summons a powerful piece of siege ammunition into the user's inventory (either grapeshot, bullets, balls of ice, or catapult stones).
SpellDescription.Convoker.Battlewarder.MainDescription1:		Summons a Battle Warder that remains stationary to intercept and defend against enemy attacks. Drains power from the caster while standing.
SpellDescription.Convoker.Battlewarder.MainDescription2:		Ground-targetted cast. Other pets can be up at the same time as a Battlewarder, and multiple Battlewarders can be up at once.
SpellDescription.Convoker.DissonanceTrap.MainDescription:		Places a dissonance trap rune that deals {0} {1} to enemies upon detonation.
SpellDescription.Convoker.BrittleGuard.MainDescription1:		Summons a Brittle Guard that intercepts incoming melee attacks on your behalf.
SpellDescription.Convoker.BrittleGuard.MainDescription2:		Brittle Guard has only a single hit point and so dies after intercepting a hit. Only one brittle guard can be summoned at a time.
SpellDescription.Convoker.SummonMastery.MainDescription:		Boosts the effective level of your pets, enhancing their melee damage and armor absorption.
SpellDescription.Convoker.SummonTitan.MainDescription1:			Summons a Titan that grows in size and strength over time, pummeling enemies with immense power.
SpellDescription.Convoker.SummonTitan.MainDescription2:			Titan does not move and will only attack those within melee range.
SpellDescription.Spymaster.Decoy.MainDescription:				Summon random epic dressed realmmate with one hit point and no offense to distract opponents.
SpellDescription.Spymaster.Sabotage.MainDescription:			Destroys a targeted ward or piece of siege equipment, rendering it unusable.
SpellDescription.Spymaster.TangleSnare.MainDescription:			Deploys a rune that snares enemies by {0}% within its radius when detonated. Breaks stealth when cast.
SpellDescription.Spymaster.PoisonSpike.MainDescription:			Deploys a rune that releases a poison spike against enemies upon detonation, dealing {0} {1}. Breaks stealth when cast.
SpellDescription.Spymaster.Loockout.MainDescription1:			Watcher cannot move while hidden, but any stealthed enemy moving within {0} units is exposed along with the watcher.
SpellDescription.Spymaster.Loockout.MainDescription2:			Target of lookout must be sitting and not move. Once you move, the effect breaks and normal stealth detection range applies.
SpellDescription.Spymaster.SiegeWrecker.MainDescription1:		Rune that does major damage to siege engines when it detonates.
SpellDescription.Spymaster.SiegeWrecker.MainDescription2:		Does {0} damage to the target.
SpellDescription.Spymaster.EssenceFlare.MainDescription:		Summons a poison that mesmerizes the enemy and all nearby enemies for 15 seconds when applied.
SpellDescription.Spymaster.BlanketOfCamouflage.MainDescription:	Conceal your group in stealth. Moving, casting or chanting will break the effect for non-stealthers.
SpellDescription.Battlemaster.MLEndudrain.MainDescription:		Drains {0} fatigue from surrounding enemies.
SpellDescription.Battlemaster.KeepDamageBuff.MainDescription:	Gives a {0}% damage hit bonus against objects such as siege equipment and keep components.
SpellDescription.Battlemaster.MLManadrain.MainDescription:		Drains {0} power from surrounding enemies.
SpellDescription.Battlemaster.Grapple.MainDescription1:			Short range single target effect that stuns the attacker for {0} seconds nullifying all effects.
SpellDescription.Battlemaster.Grapple.MainDescription2:			It roots the target making them unable to move or use melee, but they may still cast and use chants/pulsing spells for 10 seconds.
SpellDescription.Battlemaster.Grapple.MainDescription3:			Grappled target cannot be attacked by melee.
SpellDescription.Battlemaster.EssenceFlamesProc.MainDescription:	Gives a {0}% chance to gain bonus essence damage when attacking in melee combat.
SpellDescription.Battlemaster.ThrowWeapon.MainDescription1:		A ranged attack using melee damage formulas.
SpellDescription.Battlemaster.ThrowWeapon.MainDescription2:		Cannot attack with normal melee for 10 seconds afterwards.
SpellDescription.Battlemaster.EssenceSearHandler.MainDescription1:	Decreases the resistances to Essence damage by {0}% of surrounding enemies.
SpellDescription.Battlemaster.EssenceSearHandler.MainDescription2:	Decreases the target's resistances to Essence damage by {0}%.
SpellDescription.Battlemaster.BodyguardHandler.MainDescription1:	Ability that protects a groupmate from enemy melee attack. Target of Bodyguard can't be attacked by melee until the bodyguard is killed or moves out of range.
SpellDescription.Battlemaster.BodyguardHandler.MainDescription2:	Target of Bodyguard must not be moving.
SpellDescription.Battlemaster.EssenceDampenHandler.MainDescription:	Reduces the target's agility by {0}%.
SpellDescription.Banelord.CastingSpeedDebuff.MainDescription:	Reduces enemies casting speed by {0}%.
SpellDescription.Banelord.PBAEDamage.ML2.MainDescription:		Reduces the power/health/fatigue of enemies within the area of effect by {0}% of the their current value.
SpellDescription.Banelord.PBAEDamage.ML8.MainDescription:		Reduces the power/health/fatigue of enemies within the area of effect by {0}% of the their current value, but costs the user {1}% of their own health.
SpellDescription.Banelord.Oppression.MainDescription:			Point blank area effect shout that decreases enemies' maximum encumbrance by {0}%.
