

# /SkillBase
SkillBase.RegisterPropertyNames.Acuity:					Acuity
SkillBase.RegisterPropertyNames.DualWield:				Dual Wield
SkillBase.RegisterPropertyNames.EarthMagic:				Earth Magic
SkillBase.RegisterPropertyNames.EarthMagicFocus:		Earth Magic Focus
SkillBase.RegisterPropertyNames.EffectiveLevel:			Effective level
SkillBase.RegisterPropertyNames.Empathy:				Empathy
SkillBase.RegisterPropertyNames.EmpathyBonusCap:		Bonus cap to Empathy
SkillBase.RegisterPropertyNames.Enchantment:			Enchantment
SkillBase.RegisterPropertyNames.EnchantmentFocus:		Enchantment Focus
SkillBase.RegisterPropertyNames.EnduranceRegeneration:	Endurance Regeneration
SkillBase.RegisterPropertyNames.Energy:					Energy Resist
SkillBase.RegisterPropertyNames.Enhancement:			Enhancement
SkillBase.RegisterPropertyNames.Envenom:				Envenom
SkillBase.RegisterPropertyNames.EtherealShriek:			Ethereal Shriek
SkillBase.RegisterPropertyNames.EtherealShriekFocus:	Ethereal Shriek Focus
SkillBase.RegisterPropertyNames.EvadeChance:			Evade chance
SkillBase.RegisterPropertyNames.ExperienceLoss:			Death Experience Loss Reduction
SkillBase.RegisterPropertyNames.Fatigue:				Fatigue
SkillBase.RegisterPropertyNames.FireMagic:				Fire Magic
SkillBase.RegisterPropertyNames.FireMagicFocus:			Fire Magic Focus
SkillBase.RegisterPropertyNames.FistWraps:				Fist Wraps
SkillBase.RegisterPropertyNames.FlexibleWeapon:			Flexible Weapon
SkillBase.RegisterPropertyNames.FumbleChance:			Fumble Chance
SkillBase.RegisterPropertyNames.Hammer:					Hammer
SkillBase.RegisterPropertyNames.HandToHand:				Hand To Hand
SkillBase.RegisterPropertyNames.HealingEffectiveness:	Bonus to healing effectiveness
SkillBase.RegisterPropertyNames.HealthRegeneration:		Health Regeneration
SkillBase.RegisterPropertyNames.Heat:					Heat Resist
SkillBase.RegisterPropertyNames.Hexing:					Hexing
SkillBase.RegisterPropertyNames.HexingFocus:			Hexing Focus
SkillBase.RegisterPropertyNames.HitPointsBonusCap:		Bonus cap to hit points
SkillBase.RegisterPropertyNames.Hits:					Hits
SkillBase.RegisterPropertyNames.Instruments:			Instruments
SkillBase.RegisterPropertyNames.Intelligence:			Intelligence
SkillBase.RegisterPropertyNames.IntelligenceBonusCap:	Bonus cap to Intelligence
SkillBase.RegisterPropertyNames.LargeWeapon:			Large Weapon
SkillBase.RegisterPropertyNames.LeftAxe:				Left Axe
SkillBase.RegisterPropertyNames.LightMagic:				Light Magic
SkillBase.RegisterPropertyNames.LightMagicFocus:		Light Magic Focus
SkillBase.RegisterPropertyNames.Longbows:				Longbows
SkillBase.RegisterPropertyNames.MagicDamageBonus:		Bonus to magic damage
SkillBase.RegisterPropertyNames.Magnetism:				Magnetism
SkillBase.RegisterPropertyNames.ManaMagic:				Mana Magic
SkillBase.RegisterPropertyNames.ManaMagicFocus:			Mana Magic Focus
SkillBase.RegisterPropertyNames.Matter:					Matter Resist
SkillBase.RegisterPropertyNames.MatterMagic:			Matter Magic
SkillBase.RegisterPropertyNames.MatterMagicFocus:		Matter Magic Focus
SkillBase.RegisterPropertyNames.MaulerStaff:			Mauler Staff
SkillBase.RegisterPropertyNames.MaximumSpeed:			Maximum Speed
SkillBase.RegisterPropertyNames.MeleeDamage:			Bonus to melee damage
SkillBase.RegisterPropertyNames.MeleeSpeed:				Bonus to melee combat speed
SkillBase.RegisterPropertyNames.Mending:				Mending
SkillBase.RegisterPropertyNames.Mentalism:				Mentalism
SkillBase.RegisterPropertyNames.MentalismFocus:			Mentalism Focus
SkillBase.RegisterPropertyNames.MesmerizeDuration:		Mesmerize Duration
SkillBase.RegisterPropertyNames.MindMagic:				Mind Magic
SkillBase.RegisterPropertyNames.MindMagicFocus:			Mind Magic Focus
SkillBase.RegisterPropertyNames.Music:					Music
SkillBase.RegisterPropertyNames.Nature:					Nature
SkillBase.RegisterPropertyNames.SpellFumbleChance:		Spell Fumble Chance
SkillBase.RegisterPropertyNames.NegativeReduction:		Negative effect duration reduction (PvE Only)
SkillBase.RegisterPropertyNames.NightshadeMagic:		Nightshade Magic
SkillBase.RegisterPropertyNames.Nurture:				Nurture
SkillBase.RegisterPropertyNames.OdinsWill:				Odin's Will
SkillBase.RegisterPropertyNames.Pacification:			Pacification
SkillBase.RegisterPropertyNames.Painworking:			Painworking
SkillBase.RegisterPropertyNames.PainworkingFocus:		Painworking Focus
SkillBase.RegisterPropertyNames.Parry:					Parry
SkillBase.RegisterPropertyNames.ParryChance:			Parry chance
SkillBase.RegisterPropertyNames.Pathfinding:			Pathfinding
SkillBase.RegisterPropertyNames.PhantasmalWail:			Phantasmal Wail
SkillBase.RegisterPropertyNames.PhantasmalWailFocus:	Phantasmal Wail Focus
SkillBase.RegisterPropertyNames.PieceAblative:			Piece Ablative (PvE Only)
SkillBase.RegisterPropertyNames.Piercing:				Piercing
SkillBase.RegisterPropertyNames.Piety:					Piety
SkillBase.RegisterPropertyNames.PietyBonusCap:			Bonus cap to Piety
SkillBase.RegisterPropertyNames.Polearms:				Polearms
SkillBase.RegisterPropertyNames.Power:					Power
SkillBase.RegisterPropertyNames.PowerBonusCap:			Bonus cap to power
SkillBase.RegisterPropertyNames.PowerPool:				Power Pool
SkillBase.RegisterPropertyNames.PowerRegeneration:		Power Regeneration
SkillBase.RegisterPropertyNames.PowerStrikes:			Power Strikes
SkillBase.RegisterPropertyNames.Quickness:				Quickness
SkillBase.RegisterPropertyNames.QuicknessBonusCap:		Bonus cap to Quickness
SkillBase.RegisterPropertyNames.RangedDamage:			All Ranged Damage
SkillBase.RegisterPropertyNames.ReactionaryStyleDamage:	Reactionary Style Damage Bonus (PvE Only)
SkillBase.RegisterPropertyNames.RecurvedBow:			Recurved Bow
SkillBase.RegisterPropertyNames.Regrowth:				Regrowth
SkillBase.RegisterPropertyNames.Rejuvenation:			Rejuvenation
SkillBase.RegisterPropertyNames.ResistPierce:			Resist Pierce
SkillBase.RegisterPropertyNames.Runecarving:			Runecarving
SkillBase.RegisterPropertyNames.RunecarvingFocus:		Runecarving Focus
SkillBase.RegisterPropertyNames.Savagery:				Savagery
SkillBase.RegisterPropertyNames.Scythe:					Scythe
SkillBase.RegisterPropertyNames.ShadowMastery:			Shadow Mastery
SkillBase.RegisterPropertyNames.Shields:				Shields
SkillBase.RegisterPropertyNames.ShortBow:				Short Bow
SkillBase.RegisterPropertyNames.Slash:					Slash Resist
SkillBase.RegisterPropertyNames.Slashing:				Slashing
SkillBase.RegisterPropertyNames.Smiting:				Smiting
SkillBase.RegisterPropertyNames.Soulrending:			Soulrending
SkillBase.RegisterPropertyNames.Spear:					Spear
SkillBase.RegisterPropertyNames.SpectralForce:			Spectral Force
SkillBase.RegisterPropertyNames.SpectralForceFocus:		Spectral Force Focus
SkillBase.RegisterPropertyNames.SpectralGuard:			Spectral Guard
SkillBase.RegisterPropertyNames.SpeedDecreaseDuration:	Speed Decrease Duration
SkillBase.RegisterPropertyNames.SpellDuration:			Spell Duration
SkillBase.RegisterPropertyNames.SpellPowerCost:			Spell Power Cost Reduction (PvE Only)
SkillBase.RegisterPropertyNames.SpellRange:				Spell Range
SkillBase.RegisterPropertyNames.Spirit:					Spirit Resist
SkillBase.RegisterPropertyNames.SpiritMagic:			Spirit Magic
SkillBase.RegisterPropertyNames.SpiritMagicFocus:		Spirit Magic Focus
SkillBase.RegisterPropertyNames.Staff:					Staff
SkillBase.RegisterPropertyNames.StatBuffSpells:			All Stat Buff Spells
SkillBase.RegisterPropertyNames.Stealth:				Stealth
SkillBase.RegisterPropertyNames.Stormcalling:			Stormcalling
SkillBase.RegisterPropertyNames.Strength:				Strength
SkillBase.RegisterPropertyNames.StrengthBonusCap:		Bonus cap to Strength
SkillBase.RegisterPropertyNames.StunDuration:			Stun Duration
SkillBase.RegisterPropertyNames.StyleCostReduction:		Style Cost Reduction (PvE Only)
SkillBase.RegisterPropertyNames.StyleDamage:			Bonus to style damage
SkillBase.RegisterPropertyNames.Summoning:				Summoning
SkillBase.RegisterPropertyNames.SummoningFocus:			Summoning Focus
SkillBase.RegisterPropertyNames.Suppression:			Suppression
SkillBase.RegisterPropertyNames.SuppressionFocus:		Suppression Focus
SkillBase.RegisterPropertyNames.Sword:					Sword
SkillBase.RegisterPropertyNames.ThrownWeapons:			Thrown Weapons
SkillBase.RegisterPropertyNames.Thrust:					Thrust Resist
SkillBase.RegisterPropertyNames.Thrusting:				Thrusting
SkillBase.RegisterPropertyNames.ToHitBonus:				To-hit bonus (PvE Only)
SkillBase.RegisterPropertyNames.TwoHanded:				Two Handed
SkillBase.RegisterPropertyNames.Valor:					Valor
SkillBase.RegisterPropertyNames.VampiiricEmbrace:		Vampiiric Embrace
SkillBase.RegisterPropertyNames.Verdant:				Verdant	Path
SkillBase.RegisterPropertyNames.VerdantFocus:			Verdant Focus
SkillBase.RegisterPropertyNames.VoidMagic:				Void Magic
SkillBase.RegisterPropertyNames.VoidMagicFocus:			Void Magic Focus
SkillBase.RegisterPropertyNames.WeaponSkill:			Bonus to Weaponskill
SkillBase.RegisterPropertyNames.WindMagic:				Wind Magic
SkillBase.RegisterPropertyNames.WindMagicFocus:			Wind Magic Focus
SkillBase.RegisterPropertyNames.Witchcraft:				Witchcraft
SkillBase.RegisterPropertyNames.WitchcraftFocus:		Witchcraft Focus

SkillBase.RegisterPropertyNames.KeepDamage:				Keep Damage
SkillBase.RegisterPropertyNames.DPS:					DPS Increase
SkillBase.RegisterPropertyNames.MagicAbsorption:		Magic Absorption
SkillBase.RegisterPropertyNames.MaxHealth:      		Max Health
SkillBase.RegisterPropertyNames.MaxMana:      			Max Mana
SkillBase.RegisterPropertyNames.MissHit:				Miss Hit bonus
SkillBase.RegisterPropertyNames.WaterSpeed:				Bonus to Swimming Speed

SkillBase.RegisterPropertyNames.Essence:				Essence Resist
SkillBase.RegisterPropertyNames.CraftingSkillGain:		Crafting Skill Gain Bonus
SkillBase.RegisterPropertyNames.CraftingSpeed:			Crafting Speed
SkillBase.RegisterPropertyNames.SecondarySpellChance:	Increased Secondary Style spell chance
SkillBase.RegisterPropertyNames.RobberyResist:			Robbery Resist chance
SkillBase.RegisterPropertyNames.MythicalStrCap:			Mythical cap to Strength
SkillBase.RegisterPropertyNames.MythicalDexCap:			Mythical cap to Dexterity
SkillBase.RegisterPropertyNames.MythicalConCap:			Mythical cap to Constitution
SkillBase.RegisterPropertyNames.MythicalQuiCap:			Mythical cap to Quickness
SkillBase.RegisterPropertyNames.MythicalIntCap:			Mythical cap to Intelligence
SkillBase.RegisterPropertyNames.MythicalPieCap:			Mythical cap to Piety
SkillBase.RegisterPropertyNames.MythicalEmpCap:			Mythical cap to Empathy
SkillBase.RegisterPropertyNames.MythicalChaCap:			Mythical cap to Charisma
SkillBase.RegisterPropertyNames.MythicalAcuCap:			Mythical cap to Acuity
SkillBase.RegisterPropertyNames.BodyCap:				Bonus to Body Resist cap
SkillBase.RegisterPropertyNames.ColdCap:				Bonus to Cold Resist cap
SkillBase.RegisterPropertyNames.CrushCap:				Bonus to Crush Resist cap
SkillBase.RegisterPropertyNames.EnergyCap:				Bonus to Energy Resist cap
SkillBase.RegisterPropertyNames.HeatCap:				Bonus to Heat Resist cap
SkillBase.RegisterPropertyNames.MatterCap:				Bonus to Matter Resist cap
SkillBase.RegisterPropertyNames.SlashCap:				Bonus to Slash Resist cap
SkillBase.RegisterPropertyNames.SpiritCap:				Bonus to Spirit Resist cap
SkillBase.RegisterPropertyNames.ThrustCap:				Bonus to Thrust Resist cap
SkillBase.RegisterPropertyNames.MythicalCrowdDuration:	Mythical Crowd Control Duration decrease
SkillBase.RegisterPropertyNames.MythicalRegen: 			Mythical Regeneration Bonus
SkillBase.RegisterPropertyNames.MythicalTension: 		Mythical Tension Bonus
SkillBase.RegisterPropertyNames.Skill_Learning:			Magic Learning
SkillBase.RegisterPropertyNames.MythicalSpellReflect: 	Mythical Spell Reflection Chance
SkillBase.RegisterPropertyNames.MythicalSafeFall: 		Mythical Safe Fall
SkillBase.RegisterPropertyNames.MythicalDiscumbering:	Mythical Discumbering
SkillBase.RegisterPropertyNames.MythicalCoin:			Mythical Coin
SkillBase.RegisterPropertyNames.SpellLevel:				Bonus to Spell Level
SkillBase.RegisterPropertyNames.Conversion:				Conversion
SkillBase.RegisterPropertyNames.ExtraHp:				Bonus to Extra HP
SkillBase.RegisterPropertyNames.StyleAbsorb:			Style Absorb Bonus
SkillBase.RegisterPropertyNames.ArcaneSyphon:			Arcane Syphon
SkillBase.RegisterPropertyNames.RealmPoints:			Bonus to Realm Points
SkillBase.RegisterPropertyNames.BountyPoints:			Bonus to Bounty Points
SkillBase.RegisterPropertyNames.ExperiencePoints:		Bonus to Experience Points
