Commands.GM.Coffre.Description:	Gestion des coffres
Commands.GM.Coffre.Usage.Teleporter:		'/coffre teleporter <X> <Y> <Z> <heading> <RegionID>' Définit la destination du Téléporteur de ce coffre
Commands.GM.Coffre.Usage.TPrequirement:	'/coffre tprequirement <level>' Définit le Level minimum pour pouvoir utiliser le Téléporteur de ce coffre
Commands.GM.Coffre.Usage.TPEffect:		'/coffre tpeffect <SpellID>' Définit l'effect utilisé par la téléportation de ce coffre basé sur son SpellID
Commands.GM.Coffre.Usage.TPIsRenaissance:	'/coffre tpisrenaissance' Alterne l'état IsRenaissance du coffre
Commands.GM.Coffre.Usage.IsOpeningRenaissance:		'/coffre isOpeningRenaissance' Alterne l'état isOpeningRenaissanceType du coffre
Commands.GM.Coffre.Usage.PunishSpellId:		'/coffre punishSpellId <SpellId>' Définit le SpellID pour punir le joueur si il n'est pas Isrenaissance
Commands.GM.Coffre.Usage.PickableAnim:	'/coffre pickableAnim' Alterne l'état de HasPickableAnim ou Activer ou désactiver l'emote pickup
Commands.GM.Coffre.Usage.InfoInterval:		'/coffre interval <minutes>' Change l'intervalle d'ouverture d'un coffre en minutes
Commands.GM.Coffre.Usage.LongDistance:	'/coffre longdistance <true|false>' Change la distance d'interaction du coffre. (utile pour les gros coffres)

Commands.GM.Chest.Description:	Gestion des coffres
Commands.GM.Chest.Usage.Create:		'/chest create' crée un nouveau chest (100% chance d'apparition, 1h d'intervalle entre les items)
Commands.GM.Chest.Usage.Model:	'/chest model <model>' change le skin du chest sélectionné
Commands.GM.Chest.Usage.Item:		'/chest item <chance> <interval>' change le nombre de chances d'apparition d'un item, interval d'apparition d'un item en minutes
Commands.GM.Chest.Usage.Add:	'/chest add <id_nb> <chance>' ajoute ou modifie un item (id_nb) avec son taux de chance d'apparition au chest sélectionné
Commands.GM.Chest.Usage.Remove:		'/chest remove <id_nb>' retire un item (id_nb) du chest sélectionné
Commands.GM.Chest.Usage.Name:	'/chest name <name>' change le nom du chest sélectionné
Commands.GM.Chest.Usage.Movehere:		'/chest movehere' déplace le chest sélectionné à votre position
Commands.GM.Chest.Usage.Delete:	'/chest delete' supprime le chest sélectionné
Commands.GM.Chest.Usage.Reset:		'/chest reset' remet à zéro la dernière fois que le chest a été ouvert
Commands.GM.Chest.Usage.Info:	'/chest info' donne toutes les informations du chest sélectionné
Commands.GM.Chest.Usage.Copy:		'/chest copy' copie le chest sélectionné à votre position
Commands.GM.Chest.Usage.RandomCopy:	'/chest randomcopy' copie le chest sélectionné à votre position mais change les valeurs de plus ou moin 10%
Commands.GM.Chest.Usage.Key:		'/chest key <id_nb>' Id_nb de la clef nécessaire à l'ouverture du chest (\"nokey\" pour retirer la clé)
Commands.GM.Chest.Usage.Difficult:	'/chest difficult <difficulté>' difficulté pour crocheter le chest (en %) si 0, le chest ne peut pas être crocheté
Commands.GM.Chest.Usage.traprate:		'/chest traprate <value>' Configure la valeur du TrapRate, qui est le pourcentage de faire pop un mob
Commands.GM.Chest.Usage.NPCTemplate:	'/chest npctemplate <value>' Configure le npctemplate associé au pop mob de ce chest
Commands.GM.Chest.Usage.Respawn:		'/chest respawn <name>' Respawn un chest en donnant son nom (reset du timer à 0)
Commands.GM.Chest.Usage.IsTeleport:	'/chest isteleporter' Alterne l'état IsTeleporter du chest
Commands.GM.Chest.Usage.Teleporter:		'/chest teleporter <X> <Y> <Z> <heading> <RegionID>' Définit la destination du Téléporteur de ce chest
Commands.GM.Chest.Usage.TPrequirement:	'/chest tprequirement <level>' Définit le Level minimum pour pouvoir utiliser le Téléporteur de ce chest
Commands.GM.Chest.Usage.TPEffect:		'/chest tpeffect <SpellID>' Définit l'effect utilisé par la téléportation de ce chest basé sur son SpellID
Commands.GM.Chest.Usage.TPIsRenaissance:	'/chest tpisrenaissance' Alterne l'état IsRenaissance du chest
Commands.GM.Chest.Usage.IsOpeningRenaissance:		'/chest isOpeningRenaissance' Alterne l'état isOpeningRenaissanceType du chest
Commands.GM.Chest.Usage.PunishSpellId:		'/chest punishSpellId <SpellId>' Définit le SpellID pour punir le joueur si il n'est pas Isrenaissance
Commands.GM.Chest.Usage.PickableAnim:	'/chest pickableAnim' Alterne l'état de HasPickableAnim ou Activer ou désactiver l'emote pickup
Commands.GM.Chest.Usage.InfoInterval:		'/chest interval <minutes>' Change l'intervalle d'ouverture d'un chest en minutes
Commands.GM.Chest.Usage.LongDistance:	'/chest longdistance <true|false>' Change la distance d'interaction du coffre. (utile pour les gros coffres)
