# DelveInfo
DelveInfo.CastingTime:          Timp de incantare: {0}
SpellDescription.HoT.MainDescription:				Ținta recuperează {0} viață la fiecare {1} s.
SpellDescription.DDWithDebuff.MainDescription:		Provoacă {0} {1} și reduce rezistența țintei la {1} cu {2}%.
SpellDescription.AfHitsBuff.MainDescription:		Mărește factorul de armură și viața cu {0}% cât timp rămâi în raza aurei.
SpellDescription.AllStatsBuff.MainDescription:		Mărește toate atributele țintei cu {0}.
SpellDescription.PowerDrain.MainDescription:		Provoacă {0} {1}; incantatorul primește {2}% din daune înapoi ca mană.
SpellDescription.RealPowerDrain.MainDescription:	Provoacă {0} {1}; incantatorul primește {2}% ca mană și ținta pierde {3}% din mana totală.
SpellDescription.PowerLock.MainDescription1:		Te blochează pe tine și ținta pe loc și drenează {0}% din mana de bază la fiecare {1}s timp de {2} s.
SpellDescription.PowerLock.MainDescription2:		Pe durata efectului, niciunul nu poate primi daune corp-la-corp.
SpellDescription.PowerLock.MainDescription3:		Doar împotriva jucătorilor sau a pet-urilor controlate de jucători.
SpellDescription.Damnation.MainDescription1:		Ținta este osândită, devine zombie și pierde efectele pozitive. Primește {0}% rezistență la daune corp-la-corp, dar va muri inevitabil după {1} s. Nicio vindecare nu inversează asta.
SpellDescription.Damnation.MainDescription2:		Vindecările sunt drastic reduse la {0}%.
SpellDescription.Damnation.MainDescription3:		Vindecările nu au efect asupra osânditului.
SpellDescription.Damnation.MainDescription4:		Vindecările se transformă în {0}% daune.
SpellDescription.Damnation.MainDescription5:		Nu afectează nemorții.
SpellDescription.MonsterRez.MainDescription:		Înviază ca nemort și restaurează {0}% viață și {1}% mană și anduranță fără pierdere de experiență sau constituție.
SpellDescription.MonsterRez.DamageMain:				Provoacă {1} {0} țintei
SpellDescription.MonsterRez.DamageRadius:			și în zonă
SpellDescription.MonsterRez.DamageFrequency:		la fiecare {0} s
SpellDescription.MonsterRez.DamageDuration:			pe durata a {0} s
SpellDescription.SummonMonster.MainDescription:		Revenire din cadavru.
SpellDescription.DamageAdd.MainDescription:			Atacurile corp-la-corp ale țintei provoacă {0} {1} suplimentare.
SpellDescription.DamageShield.MainDescription:		Provoacă {0} {1} dușmanilor care te lovesc în corp-la-corp.
SpellDescription.SpellReflection.MainDescription1:	Ricosează vrăji cu {0}% șansă la {1}% din daune și absoarbe {2}% din daunele cauzate.
SpellDescription.SpellReflection.MainDescription2:	Nu reflectă stiluri melee sau săgeți de arcași.
SpellDescription.SpellReflectionDebuff.MainDescription:		Înlătură scutul de deviere magică al țintei.
SpellDescription.PowerShield.MainDescription:		Când viața ta scade sub {0}%, convertește mana în viață până la {1}% din maxim.
SpellDescription.PowerTransfer.MainDescription:		Transferă {0} mană de la incantator la țintă.
SpellDescription.Resurrect.MainDescription:			Înviază și restaurează {0}% viață și {1}% mană (și anduranță) fără pierderi de exp sau constituție.
SpellDescription.OffensiveProc.MainDescription:		{0} oferă {1}% șansă să declanșezi o vrajă secundară cu atacurile tale corp-la-corp:
SpellDescription.DefensiveProc.MainDescription:		{0} oferă {1}% șansă să declanșezi o vrajă secundară când ești lovit în corp-la-corp:
SpellDescription.SpeedEnhancement.MainDescription:	Creste viteza până la {0}% din normal.
SpellDescription.SpellShield.MainDescription:		{0} absoarbe 100% din daunele magice și 70% din DoT când viața este la {1}% sau mai jos.
SpellDescription.StyleBleeding.MainDescription:		Ținta suferă {0} {1} la fiecare {2} s.
SpellDescription.StyleTaunt.Increase:				Provoacă ținta și îți crește amenințarea cu {0}.
SpellDescription.StyleTaunt.Decrease:				Reduce provocarea și îți scade amenințarea cu -{0}.
SpellDescription.Taunt.MainDescription:				Provoacă ținta și îți crește amenințarea cu {0}.
SpellDescription.SummonSpell.MainDescription:		Chemează un slujitor care îl servește pe invocator. Funcționează pe creaturi până la {0}% din nivelul tău, max. {1}.
SpellDescription.MeleeAblativeArmor.MainDescription:		Acordă un scut temporar care absoarbe {0}% daune fizice până la un maxim de {1}.
SpellDescription.MagicAblativeArmor.MainDescription:		Acordă un scut temporar care absoarbe {0}% daune magice până la un maxim de {1}.
SpellDescription.BothAblativeArmor.MainDescription:	Acordă un scut temporar care absoarbe {0}% din toate daunele până la un maxim de {1}.
SpellDescription.BattleFeverDurationBuff.MainDescription:	Extinde durata Febrei de Luptă cu {0}%.
SpellDescription.TankAdrenaline.MainDescription:	Febra de luptă te cuprinde! Loviturile tale melee nu ratează inamicii de nivelul tău, iar apărarea și puterea melee cresc mult.
SpellDescription.MageAdrenaline.MainDescription:	Febra de luptă te cuprinde! Apărarea, șansa de lovire a vrăjilor și viteza de incantare cresc considerabil, iar loviturile nu te întrerup.
SpellDescription.StealthAdrenaline.MainDescription:	Febra de luptă te cuprinde! Loviturile tale melee nu ratează inamicii de nivelul tău; apărarea, stealth-ul și puterea la distanță și melee cresc mult.
SpellDescription.Amnesia.MainDescription:			Face monstrul să uite cine l-a atacat. Întrerupe vrăjile ostile fără a ameți, decât dacă se rezistă.
SpellDescription.Mesmerize.MainDescription:			Ținta este hipnotizată și incapabilă să acționeze.
SpellDescription.Stun.MainDescription:				Asurzește/amețește ținta pentru {0} s.
SpellDescription.Charm.MainDescription1:			Încearcă să încânte o creatură {0}.
SpellDescription.Charm.MainDescription2:			Afectează monștri până la {0}% din nivelul tău, max. {1}.
SpellDescription.CombatHeal.MainDescription:		Vindecă {0} daune la fiecare {1} s.
SpellDescription.Confusion.MainDescriptionPositive:	Creatura are {0}% șansă să își schimbe ținta.
SpellDescription.Confusion.MainDescriptionNegative:	100% șansă să își schimbe ținta și 75% șansă să atace un aliat.
SpellDescription.PetConversion.MainDescription:		Eliberează ținta și toate turnurile tale din zonă. Primești înapoi {0}% din mana cheltuită la chemare.
SpellDescription.CraftingSpeedBuff.MainDescription:	Mărește viteza de meșteșugărit cu {0}%.
SpellDescription.CureDisease.MainDescription:		Înlătură toate bolile de pe țintă.
SpellDescription.CureMezz.MainDescription:			Înlătură toate efectele de hipnoză de pe țintă.
SpellDescription.CureNearsight.MainDescription:		Înlătură toate efectele de miopie.
SpellDescription.CurePoison.MainDescription:		Înlătură toate efectele de tip daune-în-timp (precum otrava) de pe țintă.
SpellDescription.DamageSpeedDecrease.MainDescription:		Scade viteza cu {0}% și provoacă {1} {2}.
SpellDescription.DamageToPower.MainDescription:		Convertește {0}% din daunele de vraji primite pe țintă în mană.
SpellDescription.DeathClaw.MainDescription:			{0} reduce viața inamicului cu 90%. Nu afectează spirite, creaturi slabe sau ținte peste nivelul {1}; efect redus pe nemorți și șefi.
SpellDescription.EnduranceDrain.MainDescription:	{0}% anduranță este drenată de la țintă și transferată incantatorului.
SpellDescription.EnduranceHeal.MainDescription:		Restabilește {0} anduranță.
SpellDescription.Disarm.MainDescription1:			Dezarmează ținta pentru {0} s.
SpellDescription.Disarm.MainDescription2:			Nu poate fi reaplicat până după {0} s.
SpellDescription.GroundArea.MainDescription1:		Creează un „nor” care lovește pe toți din zonă.
SpellDescription.GroundArea.MainDescription2:		Efect de zonă:
SpellDescription.CloudsongFall.MainDescription:		Reduce daunele de cădere cu {0}%.
SpellDescription.DoomHammer.MainDescription:		Provoacă {0} {1}.
SpellDescription.RampingDamageFocus.SingleTargetNoSnare:	Provoacă {0} {1} pe puls țintei. Crește cu {2}% pe puls până la {3}%. Costă {4}% mană pe puls.
SpellDescription.RampingDamageFocus.SingleTargetSnare:		Provoacă {0} {1} pe puls și reduce viteza cu {5}%. Crește cu {2}% până la {3}%. Costă {4}% mană pe puls.
SpellDescription.RampingDamageFocus.AoENoSnare:				Provoacă {0} {1} pe puls într-o zonă. Crește cu {2}% până la {3}%. Costă {4}% mană pe puls.
SpellDescription.RampingDamageFocus.AoESnare:				Provoacă {0} {1} pe puls în zonă și reduce viteza cu {5}%. Crește cu {2}% până la {3}%. Costă {4}% mană pe puls.
SpellDescription.HereticPiercingMagic.MainDescription:		Mărește eficiența vrăjilor țintei cu {0}% și reduce rezistențele totale împotriva nivelelor superioare.
SpellDescription.SummonNethersbane.MainDescription1:		Chemează Nethersbane, lama necurată a lui Arawn.
SpellDescription.SummonNethersbane.MainDescription2:		Face daune de frig.
SpellDescription.SummonIcebrand.MainDescription1:			Chemează Icebrand, lama necurată îmbibată în umbre.
SpellDescription.SummonIcebrand.MainDescription2:			Face daune de frig.
SpellDescription.GoldenSpearJavelin.MainDescription:		Chemează 5 sulițe magice de aruncat.
SpellDescription.OmniHeal.MainDescription:					Îți returnează {0}% viață, anduranță și mană.
SpellDescription.OmniHarm.MainDescription:					Ținta pierde {0} anduranță și {1} mană.
SpellDescription.OmniLifeDrain.MainDescription:				Provoacă daune; returnează incantatorului {0}% ca viață, {1}% ca mană și {2}% ca anduranță.
SpellDescription.PowerHeal.MainDescription:					Restabilește {0}% din mana țintei.
SpellDescription.Silence.MainDescription:					Reduce la tăcere inamicul pentru {0} s.
SpellDescription.IllusionSpell.MainDescription1:			Invocatorul creează {0} iluzii {1} care îl înconjoară și zăpăcesc inamicii.
SpellDescription.IllusionSpell.MainDescription2:			Iluziile fac {0}% din daunele invocatorului, au {1}% din viața lui maximă și dispar după {2} s.
SpellDescription.IllusionSpell.SubDescription1:				Invocatorul ia forma unei creaturi, iar cele {0} iluzii îi împărtășesc înfățișarea.
SpellDescription.IllusionSpell.SubDescription2a:			Iluziile se mișcă odată cu invocatorul și îi imită mișcările, stilurile și vrăjile.
SpellDescription.IllusionSpell.SubDescription2b:			Dacă incantatorul se mișcă, iluziile dispar și vraja se termină.
SpellDescription.Bump.MainDescriptionSingle:		Aruncă inamicul {0} unități în sus și îl împinge {1}%–{2}% din distanța maximă în față, amețindu-l în aer.
SpellDescription.Bump.MainDescriptionArea:			Împinge toți inamicii din {3} unități {0} în sus și {1}%–{2}% înainte, amețindu-i în aer.
SpellDescription.Bump.MainDescriptionCone:			Împinge inamicii într-un con {0} în sus și {1}%–{2}% înainte, amețindu-i în aer.
SpellDescription.Conversion.MainDescription:		Convertește {0}% din toate daunele primite în viață, anduranță și mană.
SpellDescription.MagicConversion.MainDescription:	Convertește {0}% din daunele magice primite în viață, anduranță și mană.
SpellDescription.Fury.MainDescription:				Acordă {0}% șansă de a rezista controlului mulțimii și crește toate rezistențele magice cu {0}%.
SpellDescription.HealthToFatigue.MainDescription:	Consumă {0}% din viața ta și restabilește {1}% din anduranța pierdută.
SpellDescription.Chamber.MainDescription:			Permite preîncărcarea unei camere cu o vrajă primară și secundară pentru a le elibera instant asupra țintei.
SpellDescription.Chamber.CanContainBolts:			Poate conține fulgere/bolts.
SpellDescription.Chamber.CannotContainBolts:		Nu poate conține bolts.
SpellDescription.FocusShell.MainDescription:		Reduce daunele primite din melee și vrăji cu {0}%.
SpellDescription.FocusShell.OnlyInPvPORvR:			Utilizabil doar în zone RvR sau PvP.
SpellDescription.Powerless.MainDescription:			Poți lansa o vrajă secundară fără cost de mană.
SpellDescription.Range.MainDescription:				Poți lansa o vrajă secundară cu {0}% distanță.
SpellDescription.Uninterruptable.MainDescription:	Poți lansa o vrajă secundară neîntreruptibilă, dar eficiența scade cu {0}%.
SpellDescription.Agony.ConditionDescription:		Necesită ca ținta să fie sub „Dread” și „Anguish”.
SpellDescription.Doom.ConditionDescription:			Necesită „Dread”, „Anguish” și „Agony”.
SpellDescription.Doom.Expires:						La expirare:
SpellDescription.BuffShear.Str:						Înlătură buffurile care cresc Forța.
SpellDescription.BuffShear.Dex:						Înlătură buffurile care cresc Dexteritatea.
SpellDescription.BuffShear.Con:						Înlătură buffurile care cresc Constituția.
SpellDescription.BuffShear.Acuity:					Înlătură buffurile care cresc Acuitatea.
SpellDescription.BuffShear.StrCon:					Înlătură buffurile Forță/Constituție.
SpellDescription.BuffShear.DexQui:					Înlătură buffurile Dexteritate/Viteza (Qui).
SpellDescription.BuffShear.Random:					Înlătură aleator un buff pozitiv.
SpellDescription.BuffShear.Ablative:				Înlătură toate scuturile ablative.
SpellDescription.ResistBuff.MainDescription:				Creste rezistența la {0} cu {1}%.
SpellDescription.BodySpiritEnergyBuff.MainDescription:		Creste rezistența la Trup, Spirit și Energie cu {0}%.
SpellDescription.HeatColdMatterBuff.MainDescription:		Creste rezistența la Foc, Rece și Materie cu {0}%.
SpellDescription.AllMagicResistsBuff.MainDescription:		Creste toate rezistențele magice cu {0}%.
SpellDescription.SecondaryMagicResistsBuff.MainDescription:	Creste rezistențele magice secundare cu {0}%.
SpellDescription.AllMeleeResistsBuff.MainDescription:		Creste rezistențele la daune corp-la-corp cu {0}%.
SpellDescription.AllResistsBuff.MainDescription:			Creste toate rezistențele cu {0}%.
SpellDescription.EssenceBuff.MainDescription:				Creste rezistența la daune „Esență” cu {0}%.
SpellDescription.ResistDebuff.MainDescription:				Reduce rezistența țintei la {0} cu {1}%.
SpellDescription.CrushSlashThrustDebuff.MainDescription:	Reduce rezistențele la daune corp-la-corp cu {0}%.
SpellDescription.EssenceDebuff.MainDescription:				Reduce rezistența la daune „Esență”.
SpellDescription.DualStatDebuff.MainDescription:			Reduce {0} și {1} ale țintei cu {2}.
SpellDescription.DualStatBuff.MainDescription:				Creste {0} și {1} cu {2}.
SpellDescription.SingleStatBuff.MainDescription:			Creste {0} cu {1}.
SpellDescription.CombatSpeedBuff.MainDescription:			Creste viteza de atac cu {0}%.
SpellDescription.FatigueConsumptionBuff.MainDescription:	Acțiunile consumă cu {0}% mai puțină anduranță.
SpellDescription.DPSBuff.MainDescription:					Creste DPS cu {0}%.
SpellDescription.MeleeDamageBuff.MainDescription:			Provoci cu {0}% mai multe daune melee.
SpellDescription.MesmerizeDurationBuff.MainDescription:		Reduce eficiența vrăjilor de hipnoză cu {0}%.
SpellDescription.EvadeChanceBuff.MainDescription:			Acordă {0}% șansă de eschivă.
SpellDescription.ParryChanceBuff.MainDescription:			Acordă {0}% șansă de parare.
SpellDescription.WeaponSkillBuff.MainDescription:			Creste abilitatea cu {0} cu {1}%.
SpellDescription.StealthSkillBuff.MainDescription:			Creste abilitatea de Furtivitate {0} cu {1}%.
SpellDescription.FlexibleSkillBuff.MainDescription:			Creste abilitatea Flexibil {0} cu {1}%.
SpellDescription.ResiPierceBuff.MainDescription:			Acordă {0}% șansă de penetrare a rezistențelor magice.
SpellDescription.CriticalMagicalBuff.MainDescription:		Creste șansa de critic la vrăji cu {0}%.
SpellDescription.CriticalMeleeBuff.MainDescription:			Creste șansa de critic în melee cu {0}%.
SpellDescription.SingleStatDebuff.MainDescription:			Reduce {0} cu {1}.
SpellDescription.CombatSpeedDebuff.MainDescription:			Reduce viteza de atac a țintei cu {0}%.
SpellDescription.MeleeDamageDebuff.MainDescription:			Ținta provoacă cu {0}% mai puține daune melee.
SpellDescription.FatigueConsumptionDebuff.MainDescription:	Creste consumul de anduranță al țintei în luptă cu {0}%.
SpellDescription.FumbleChanceDebuff.MainDescription:		Creste șansa țintei de stângație (fumble) cu {0}%.
SpellDescription.DPSDebuff.MainDescription:					Reduce DPS cu {0}%.
SpellDescription.SkillsDebuff.MainDescription:				Reduce abilitățile cu {0}%.
SpellDescription.Warlock.SecondarySpell:					Aceasta este o vrajă secundară.
SpellDescription.Warlock.PrimarySpell:						Aceasta este o vrajă primară.
SpellDescription.AllStatsDebuff.MainDescription:			Reduce toate atributele țintei cu {0}.
SpellDescription.AllStatsPercentDebuff.MainDescription:		Reduce toate atributele țintei cu {0}%.
SpellDescription.Morph.MainDescription:						Ținta a fost transformată în {0}.
SpellDescription.PowerRend.MainDescription:					Ținta pierde {0}% din mana sa.
SpellDescription.SummonAnimistFnF.MainDescription:		Chemează o turelă staționară pe ținta ta de sol care atacă inamicii din rază.
SpellDescription.Bomber.MainDescription:				Chemează un spirit elemental care zboară către țintă, explodează și își lansează vraja la sosire.
SpellDescription.SavageParryBuff.MainDescription:		Creste șansa ta de parare cu {0}%.
SpellDescription.SavageEvadeBuff.MainDescription:		Creste șansa ta de eschivă cu {0}%.
SpellDescription.SavageCombatSpeedBuff.MainDescription:	Creste viteza ta de atac cu {0}%.
SpellDescription.SavageDPSBuff.MainDescription:			Creste daunele tale melee cu {0}.
SpellDescription.SavageEnduranceHeal.MainDescription:	Recuperezi {0} anduranță cu prețul unei părți din viața ta.
SpellDescription.Archery.SingleTarget:					Provoacă {0} {1} țintei.
SpellDescription.Archery.AreaTarget:					Provoacă {0} {1} țintei și zonei.
SpellDescription.Archery.SecondaryEffectiveness:		Eficiența săgeții crește cu {0}%.
SpellDescription.WarlockSpeedDecrease.Frog:				Transformă ținta într-o broască!
SpellDescription.MaidenKiss.MainDescription:			Vindecă starea „Broască” de pe țintă.
SpellDescription.ArawnCure.MainDescription:				Vindecă otravă, boală și res-sickness.
SpellDescription.Fear.SingleTarget:						Însuflă frică în inamicul selectat. Nu afectează pet-uri sau ținte peste nivelul {0}.
SpellDescription.Fear.AreaTarget:						Însuflă frică monștrilor inamici într-o rază de {1} în jurul incantatorului. Nu afectează peste nivelul {0}.
SpellDescription.FearServant.SingleTarget:				Însuflă frică unui pet inamic. Nu afectează peste nivelul {0}.
SpellDescription.FearServant.AreaTarget:				Însuflă frică pet-urilor inamice în {1}. Nu afectează peste nivelul {0}.
SpellDescription.FearServant.SingleTarget&Npc:			Însuflă frică inamicului selectat. Nu afectează peste nivelul {0}.
SpellDescription.FearServant.AreaTarget&Npc:			Însuflă frică inamicilor în {1}. Nu afectează peste nivelul {0}.
SpellDescription.FearServant.PetDescription:			Sublinfluenta fricii, pet-urile nu pot fi controlate sau eliberate.
SpellDescription.BainsheePulseDmg.MainDescription:		Ținta suferă {0} {1}.
SpellDescription.BainsheePulseDmg.AreaDescription:		Lovește toți inamicii aproape de incantator.
SpellDescription.BainsheePulseDmg.SecondaryDescription:	Relansarea în timpul efectului îl anulează. Se termină dacă incantatorul se mișcă.
SpellDescription.BeFriend.MainDescriptionArea:			Farmeacă temporar (până la nivelul {0}) monștrii apropiați pentru a deveni prietenoși și aliați.
SpellDescription.BeFriend.MainDescriptionSingle:		Farmeacă temporar (până la nivelul {0}) monstrul selectat pentru a deveni prietenos și aliat.
SpellDescription.VampiirStealthDetection.MainDescription:	Creste detectarea inamicilor furiși cu {0}%.
SpellDescription.VampiirSkillBonusDeBuff.MainDescription:	Reduce temporar bonusurile de abilități ale țintei cu {0}%.
SpellDescription.VampiirMeleeResistance.MainDescription:	Creste rezistențele la daune melee cu {0}%.
SpellDescription.VampiirMagicResistance.MainDescription:	Creste șansa de a rezista daunelor magice cu {0}%.
SpellDescription.VampiirEffectivenessDeBuff.MainDescription:	Reduce temporar eficiența țintei cu {0}%.
SpellDescription.VampiirEffectivenessDeBuff.CombatCastable:	Se poate lansa în luptă.
SpellDescription.VampiirArmorDebuff.MainDescription:		Reduce temporar absorbția și factorul de armură al unei piese aleatoare (coif, trunchi sau picioare) cu {0}%.
SpellDescription.VampiirArmorDebuff.AdditionalInfo:			Afectează doar coiful, trunchiul sau picioarele.
SpellDescription.VampiirBolt.MainDescription:			Absoarbe {0}% din mana țintei și o convertește către incantator.
SpellDescription.VampiirBolt.MainDescription2:			Nu afectează ținte peste nivelul {0}.
SpellDescription.IllusionBlade.Part1:					Chemează o armă spectrală care luptă scurt timp alături de tine înainte de a se risipi.
SpellDescription.IllusionBlade.Part2:					Acționează independent și nu poate fi controlată, eliberată sau vindecată.
SpellDescription.RangeShield.MainDescription:			Protejează grupul incantatorului de atacurile fizice ale arcașilor.
SpellDescription.PetSpell.MainDescription1:				Vrăji pentru pet:
SpellDescription.PetSpell.MainDescription2:				Creste valorile listate ale țintei.
SpellDescription.Ascendance.MainDescription:			Creste semnificativ eficiența vrăjilor și abilităților tale cu {0}%.
SpellDescription.Ascendance.Restrictions:				În timpul „Înălțării” nu poți lansa vindecări sau reînvieri.
SpellDescription.Ascendance.Interaction:				„Maestru al Concentrației” anulează „Înălțarea” și invers.  
SpellDescription.Occultist.ConditionDescription1:		Nu poate fi lansată în forma Chtonică.
SpellDescription.Occultist.ConditionDescription2:		Nu poate fi lansată în forma Spirit sau Dement.
SpellDescription.Occultist.Summon.UmbralAegis1:			Chemează o Egidă Umbrală blindată. Excelentă pentru a tanka și a absorbi daune.
SpellDescription.Occultist.Summon.UmbralAegis2:			Forma Spirit: Egida obține DD cu rază 200, armură mărită, absorbție magică și viteză de luptă crescută.
SpellDescription.Occultist.Summon.Soultorn1:			Chemează o Sfâșiată de Suflet. Face daune de materie, dar este fragilă la magie și fizic.
SpellDescription.Occultist.Summon.Soultorn2:			Forma Spirit: adaugă debuff de Materie și Boală.
SpellDescription.Occultist.Summon.UmbralHulk1:			Chemează un Colos Umbral blindat, expert în daune fizice.
SpellDescription.Occultist.Summon.UmbralHulk2:			Forma Spirit: obține charge 5 s, stun de spate 3 s și șansă crescută de off-hand.
SpellDescription.Occultist.Summon.ImageOfArawn1:		Chemează o Icoană a lui Arawn. Vindecă aliații cu vindecări de 12%.
SpellDescription.Occultist.Summon.ImageOfArawn2:		Forma Spirit: adaugă vindecare pentru otravă, boală și res-sickness și poate elimina miopia.  
SpellDescription.Occultist.Summon.SuccubusArchDemon1:	Chemează o Sucubă demonică ce hipnotizează ținta.
SpellDescription.Occultist.Summon.SuccubusArchDemon2:	Forma Spirit: Arhidemonul primește un debuff puternic Dex/Qui și poate elimina miopia.
SpellDescription.Occultist.SpiritShapeShift1:			Adopți forma Spiritului. {0}% din daunele primite sunt absorbite și convertite în mană.
SpellDescription.Occultist.SpiritShapeShift2:			Regenerare de mană +{0} pe nivel și detectare stealth +{1}%.
SpellDescription.Occultist.SpiritShapeShift3:			Slujitorii tăi devin mai rezistenți și obțin abilități suplimentare.
SpellDescription.Occultist.ChtonicShapeShift1:			Întrupezi Cavalerul Chtonic. AF +{0} pe nivel; viață, AF și arme +{1}%, absorbție melee +{2}% și rezistențe magice secundare +{3}%.  
SpellDescription.Occultist.ChtonicShapeShift2:			Primești și abilitatea de Parare.
SpellDescription.Occultist.DecrepitShapeShift1:			Întrupezi Magul Decăzut. Daune magice +{0}%.
SpellDescription.Occultist.DecrepitShapeShift2:			Absorbția armurii +{0}%.
SpellDescription.Occultist.DecrepitShapeShift3:			Atacatorii melee au {0}% șansă să aplice Boală; trupul tău putrezit regenerează și regenerarea vieții +{1}.
SpellDescription.Occultist.BringerOfDeath1:				Întrupezi Aducătorul Morții. Vrăjile tale nu pot fi întrerupte, dar funcționează la {0}% și primești cu {1}% mai puține daune magice și fizice.
SpellDescription.Occultist.BringerOfDeath2:				Viteza de mișcare +{0}% și în speedwarps sau în luptă. Active și bonusurile de regen și Boala din forma Decrepită.
SpellDescription.DamageReturn.MainDescription:			Ricosează {0}% din daunele directe magice (nu DoT), melee și de proiectil în {1} către atacator cât timp este activ.
SpellDescription.OffProcShear.Main1:					Înlătură proc-urile ofensive active ale țintei.
SpellDescription.OffProcShear.Main2:					Aplică un proc blestemat de înlocuire ale cărui sub-vrăji îi vindecă pe inamicii țintei când lovesc.
SpellDescription.OffProcShear.ReplacementHeader:		Proc de înlocuire:


# ML Spells ShortDescriptions
SpellDescription.Convoker.SummonWood.MainDescription:			Chemează aleator 100 scânduri pentru a întări și repara porțile și zidurile forturilor.
