# HOUSING (RO)
House.DBHousePermissions.AccessLevel:			Nivel de acces {0}
Scripts.Player.Housing.BadShieldBanner:			Acesta nu este un obiect sau un banner valid.
Scripts.Player.Housing.CantBeSold:				Acest obiect nu poate fi vândut!
Scripts.Player.Housing.CarpetsRemoved:			Covorul dumneavoastră a fost îndepărtat.
Scripts.Player.Housing.ClearHookPoint:			Doriți să eliminați obiectul din punctul de ancorare?
Scripts.Player.Housing.EnteredHouse:				Intrați în casa numărul {0}.
Scripts.Player.Housing.GardenItemPlaced:			Obiecte de grădină plasate. {0} locuri rămase.
Scripts.Player.Housing.GardenItemPlacedName:		Lăsați obiectul {0} în grădina dumneavoastră.
Scripts.Player.Housing.GardenMaxObjects:			Ați depus 30 de obiecte în grădina dumneavoastră. Nu mai aveți loc.
Scripts.Player.Housing.GuildNowOwns:				[Breaslă] {0} deține acum o casă de breaslă de {1}!
Scripts.Player.Housing.HookPointAdded:			Acest obiect a fost adăugat casei dumneavoastră.
Scripts.Player.Housing.HookPointAlready:			Această ancorare are deja un obiect!
Scripts.Player.Housing.HookPointCleared:			Punctul de ancorare este acum gol.
Scripts.Player.Housing.HookPointCloser:			Apropiați-vă cât mai mult de lotul dorit și apăsați „acceptă”.
Scripts.Player.Housing.HookPointID:				ID-ul punctului de ancorare este: {0}
Scripts.Player.Housing.HookPointLogged:			Poziția punctului de ancorare {0}!
Scripts.Player.Housing.HookPointLogLoc:			Afișați punctele de ancorare?
Scripts.Player.Housing.HookPointNot:				Acesta nu este un obiect utilizabil pe ancorări!
Scripts.Player.Housing.HookPointNotPlaced:			Obiectul nu a fost plasat pe această ancorare.
Scripts.Player.Housing.HouseUseMaterial:			Folosiți shift+clic-dreapta în casa dumneavoastră pentru a schimba aspectul casei.
Scripts.Player.Housing.HouseUseMaterial:			Folosiți shift+clic-dreapta în casa dumneavoastră pentru a schimba covoarele.
Scripts.Player.Housing.IndoorFloorPlaced:			Ați plasat {0} la etajul casei dumneavoastră.
Scripts.Player.Housing.IndoorItemPlaced:			Obiect de interior plasat. {0} loc rămas.
Scripts.Player.Housing.IndoorMaxItems:			În prezent ați plasat {0} obiecte în casa dumneavoastră. Nu puteți plasa mai multe.
Scripts.Player.Housing.IndoorWallPlaced:			Tocmai ați plasat {0} pe peretele casei dumneavoastră.
Scripts.Player.Housing.InteriorBannersAdded:		Bannerul de breaslă interior a fost schimbat.
Scripts.Player.Housing.InteriorBannersRemoved:		Bannerul de breaslă interior a fost îndepărtat.
Scripts.Player.Housing.InteriorShieldsAdded:		Emblema de breaslă interioară a fost schimbată.
Scripts.Player.Housing.InteriorShieldsRemoved:		Emblema de breaslă interioară a fost îndepărtată.
Scripts.Player.Housing.LeftHouse:				Ieșire din casa {0}.
Scripts.Player.Housing.LotAlready:				Dețineți deja un alt lot sau o casă (numărul {0})
Scripts.Player.Housing.LotBought:				Tocmai ați cumpărat acest lot pentru {0}!
Scripts.Player.Housing.LotCost:					Poate fi cumpărat pentru {0}.
Scripts.Player.Housing.LotNotItem:				Acesta nu este un act de proprietate valid.
Scripts.Player.Housing.LotNotYours:				Nu dețineți acest lot!
Scripts.Player.Housing.LotOffer:				Doriți să cumpărați acest lot? Costă {0}.
Scripts.Player.Housing.LotTargeted:				Selectați lotul numărul {0}.
Scripts.Player.Housing.NotFloorObject:			Acest obiect nu poate fi plasat la etaj!
Scripts.Player.Housing.NotHookPoint:				Acest obiect nu poate fi plasat pe ancorare!
Scripts.Player.Housing.NotWallObject:				Acest obiect nu poate fi plasat pe perete!
Scripts.Player.Housing.OutdoorBannersAdded:		Bannerul de breaslă exterior a fost schimbat.
Scripts.Player.Housing.OutdoorBannersRemoved:		Bannerul de breaslă exterior a fost îndepărtat.
Scripts.Player.Housing.OutdoorShieldsAdded:		Emblema de breaslă exterioară a fost schimbată.
Scripts.Player.Housing.OutdoorShieldsRemoved:		Emblema de breaslă exterioară a fost îndepărtată.
Scripts.Player.Housing.PaidChanges:				Plătiți {0} pentru a efectua schimbările.
Scripts.Player.Housing.PaidNotEnough:			Nu aveți destui bani pentru a face asta!
Scripts.Player.Housing.PorchAlready:				Această casă are deja un pridvor!
Scripts.Player.Housing.PorchNone:				Această casă nu conține pridvor!
Scripts.Player.Housing.PorchNotItem:				Acesta nu este un obiect pentru pridvor!
Scripts.Player.Housing.TransferToGuild:			Doriți să transferați această casă către {0}?

