# DelveInfo
DelveInfo.CastingTime:					Zauberzeit: {0}
SpellDescription.MeleeAblativeArmor.MainDescription:		Das Ziel erhält einen temporären Lebenspuffer, der {0}% des erlittenen physischen Schadens bis zu maximal {1} Schaden absorbiert.
SpellDescription.MagicAblativeArmor.MainDescription:		Das Ziel erhält einen temporären Lebenspuffer, der {0}% des erlittenen magischen Schadens bis zu maximal {1} Schaden absorbiert.
SpellDescription.BothAblativeArmor.MainDescription:	Das Ziel erhält einen temporären Lebenspuffer, der {0}% sämtlichen Schadens bis zu maximal {1} Schaden absorbiert.
SpellDescription.BattleFeverDurationBuff.MainDescription:	Erhöht die Dauer des Kampffiebers um {0}%.
SpellDescription.TankAdrenaline.MainDescription:	Ihr seid vom Kampffieber überwältigt! Eure Nahkampfangriffe gegen Gegner gleicher Stufe können nicht verfehlen, und eure Verteidigung sowie Nahkampfkraft werden stark gesteigert!
SpellDescription.MageAdrenaline.MainDescription:	Ihr seid vom Kampffieber überwältigt! Eure Verteidigung, eure Trefferchance mit Zaubern und eure Zaubergeschwindigkeit werden stark erhöht, und ihr könnt durch Angriffe nicht mehr unterbrochen werden!
SpellDescription.StealthAdrenaline.MainDescription:	Ihr seid vom Kampffieber überwältigt! Eure Nahkampfangriffe gegen Gegner gleicher Stufe können nicht verfehlen, und eure Verteidigung, eure Tarnung sowie eure Kraft im Nah‑ und Fernkampf werden stark gesteigert!
SpellDescription.Amnesia.MainDescription:			Löscht den Geist des Monsters, sodass es vergisst, wen es angegriffen hat. Bricht alle im Wirken befindlichen Zauber feindlicher Ziele ab, ohne sie zu unterbrechen, außer im Falle eines Widerstands.
SpellDescription.Mesmerize.MainDescription:			Das Ziel ist hypnotisiert und kann keine Aktionen mehr ausführen.
SpellDescription.Stun.MainDescription:				Das Ziel ist betäubt und kann für {0} Sekunden keine Aktionen ausführen.
SpellDescription.Charm.MainDescription1:			Versucht, eine {0} Kreatur unter die Kontrolle des Verzauberers zu bringen.
SpellDescription.Charm.MainDescription2:			Beeinflusst Monster bis zu {0}% eurer Stufe, mit einer maximalen Stufe von {1}.
SpellDescription.CombatHeal.MainDescription:		Das Ziel wird alle {1} Sekunden um {0} Schaden geheilt.
SpellDescription.Confusion.MainDescriptionPositive:	Das anvisierte Wesen hat {0}% Chance, das Ziel zu wechseln.
SpellDescription.Confusion.MainDescriptionNegative:	Das anvisierte Wesen hat 100% Chance, das Ziel zu wechseln, und 75% Chance, einen Verbündeten anzugreifen.
SpellDescription.PetConversion.MainDescription:		Gibt das Ziel und alle von euch beschworenen Türme im Gebiet frei. {0}% des zum Beschwören des Begleiters verwendeten Manas wird dem Beschwörer zurückerstattet.
SpellDescription.CraftingSpeedBuff.MainDescription:	Erhöht die Handwerksgeschwindigkeit des Ziels um {0}%.
SpellDescription.CureDisease.MainDescription:		Entfernt alle Krankheitseffekte vom Ziel.
SpellDescription.CureMezz.MainDescription:			Entfernt alle Hypnoseeffekte vom Ziel.
SpellDescription.CureNearsight.MainDescription:		Entfernt alle Kurzsichtigkeits‑Effekte vom Ziel.
SpellDescription.CurePoison.MainDescription:		Entfernt alle Schaden‑über‑Zeit‑Effekte (wie Gifte) vom Ziel.
SpellDescription.DamageSpeedDecrease.MainDescription:		Das Ziel wird um {0}% verlangsamt. Verursacht {1} {2} am Ziel.
SpellDescription.DamageToPower.MainDescription:		{0}% aller an der Zielperson verursachten Zauberschäden werden in Mana umgewandelt.
SpellDescription.DeathClaw.MainDescription:			{0} reduziert die Lebenspunkte des Feindes um 90%. Wirkt nicht auf Geister, schwache Gegner oder Gegner über Stufe {1}, und hat reduzierte Wirkung auf Untote und Bosse.
SpellDescription.EnduranceDrain.MainDescription:	{0}% Ausdauer wird dem Ziel entzogen und dem Zaubernden übertragen.
SpellDescription.EnduranceHeal.MainDescription:		Stellt {0} Ausdauer wieder her.
SpellDescription.Disarm.MainDescription1:			Entwaffnet euer Ziel für {0} Sekunden.
SpellDescription.Disarm.MainDescription2:			Dieser Effekt kann erst {0} Sekunden nach Verwendung erneut ausgelöst werden.
SpellDescription.GroundArea.MainDescription1:		Erschafft eine „Wolke“, die alle Personen im Bereich beeinflusst.
SpellDescription.GroundArea.MainDescription2:		Flächeneffekt:
SpellDescription.CloudsongFall.MainDescription:		Das Ziel erleidet beim Fallen {0}% weniger Schaden.
SpellDescription.DoomHammer.MainDescription:		Verursacht {0} {1}.
SpellDescription.RampingDamageFocus.SingleTargetNoSnare:	Verursacht bei jeder Pulsation {0} {1} am Ziel. Der Schaden steigt mit jeder Pulsation um {2}% bis zu maximal {3}%. Kostet {4}% Mana pro Puls.
SpellDescription.RampingDamageFocus.SingleTargetSnare:		Verursacht bei jeder Pulsation {0} {1} am Ziel und verringert seine Bewegungsgeschwindigkeit um {5}%. Der Schaden steigt pro Puls um {2}% bis zu maximal {3}%. Kostet {4}% Mana pro Puls.
SpellDescription.RampingDamageFocus.AoENoSnare:				Verursacht bei jeder Pulsation {0} {1} im Gebiet. Der Schaden steigt pro Puls um {2}% bis zu maximal {3}%. Kostet {4}% Mana pro Puls.
SpellDescription.RampingDamageFocus.AoESnare:				Verursacht bei jeder Pulsation {0} {1} im Gebiet und verringert die Bewegungsgeschwindigkeit um {5}%. Der Schaden steigt pro Puls um {2}% bis zu maximal {3}%. Kostet {4}% Mana pro Puls.
SpellDescription.HereticPiercingMagic.MainDescription:		Die Wirksamkeit der Zauber des Ziels wird um {0}% erhöht. Dies sollte das Risiko eines vollständigen Widerstands gegen höherstufige Gegner verringern.
SpellDescription.SummonNethersbane.MainDescription1:		Beschwört Nethersbane, die unheilige Klinge Arawns.
SpellDescription.SummonNethersbane.MainDescription2:		Die Schadensart von Nethersbane ist Kälte.
SpellDescription.SummonIcebrand.MainDescription1:			Beschwört Icebrand, die von der Schattenkraft durchdrungene unheilige Klinge.
SpellDescription.SummonIcebrand.MainDescription2:			Die Schadensart von Icebrand ist Kälte.
SpellDescription.GoldenSpearJavelin.MainDescription:		Beschwört 5 magische Speere.
SpellDescription.OmniHeal.MainDescription:					Das Ziel erhält {0}% seiner Lebens‑, Ausdauer‑ und Manapunkte zurück.
SpellDescription.OmniHarm.MainDescription:					Das Ziel verliert außerdem {0} Punkt(e) Ausdauer und {1} Punkt(e) Mana.
SpellDescription.OmniLifeDrain.MainDescription:				Fügt dem Ziel Schaden zu. {0}% des Schadens werden als Leben, {1}% als Mana und {2}% als Ausdauer an den Zaubernden zurückgegeben.
SpellDescription.PowerHeal.MainDescription:					Stellt {0}% des Manavorrats des Ziels wieder her.
SpellDescription.Silence.MainDescription:					Der Feind wird zum Schweigen gebracht und kann {0} Sekunden lang keine Zauber wirken.
SpellDescription.IllusionSpell.MainDescription1:			Der Beschwörer erschafft {0} {1} Illusionen, die ihn umgeben und seine Gegner verunsichern.
SpellDescription.IllusionSpell.MainDescription2:			Die Illusionen verursachen {0}% des Schadens des Beschwörers, besitzen {1}% seiner maximalen Lebenspunkte und verschwinden nach {2} Sekunden.
SpellDescription.IllusionSpell.SubDescription1:				Der Beschwörer verwandelt sich in eine Kreatur, und die {0} beschworenen Illusionen teilen das gleiche Aussehen.
SpellDescription.IllusionSpell.SubDescription2a:			Die Illusionen bewegen sich mit dem Beschwörer und ahmen seine Bewegungen, Stile und Zauber nach.
SpellDescription.IllusionSpell.SubDescription2b:			Bewegt sich der Zaubernde, verschwinden die Illusionen sofort und der Zauber endet.
SpellDescription.Bump.MainDescriptionSingle:		Schleudert den anvisierten Feind {0} Einheiten hoch in die Luft und katapultiert ihn {1}% bis {2}% der maximalen Wurfentfernung nach vorn, wodurch er in der Luft benommen wird.
SpellDescription.Bump.MainDescriptionArea:			Alle Feinde in einem Radius von {3} Einheiten werden {0} Einheiten hochgeschleudert und {1}% bis {2}% der maximalen Wurfentfernung nach vorn geworfen und bleiben in der Luft benommen.
SpellDescription.Bump.MainDescriptionCone:			Feinde im Kegel vor dem Zaubernden werden {0} Einheiten hochgeschleudert und {1}% bis {2}% der maximalen Wurfentfernung nach vorn geworfen und bleiben in der Luft benommen.
SpellDescription.Conversion.MainDescription:		{0}% aller erlittenen Schadensarten werden in Gesundheit, Ausdauer und Mana umgewandelt.
SpellDescription.MagicConversion.MainDescription:	{0}% allen erlittenen Magieschadens werden in Gesundheit, Ausdauer und Mana umgewandelt.
SpellDescription.Fury.MainDescription:				Gewährt {0}% Chance, Kontrollzauber abzuwehren, und erhöht alle magischen Resistenzen um {0}%.
SpellDescription.HealthToFatigue.MainDescription:	Das Ziel verbraucht {0}% seiner Lebenspunkte und erhält {1}% verlorene Ausdauer zurück.
SpellDescription.Chamber.MainDescription:			Ermöglicht das Vorladen einer Kammer mit einem Primär‑ und einem Sekundärzauber, die sofort auf das Ziel entladen werden können.
SpellDescription.Chamber.CanContainBolts:			Kann Geschosse enthalten.
SpellDescription.Chamber.CannotContainBolts:		Kann keine Geschosse enthalten.
SpellDescription.FocusShell.MainDescription:		Verringert sämtlichen Nahkampf‑ und Zauberschaden am Ziel um {0}%.
SpellDescription.FocusShell.OnlyInPvPORvR:			Dieser Zauber kann nur in RvR‑ oder PvP‑Zonen verwendet werden.
SpellDescription.Powerless.MainDescription:			Ermöglicht das Wirken eines Sekundärzaubers ohne Manakosten.
SpellDescription.Range.MainDescription:				Ermöglicht das Wirken eines Sekundärzaubers mit {0}% Reichweite.
SpellDescription.Uninterruptable.MainDescription:	Ermöglicht das Wirken eines Sekundärzaubers ohne Unterbrechung, verringert jedoch dessen Effektivität um {0}%.
SpellDescription.Agony.ConditionDescription:		Das Ziel muss unter den Effekten „Dread“ und „Anguish“ stehen, um diesen Zauber zu wirken.
SpellDescription.Doom.ConditionDescription:			Das Ziel muss unter den Effekten „Dread“, „Anguish“ und „Agony“ stehen, um diesen Zauber zu wirken.
SpellDescription.Doom.Expires:						Beim Ablauf des Zaubers:
SpellDescription.BuffShear.Str:						Entfernt positive Zaubereffekte, die die Stärke des Ziels erhöhen.
SpellDescription.BuffShear.Dex:						Entfernt positive Zaubereffekte, die die Geschicklichkeit des Ziels erhöhen.
SpellDescription.BuffShear.Con:						Entfernt positive Zaubereffekte, die die Konstitution des Ziels erhöhen.
SpellDescription.BuffShear.Acuity:					Entfernt positive Zaubereffekte, die die Klarsicht des Ziels erhöhen.
SpellDescription.BuffShear.StrCon:					Entfernt positive Zaubereffekte, die Stärke/Konstitution des Ziels erhöhen.
SpellDescription.BuffShear.DexQui:					Entfernt positive Zaubereffekte, die Geschicklichkeit/Schnelligkeit des Ziels erhöhen.
SpellDescription.BuffShear.Random:					Entfernt zufällig einen positiven Zaubereffekt vom Ziel.
SpellDescription.BuffShear.Ablative:				Entfernt alle ablativ‑Schilde vom Ziel.
SpellDescription.ResistBuff.MainDescription:				Erhöht die Resistenz des Ziels gegen {0} um {1}%.
SpellDescription.BodySpiritEnergyBuff.MainDescription:		Erhöht die Resistenz des Ziels gegen Körper‑, Geist‑ und Energieschaden um {0}%.
SpellDescription.HeatColdMatterBuff.MainDescription:		Erhöht die Resistenz des Ziels gegen Hitze‑, Kälte‑ und Stoffschaden um {0}%.
SpellDescription.AllMagicResistsBuff.MainDescription:		Erhöht die Resistenz des Ziels gegen sämtlichen magischen Schaden um {0}%.
SpellDescription.SecondaryMagicResistsBuff.MainDescription:	Erhöht die sekundären magischen Resistenzen des Ziels um {0}%.
SpellDescription.AllMeleeResistsBuff.MainDescription:		Erhöht die Resistenz des Ziels gegen sämtlichen Nahkampfschaden um {0}%.
SpellDescription.AllResistsBuff.MainDescription:			Erhöht die Resistenz des Ziels gegen alle Schadensarten um {0}%.
SpellDescription.EssenceBuff.MainDescription:				Erhöht die Resistenz des Ziels gegen „Essenz“‑Schaden um {0}%.
SpellDescription.ResistDebuff.MainDescription:				Verringert die Resistenz des Ziels gegen {0} um {1}%.
SpellDescription.CrushSlashThrustDebuff.MainDescription:	Verringert die Resistenzen des Ziels gegen Nahkampfschaden um {0}%.
SpellDescription.EssenceDebuff.MainDescription:				Verringert die Resistenzen des Ziels gegen „Essenz“‑Schaden.
SpellDescription.DualStatDebuff.MainDescription:			Verringert {0} und {1} des Ziels um {2}.
SpellDescription.DualStatBuff.MainDescription:				Erhöht {0} und {1} um {2}.
SpellDescription.SingleStatBuff.MainDescription:			Erhöht {0} um {1}.
SpellDescription.CombatSpeedBuff.MainDescription:			Erhöht die Angriffsgeschwindigkeit um {0}%.
SpellDescription.FatigueConsumptionBuff.MainDescription:	Aktionen benötigen {0}% weniger Ausdauer.
SpellDescription.DPSBuff.MainDescription:					Erhöht den DPS um {0}%.
SpellDescription.MeleeDamageBuff.MainDescription:			Ihr verursacht {0}% mehr Nahkampfschaden.
SpellDescription.MesmerizeDurationBuff.MainDescription:		Verringert die Wirksamkeit von Hypnose‑Zaubern um {0}%.
SpellDescription.EvadeChanceBuff.MainDescription:			Gewährt {0}% Chance, Angriffen auszuweichen.
SpellDescription.ParryChanceBuff.MainDescription:			Gewährt {0}% Chance, Angriffe zu parieren.
SpellDescription.WeaponSkillBuff.MainDescription:			Erhöht die Waffenkunde {0} um {1}%.
SpellDescription.StealthSkillBuff.MainDescription:			Erhöht die Schleichen‑Fertigkeit {0} um {1}%.
SpellDescription.FlexibleSkillBuff.MainDescription:			Erhöht die Flexible‑Fertigkeit {0} um {1}%.
SpellDescription.ResiPierceBuff.MainDescription:			Gewährt {0}% Chance, magische Resistenzen zu durchdringen.
SpellDescription.CriticalMagicalBuff.MainDescription:		Erhöht die Krit‑Chance der Zauber des Ziels um {0}%.
SpellDescription.CriticalMeleeBuff.MainDescription:			Erhöht die Krit‑Chance des Ziels im Nahkampf um {0}%.
SpellDescription.SingleStatDebuff.MainDescription:			Verringert {0} um {1}.
SpellDescription.CombatSpeedDebuff.MainDescription:			Die Angriffsgeschwindigkeit des Ziels ist um {0}% reduziert.
SpellDescription.MeleeDamageDebuff.MainDescription:			Das Ziel verursacht {0}% weniger Nahkampfschaden.
SpellDescription.FatigueConsumptionDebuff.MainDescription:	Erhöht die vom Ziel im Kampf verbrauchte Ausdauer um {0}%.
SpellDescription.FumbleChanceDebuff.MainDescription:		Erhöht die Wahrscheinlichkeit eines Patzers des Ziels um {0}%.
SpellDescription.DPSDebuff.MainDescription:					Verringert den DPS um {0}%.
SpellDescription.SkillsDebuff.MainDescription:				Verringert die Fertigkeiten um {0}%.
SpellDescription.Warlock.SecondarySpell:					Dies ist ein Sekundärzauber.
SpellDescription.Warlock.PrimarySpell:						Dies ist ein Primärzauber.
SpellDescription.AllStatsDebuff.MainDescription:			Verringert alle Attribute des Ziels um {0}.
SpellDescription.AllStatsPercentDebuff.MainDescription:		Verringert alle Attribute des Ziels um {0}%.
SpellDescription.Morph.MainDescription:						Das Ziel wurde in {0} verwandelt.
SpellDescription.PowerRend.MainDescription:					Das Ziel verliert {0}% Mana.
SpellDescription.SummonAnimistFnF.MainDescription:		Beschwört einen stationären Turm am Ort eures Bodenziels, der alle Feinde in Reichweite angreift.
SpellDescription.Bomber.MainDescription:				Beschwört einen Elementargeist, der zum Ziel fliegt und explodiert und beim Eintreffen seinen Zauber wirkt.
SpellDescription.SavageParryBuff.MainDescription:		Erhöht eure Parierchance um {0}%.
SpellDescription.SavageEvadeBuff.MainDescription:		Erhöht eure Ausweichchance um {0}%.
SpellDescription.SavageCombatSpeedBuff.MainDescription:	Erhöht eure Angriffsgeschwindigkeit um {0}%.
SpellDescription.SavageDPSBuff.MainDescription:			Erhöht euren Nahkampfschaden um {0}.
SpellDescription.SavageEnduranceHeal.MainDescription:	Ihr erhaltet {0} Ausdauer zurück, auf Kosten eines Teils eurer Gesundheit.
SpellDescription.Archery.SingleTarget:					Fügt dem Ziel {0} {1} zu.
SpellDescription.Archery.AreaTarget:					Fügt dem Ziel und seiner Umgebung {0} {1} zu.
SpellDescription.Archery.SecondaryEffectiveness:		Die Wirksamkeit des Schusses ist um {0}% erhöht.
SpellDescription.WarlockSpeedDecrease.Frog:				Verwandelt das Ziel in einen Frosch!
SpellDescription.MaidenKiss.MainDescription:			Heilt das Ziel vom Status „Frosch“.
SpellDescription.ArawnCure.MainDescription:				Heilt das Ziel von den Zuständen Gift, Krankheit und Wiederbelebungskrankheit.
SpellDescription.Fear.SingleTarget:						Ängstigt den anvisierten Feind. Wirkt nicht auf Begleiter oder Gegner über Stufe {0}.
SpellDescription.Fear.AreaTarget:						Ein gebiets­zentrierter Furchtzauber um den Zaubernden, der feindliche Monster in einem Radius von {1} Einheiten erschreckt. Wirkt nicht auf Begleiter oder Gegner über Stufe {0}.
SpellDescription.FearServant.SingleTarget:				Jagt einen anvisierten feindlichen Begleiter in panischer Furcht davon. Wirkt nicht auf feindliche Begleiter über Stufe {0}.
SpellDescription.FearServant.AreaTarget:				Ein gebiets­zentrierter Furchtzauber um den Zaubernden, der feindliche Begleiter in einem Radius von {1} Einheiten erschreckt. Wirkt nicht auf feindliche Begleiter über Stufe {0}.
SpellDescription.FearServant.SingleTarget&Npc:			Ängstigt den anvisierten Feind. Wirkt nicht auf Gegner über Stufe {0}.
SpellDescription.FearServant.AreaTarget&Npc:			Ein gebiets­zentrierter Furchtzauber um den Zaubernden, der Gegner in einem Radius von {1} Einheiten erschreckt. Wirkt nicht auf Gegner über Stufe {0}.
SpellDescription.FearServant.PetDescription:			Unter Furcht stehende Begleiter können von ihrem Herrscher nicht kontrolliert oder freigelassen werden.
SpellDescription.BainsheePulseDmg.MainDescription:		Das Ziel erleidet {0} {1}.
