GameUtils.Guild.LevelUp:		{0} a atteint le niveau {1}!
GameUtils.Guild.MiscInfos10:		- L'utilisation de /gc territorybanner a été améliorée ; les gardes du territoire bénéficieront désormais d'un bonus d'absorption de dégâts supplémentaire de 15% contre les attaques magiques et les attaques en mêlée, en plus du bonus existant de {0}%.
GameUtils.Guild.MiscInfos11:		- Tous les bonus des buffs de guilde sont désormais améliorés de 50%, cependant l'utilisation d'un buff de guilde coûte désormais 3000 points de Mérite de guilde au lieu des 1000 points d'origine.
GameUtils.Guild.MiscInfos12:		- Les effets bénéfiques de la bannière de guilde sont désormais améliorés de 20% pour le porteur de la bannière ainsi que pour les joueurs environnants.
GameUtils.Guild.MiscInfos13:		- L'utilisation de /gc territorybanner a été améliorée pour fournir un bonus de 15% aux dégâts magiques et de mêlée pour tous les gardes du territoire, tout en augmentant également leur chance de coup critique de 10%.

GameUtils.Guild.Banner.BannerInGroup:			Quelqu'un dans votre groupe a déjà une bannière active!
GameUtils.Guild.Banner.BannerNoGroup:			Vous avez quitté le groupe et votre bannière disparaît!
GameUtils.Guild.Banner.LeavesGroup:				Vous avez perdu les effets de la bannière de {0}!
GameUtils.Guild.Banner.PutAway:					{0} a retiré la bannière de guilde!
GameUtils.Guild.Banner.PutAway.OtherGuild:		{0} a retiré la bannière de {1}!
GameUtils.Guild.Banner.Dropped:					{0} a lâché la bannière de guilde!
GameUtils.Guild.Banner.Dropped.OtherGuild:		{0} a lâché la bannière de {1}!
GameUtils.Guild.Banner.Recovered:				{0} a récupéré la bannière de guilde!
GameUtils.Guild.Banner.PickedUp:				{0} a ramassé la bannière de guilde!
GameUtils.Guild.Banner.PickedUp.OtherGuild:		{0} a ramassé la bannière de {1}!
GameUtils.Guild.Banner.Captured:				{0} a capturé votre bannière de guilde!
GameUtils.Guild.Banner.Captured.InGuild:			{0} de {1} a capturé votre bannière de guilde!
GameUtils.Guild.Banner.Captured.OtherGuild:			{0} a capturé la bannière de {1}!
GameUtils.Guild.Banner.Captured.OtherGuild.InGuild:	{0} de {1} a capturé la bannière de {2}!
GameUtils.Guild.Banner.Captured.You:			Vous avez capturé la bannière de {0}!
GameUtils.Guild.Banner.Lost:					Votre bannière de guilde est perdue!
