# DelveInfo
DelveInfo.CastingTime:          Tiempo de lanzamiento: {0}
SpellDescription.Uninterruptable.MainDescription:	Permite lanzar un hechizo secundario sin interrupciones, pero reduce su efectividad un {0}%.
SpellDescription.Agony.ConditionDescription:		Requiere que el objetivo esté bajo “Dread” y “Anguish”.
SpellDescription.Doom.ConditionDescription:			Requiere “Dread”, “Anguish” y “Agony”.
SpellDescription.Doom.Expires:						Al expirar:
SpellDescription.BuffShear.Str:						Elimina mejoras que aumenten la fuerza.
SpellDescription.BuffShear.Dex:						Elimina mejoras que aumenten la destreza.
SpellDescription.BuffShear.Con:						Elimina mejoras que aumenten la constitución.
SpellDescription.BuffShear.Acuity:					Elimina mejoras que aumenten la lucidez.
SpellDescription.BuffShear.StrCon:					Elimina mejoras de fuerza/constitución.
SpellDescription.BuffShear.DexQui:					Elimina mejoras de destreza/rapidez.
SpellDescription.BuffShear.Random:					Elimina aleatoriamente una mejora positiva.
SpellDescription.BuffShear.Ablative:				Elimina todos los escudos ablativos.
SpellDescription.ResistBuff.MainDescription:				Aumenta la resistencia a {0} un {1}%.
SpellDescription.BodySpiritEnergyBuff.MainDescription:		Aumenta la resistencia a cuerpo, espíritu y energía un {0}%.
SpellDescription.HeatColdMatterBuff.MainDescription:		Aumenta la resistencia a calor, frío y materia un {0}%.
SpellDescription.AllMagicResistsBuff.MainDescription:		Aumenta todas las resistencias mágicas un {0}%.
SpellDescription.SecondaryMagicResistsBuff.MainDescription:	Aumenta las resistencias mágicas secundarias un {0}%.
SpellDescription.AllMeleeResistsBuff.MainDescription:		Aumenta las resistencias de daño cuerpo a cuerpo un {0}%.
SpellDescription.AllResistsBuff.MainDescription:			Aumenta todas las resistencias un {0}%.
SpellDescription.EssenceBuff.MainDescription:				Aumenta la resistencia al daño de “Esencia” un {0}%.
SpellDescription.ResistDebuff.MainDescription:				Reduce la resistencia a {0} del objetivo un {1}%.
SpellDescription.CrushSlashThrustDebuff.MainDescription:	Reduce las resistencias a daño cuerpo a cuerpo un {0}%.
SpellDescription.EssenceDebuff.MainDescription:				Reduce las resistencias al daño de “Esencia”.
SpellDescription.DualStatDebuff.MainDescription:			Reduce {0} y {1} del objetivo en {2}.
SpellDescription.DualStatBuff.MainDescription:				Aumenta {0} y {1} en {2}.
SpellDescription.SingleStatBuff.MainDescription:			Aumenta {0} en {1}.
SpellDescription.CombatSpeedBuff.MainDescription:			Aumenta la velocidad de ataque un {0}%.
SpellDescription.FatigueConsumptionBuff.MainDescription:	Las acciones consumen un {0}% menos de aguante.
SpellDescription.DPSBuff.MainDescription:					Aumenta el DPS un {0}%.
SpellDescription.MeleeDamageBuff.MainDescription:			Infliges un {0}% más de daño cuerpo a cuerpo.
SpellDescription.MesmerizeDurationBuff.MainDescription:		Reduce la eficacia de los hechizos de hipnosis un {0}%.
SpellDescription.EvadeChanceBuff.MainDescription:			Otorga un {0}% de probabilidad de esquivar.
SpellDescription.ParryChanceBuff.MainDescription:			Otorga un {0}% de probabilidad de parar.
SpellDescription.WeaponSkillBuff.MainDescription:			Aumenta la pericia con {0} un {1}%.
SpellDescription.StealthSkillBuff.MainDescription:			Aumenta la habilidad de Sigilo {0} un {1}%.
SpellDescription.FlexibleSkillBuff.MainDescription:			Aumenta la habilidad Flexible {0} un {1}%.
SpellDescription.ResiPierceBuff.MainDescription:			Otorga un {0}% de probabilidad de atravesar resistencias mágicas.
SpellDescription.CriticalMagicalBuff.MainDescription:		Aumenta la probabilidad de crítico de hechizos un {0}%.
SpellDescription.CriticalMeleeBuff.MainDescription:			Aumenta la probabilidad de crítico en cuerpo a cuerpo un {0}%.
SpellDescription.SingleStatDebuff.MainDescription:			Reduce {0} en {1}.
SpellDescription.CombatSpeedDebuff.MainDescription:			Reduce la velocidad de ataque del objetivo un {0}%.
SpellDescription.MeleeDamageDebuff.MainDescription:			El objetivo inflige un {0}% menos de daño cuerpo a cuerpo.
SpellDescription.FatigueConsumptionDebuff.MainDescription:	Aumenta el aguante consumido en combate por el objetivo un {0}%.
SpellDescription.FumbleChanceDebuff.MainDescription:		Aumenta la probabilidad de fallo del objetivo un {0}%.
SpellDescription.DPSDebuff.MainDescription:					Reduce el DPS un {0}%.
SpellDescription.SkillsDebuff.MainDescription:				Reduce habilidades un {0}%.
SpellDescription.Warlock.SecondarySpell:					Este es un hechizo secundario.
SpellDescription.Warlock.PrimarySpell:						Este es un hechizo primario.
SpellDescription.AllStatsDebuff.MainDescription:			Reduce todos los atributos del objetivo en {0}.
SpellDescription.AllStatsPercentDebuff.MainDescription:		Reduce todos los atributos del objetivo en {0}%.
SpellDescription.Morph.MainDescription:						El objetivo se ha transformado en {0}.
SpellDescription.PowerRend.MainDescription:					El objetivo pierde {0}% de su maná.
SpellDescription.SummonAnimistFnF.MainDescription:		Invoca una torreta estacionaria en tu objetivo de suelo que ataca a enemigos en alcance.
SpellDescription.Bomber.MainDescription:				Invoca un espíritu elemental que vuela al objetivo, explota y lanza su hechizo al llegar.
SpellDescription.SavageParryBuff.MainDescription:		Aumenta tu probabilidad de parar un {0}%.
SpellDescription.SavageEvadeBuff.MainDescription:		Aumenta tu probabilidad de esquivar un {0}%.
SpellDescription.SavageCombatSpeedBuff.MainDescription:	Aumenta tu velocidad de ataque un {0}%.
SpellDescription.SavageDPSBuff.MainDescription:			Aumenta tu daño cuerpo a cuerpo en {0}.
SpellDescription.SavageEnduranceHeal.MainDescription:	Recuperas {0} de aguante a costa de parte de tu salud.
SpellDescription.Archery.SingleTarget:					Inflige {0} de {1} al objetivo.
SpellDescription.Archery.AreaTarget:					Inflige {0} de {1} al objetivo y a su entorno.
SpellDescription.Archery.SecondaryEffectiveness:		La efectividad del disparo aumenta un {0}%.
SpellDescription.WarlockSpeedDecrease.Frog:				¡Transforma al objetivo en una rana!
SpellDescription.MaidenKiss.MainDescription:			Cura el estado de “Rana” del objetivo.
SpellDescription.ArawnCure.MainDescription:				Cura veneno, enfermedad y res‑sickness.
SpellDescription.Fear.SingleTarget:						Asusta al enemigo seleccionado. No afecta a mascotas ni a objetivos por encima de nivel {0}.
SpellDescription.Fear.AreaTarget:						Asusta a monstruos enemigos en un radio de {1} alrededor del lanzador. No afecta por encima de nivel {0}.
SpellDescription.FearServant.SingleTarget:				Asusta a una mascota enemiga. No afecta por encima de nivel {0}.
SpellDescription.FearServant.AreaTarget:				Asusta a mascotas enemigas en un radio de {1}. No afecta por encima de nivel {0}.
SpellDescription.FearServant.SingleTarget&Npc:			Asusta al enemigo seleccionado. No afecta por encima de nivel {0}.
SpellDescription.FearServant.AreaTarget&Npc:			Asusta a enemigos en un radio de {1}. No afecta por encima de nivel {0}.
SpellDescription.FearServant.PetDescription:			Bajo miedo, las mascotas no pueden ser controladas ni liberadas por su amo.
SpellDescription.BainsheePulseDmg.MainDescription:		El objetivo sufre {0} de {1}.
SpellDescription.BainsheePulseDmg.AreaDescription:		Afecta a todos los enemigos cerca del lanzador.
SpellDescription.BainsheePulseDmg.SecondaryDescription:	Re‑lanzar durante su efecto lo cancela. Termina si el lanzador se mueve.
SpellDescription.BeFriend.MainDescriptionArea:			Encanta temporalmente (hasta nivel {0}) a monstruos cercanos haciéndolos amistosos y aliados.
SpellDescription.BeFriend.MainDescriptionSingle:		Encanta temporalmente (hasta nivel {0}) al monstruo seleccionado haciéndolo amistoso y aliado.
SpellDescription.VampiirStealthDetection.MainDescription:	Aumenta la detección de enemigos en sigilo un {0}%.
SpellDescription.VampiirSkillBonusDeBuff.MainDescription:	Reduce temporalmente las bonificaciones de habilidad del objetivo durante {0} segundos.
SpellDescription.VampiirMeleeResistance.MainDescription:	Aumenta las resistencias de daño cuerpo a cuerpo un {0}%.
SpellDescription.VampiirMagicResistance.MainDescription:	Aumenta la probabilidad de resistir daño mágico un {0}%.
SpellDescription.VampiirEffectivenessDeBuff.MainDescription:	Reduce temporalmente la efectividad del objetivo un {0}%.
SpellDescription.VampiirEffectivenessDeBuff.CombatCastable:		Lanzable en combate.
SpellDescription.VampiirArmorDebuff.MainDescription:		Reduce temporalmente la absorción y el factor de armadura de una pieza aleatoria (casco, torso o piernas) un {0}%.
SpellDescription.VampiirArmorDebuff.AdditionalInfo:			Solo afectan casco, torso o piernas.
SpellDescription.VampiirBolt.MainDescription:			Absorbe el {0}% del maná del objetivo y lo transfiere al lanzador.
SpellDescription.VampiirBolt.MainDescription2:			No afecta a objetivos por encima del nivel {0}.
SpellDescription.IllusionBlade.Part1:					Invoca un arma espectral que lucha a tu lado brevemente antes de desvanecerse.
SpellDescription.IllusionBlade.Part2:					Actúa por sí misma y no puede ser controlada, liberada ni curada.
SpellDescription.RangeShield.MainDescription:			Protege al grupo del lanzador contra ataques físicos de arqueros.
SpellDescription.PetSpell.MainDescription1:				Hechizos de mascota:
SpellDescription.PetSpell.MainDescription2:				Aumenta los valores listados del objetivo.
SpellDescription.Ascendance.MainDescription:			Aumenta mucho la efectividad de tus hechizos y habilidades en {0}%.
SpellDescription.Ascendance.Restrictions:				Mientras dure, no puedes lanzar curas ni resurrecciones.
SpellDescription.Ascendance.Interaction:				“Maestro de la concentración” cancela “Ascenso” y viceversa.  
SpellDescription.Occultist.ConditionDescription1:		No lanzable en forma Ctoniana.
SpellDescription.Occultist.ConditionDescription2:		No lanzable en forma Espíritu ni Demente.
SpellDescription.Occultist.Summon.UmbralAegis1:			Invoca una Égida Acorazada. Excelente para provocar y absorber daño.
SpellDescription.Occultist.Summon.UmbralAegis2:			Forma Espíritu: la Égida obtiene DD de 200 de radio, más armadura, absorción mágica y mayor velocidad de combate.
SpellDescription.Occultist.Summon.Soultorn1:			Invoca un Alma Desgarrada. Inflige daño de materia pero es frágil ante magia y físico.
SpellDescription.Occultist.Summon.Soultorn2:			Forma Espíritu: aplica además debuff de materia y enfermedad.
SpellDescription.Occultist.Summon.UmbralHulk1:			Invoca un Atronador Acorazado, experto en daño físico.
SpellDescription.Occultist.Summon.UmbralHulk2:			Forma Espíritu: obtiene carga de 5 s, aturdimiento por espalda de 3 s y mayor probabilidad de mano secundaria.
SpellDescription.Occultist.Summon.ImageOfArawn1:		Invoca una Imagen de Arawn. Cura aliados con sanaciones individuales del 12%.
SpellDescription.Occultist.Summon.ImageOfArawn2:		Forma Espíritu: añade curas de veneno, enfermedad y res‑sickness y puede eliminar miopía.  
SpellDescription.Occultist.Summon.SuccubusArchDemon1:	Invoca una Súcubo demoníaca que hipnotiza a su objetivo.
SpellDescription.Occultist.Summon.SuccubusArchDemon2:	Forma Espíritu: el Archidemonio obtiene un fuerte debuff Dex/Qui y puede eliminar miopía.
SpellDescription.Occultist.SpiritShapeShift1:			Adopta forma espiritual. Se absorbe {0}% del daño y se convierte en maná.
SpellDescription.Occultist.SpiritShapeShift2:			La regeneración de maná aumenta {0} por nivel y la detección de sigilo {1}%.
SpellDescription.Occultist.SpiritShapeShift3:			Tus siervos también se vuelven más resistentes y obtienen habilidades extra.
SpellDescription.Occultist.ChtonicShapeShift1:			Encarnas a un Caballero Ctoniano. El AF aumenta {0} por nivel; salud, AF y armas suben {1}%, la absorción cuerpo a cuerpo {2}% y las resistencias mágicas secundarias {3}%.  
SpellDescription.Occultist.ChtonicShapeShift2:			Además, obtienes la habilidad de parar.
SpellDescription.Occultist.DecrepitShapeShift1:			Encarnas a un Mago Decrépito. Tu daño mágico aumenta {0}%.
SpellDescription.Occultist.DecrepitShapeShift2:			La absorción de armadura aumenta {0}%.
SpellDescription.Occultist.DecrepitShapeShift3:			Los atacantes cuerpo a cuerpo tienen {0}% de aplicar enfermedad; tu carne podrida regenera y la regeneración de salud sube {1}.
