# HOUSING (ES)
House.DBHousePermissions.AccessLevel:			Nivel de acceso {0}
HousingPlaceItemHandler.HasPorch:				¡Esta casa ya tiene porche!
HousingPlaceItemHandler.HasNoPorch:				¡Esta casa no tiene porche!
HousingPlaceItemHandler.IndoorObjectPlaced:			Objeto interior colocado. Quedan {0} espacios.
HousingPlaceItemHandler.NoHookpoint:				¡No queda punto de anclaje!
HousingPlaceItemHandler.PutMoney:				Deposita dinero en la cuenta de tu casa.

# /Housing LotMarker
Housing.LotMarker.TargetLotNumber:				Apuntas a la parcela número {0}.
Housing.LotMarker.ItCanBeBoughtFor:				Se puede comprar por {0}.
Housing.LotMarker.ItIsOwnedBy:				Esta parcela pertenece a {0}.
Housing.LotMarker.YouAlreadyOwnAHouse:			¡Ya posees una casa!
Housing.LotMarker.DoYouWantToBuyThisLot1:			¿Quieres comprar esta parcela?
Housing.LotMarker.DoYouWantToBuyThisLot2:			El coste es {0}.
Housing.LotMarker.YouDoNotOwnThisLot:				¡No eres propietario de esta parcela!
Housing.LotMarker.YouAlreadyOwnAnotherLotOrHouse:	Ya posees otra parcela o casa (n.º {0}).
Housing.LotMarker.YouJustBoughtThisLotFor:			Acabas de comprar esta parcela por {0}.
Housing.LotMarker.YouDontHaveEnoughMoney:			¡Fondos insuficientes!
Housing.LotMarker.ThisItemCantBeSold:				Este objeto no puede venderse.

Scripts.Player.Housing.BadShieldBanner:			Esto no es un objeto o estandarte válido.
Scripts.Player.Housing.CantBeSold:				¡Este objeto no puede venderse!
Scripts.Player.Housing.CarpetsRemoved:			Tu alfombra ha sido retirada.
Scripts.Player.Housing.ClearHookPoint:			¿Quieres eliminar el objeto del punto de anclaje?
Scripts.Player.Housing.EnteredHouse:				Entras en la casa número {0}.
Scripts.Player.Housing.GardenItemPlaced:			Objetos de jardín colocados. Quedan {0} espacios.
Scripts.Player.Housing.GardenItemPlacedName:		Deja el objeto {0} en tu jardín.
Scripts.Player.Housing.GardenMaxObjects:			Has puesto 30 objetos en tu jardín. No queda espacio.
Scripts.Player.Housing.GuildNowOwns:				[Gremio] ¡{0} ahora posee una casa de gremio de {1}!
Scripts.Player.Housing.HookPointAdded:			Este objeto se ha añadido a tu casa.
Scripts.Player.Housing.HookPointAlready:			¡Ese punto de anclaje ya tiene un objeto!
Scripts.Player.Housing.HookPointCleared:			El punto de anclaje ahora está vacío.
Scripts.Player.Housing.HookPointCloser:			Acércate lo máximo posible a la parcela deseada y pulsa “aceptar”.
Scripts.Player.Housing.HookPointID:				El ID del punto de anclaje es: {0}
Scripts.Player.Housing.HookPointLogged:			¡Posición del punto de anclaje {0} registrada!
Scripts.Player.Housing.HookPointLogLoc:			¿Mostrar puntos de anclaje?
Scripts.Player.Housing.HookPointNot:				¡Este no es un objeto utilizable en puntos de anclaje!
Scripts.Player.Housing.HookPointNotPlaced:			El objeto no se ha colocado en ese punto de anclaje.
Scripts.Player.Housing.HouseUseMaterial:			Usa Mayús+clic derecho en tu casa para cambiar el aspecto.
Scripts.Player.Housing.HouseUseMaterial:			Usa Mayús+clic derecho en tu casa para cambiar las alfombras.
Scripts.Player.Housing.IndoorFloorPlaced:			Has colocado {0} en el piso de tu casa.
Scripts.Player.Housing.IndoorItemPlaced:			Objeto interior colocado. Queda {0} espacio.
Scripts.Player.Housing.IndoorMaxItems:			Actualmente has colocado {0} objetos en tu casa. No puedes colocar más.
Scripts.Player.Housing.IndoorWallPlaced:			Acabas de colocar {0} en la pared de tu casa.
Scripts.Player.Housing.InteriorBannersAdded:		El estandarte de gremio interior ha sido cambiado.
Scripts.Player.Housing.InteriorBannersRemoved:		El estandarte de gremio interior ha sido retirado.
Scripts.Player.Housing.InteriorShieldsAdded:		El escudo de gremio interior ha sido cambiado.
Scripts.Player.Housing.InteriorShieldsRemoved:		El escudo de gremio interior ha sido retirado.
Scripts.Player.Housing.LeftHouse:				Sales de la casa {0}.
Scripts.Player.Housing.LotAlready:				Ya posees otra parcela o una casa (n.º {0})
Scripts.Player.Housing.LotBought:				¡Acabas de comprar esta parcela por {0}!
Scripts.Player.Housing.LotCost:					Se puede comprar por {0}.
Scripts.Player.Housing.LotNotItem:				Este no es un título de propiedad válido.
Scripts.Player.Housing.LotNotYours:				¡No posees esta parcela!
Scripts.Player.Housing.LotOffer:				¿Quieres comprar esta parcela? Cuesta {0}.
Scripts.Player.Housing.LotTargeted:				Apuntas a la parcela número {0}.
Scripts.Player.Housing.NotFloorObject:			Este objeto no puede colocarse en el piso superior.
Scripts.Player.Housing.NotHookPoint:				¡Este objeto no puede colocarse en un punto de anclaje!
Scripts.Player.Housing.NotWallObject:				¡Este objeto no puede colocarse en la pared!
Scripts.Player.Housing.OutdoorBannersAdded:		El estandarte de gremio exterior ha sido cambiado.
Scripts.Player.Housing.OutdoorBannersRemoved:		El estandarte de gremio exterior ha sido retirado.
Scripts.Player.Housing.OutdoorShieldsAdded:		El escudo de gremio exterior ha sido cambiado.
Scripts.Player.Housing.OutdoorShieldsRemoved:		El escudo de gremio exterior ha sido retirado.
Scripts.Player.Housing.PaidChanges:				Pagas {0} para efectuar los cambios.
Scripts.Player.Housing.PaidNotEnough:			¡No tienes suficiente dinero para hacer eso!
Scripts.Player.Housing.PorchAlready:				¡Esta casa ya tiene porche!
Scripts.Player.Housing.PorchNone:				¡Esta casa no tiene porche!
Scripts.Player.Housing.PorchNotItem:				¡Este no es un objeto de porche!
Scripts.Player.Housing.TransferToGuild:			¿Quieres transferir esta casa a {0}?

