# DelveInfo
DelveInfo.CastingTime:          Thời gian niệm: {0}
SpellDescription.TensionBuff.MainDescription:		Tăng tốc độ tích tụ căng thẳng của mục tiêu {1}%.
SpellDescription.Teleport.MainDescription:			{0} dịch chuyển mục tiêu tới {1}.
SpellDescription.PlayerPortal.MainDescription:		Mở cổng hai chiều dùng một lần nối với điểm hồi của người triệu hồi. Hoạt động tại {0}.
SpellDescription.Earthquake.MainDescription1:		Gây động đất cường độ {0}, gây tối đa {1} sát thương ở tâm chấn và giảm xuống {2} ở rìa.
SpellDescription.Earthquake.MainDescription2:		Không ảnh hưởng quái bay, bơi, hay banshee/vampire lơ lửng.
SpellDescription.HoT.MainDescription:				Mục tiêu nhận {0} máu mỗi {1} giây.
SpellDescription.DDWithDebuff.MainDescription:		Gây {0} {1} và giảm kháng {1} của mục tiêu {2}%.
SpellDescription.AfHitsBuff.MainDescription:		Tăng Hệ số Giáp và máu {0}% khi bạn đứng trong tầm hào quang.
SpellDescription.AllStatsBuff.MainDescription:		Tăng mọi thuộc tính của mục tiêu {0}.
SpellDescription.PowerDrain.MainDescription:		Gây {0} {1}; người niệm nhận lại {2}% sát thương thành mana.
SpellDescription.RealPowerDrain.MainDescription:	Gây {0} {1}; người niệm nhận {2}% thành mana và mục tiêu mất {3}% tổng mana.
SpellDescription.PowerLock.MainDescription1:		Trói bạn và mục tiêu tại chỗ, rút {0}% mana cơ bản mỗi {1} giây trong {2} giây.
SpellDescription.PowerLock.MainDescription2:		Trong hiệu lực, không ai có thể nhận sát thương cận chiến.
SpellDescription.PowerLock.MainDescription3:		Chỉ dùng lên người chơi hoặc thú cưng do người chơi điều khiển.
SpellDescription.Damnation.MainDescription1:		Nguyền rủa mục tiêu thành zombie và xóa hiệu ứng có lợi. Nhận {0}% kháng sát thương cận chiến nhưng chắc chắn chết sau {1} giây. Hồi máu không đảo ngược được.
SpellDescription.Damnation.MainDescription2:		Hồi máu bị giảm mạnh xuống {0}%.
SpellDescription.Damnation.MainDescription3:		Hồi máu không có tác dụng lên kẻ bị nguyền.
SpellDescription.Damnation.MainDescription4:		Hồi máu chuyển thành {0}% sát thương.
SpellDescription.Damnation.MainDescription5:		Không ảnh hưởng tới xác sống.
SpellDescription.MonsterRez.MainDescription:		Hồi sinh thành xác sống và hồi {0}% máu, {1}% mana và thể lực, không mất kinh nghiệm hay thể chất.
SpellDescription.MonsterRez.DamageMain:				Gây {1} {0} lên mục tiêu
SpellDescription.MonsterRez.DamageRadius:			và khu vực xung quanh
SpellDescription.MonsterRez.DamageFrequency:		mỗi {0} giây
SpellDescription.MonsterRez.DamageDuration:			trong {0} giây
SpellDescription.SummonMonster.MainDescription:		Hồi sinh từ xác.
SpellDescription.DamageAdd.MainDescription:			Đòn cận chiến của mục tiêu gây thêm {0} {1}.
SpellDescription.DamageShield.MainDescription:		Gây {0} {1} lên kẻ địch đánh cận bạn.
SpellDescription.SpellReflection.MainDescription1:	Bật lại phép với {0}% cơ hội ở {1}% sát thương và hấp thụ {2}% sát thương gây ra.
SpellDescription.SpellReflection.MainDescription2:	Không phản xạ võ học hay mũi tên.
SpellDescription.SpellReflectionDebuff.MainDescription:		Gỡ khiên lệch hướng phép của mục tiêu.
SpellDescription.PowerShield.MainDescription:		Khi máu xuống dưới {0}%, chuyển mana thành máu tới {1}% tối đa.
SpellDescription.PowerTransfer.MainDescription:		Chuyển {0} mana từ người niệm sang mục tiêu.
SpellDescription.Resurrect.MainDescription:			Hồi sinh và hồi {0}% máu, {1}% mana (và thể lực) không mất kinh nghiệm hay thể chất.
SpellDescription.OffensiveProc.MainDescription:		{0} cho {1}% cơ hội kích hoạt phép phụ từ các đòn cận chiến của bạn:
SpellDescription.DefensiveProc.MainDescription:		{0} cho {1}% cơ hội kích hoạt phép phụ khi bạn bị đánh cận:
SpellDescription.SpeedEnhancement.MainDescription:	Tăng tốc lên {0}% bình thường.
SpellDescription.SpellShield.MainDescription:		{0} hấp thụ 100% sát thương phép và 70% DoT khi máu ở {1}% hoặc thấp hơn.
SpellDescription.StyleBleeding.MainDescription:		Mục tiêu chịu {0} {1} mỗi {2} giây.
SpellDescription.StyleTaunt.Increase:				Khiêu khích mục tiêu và tăng thù hằn của bạn lên nó {0}.
SpellDescription.StyleTaunt.Decrease:				Giảm khiêu khích và giảm thù hằn của bạn -{0}.
SpellDescription.Taunt.MainDescription:				Khiêu khích mục tiêu và tăng thù hằn của bạn {0}.
SpellDescription.SummonSpell.MainDescription:		Triệu gọi thú cưng phục vụ người triệu hồi. Tác dụng lên sinh vật tới {0}% cấp của bạn, tối đa {1}.
SpellDescription.MeleeAblativeArmor.MainDescription:		Tạo khiên tạm thời hấp thụ {0}% sát thương vật lý tối đa đến {1}.
SpellDescription.MagicAblativeArmor.MainDescription:		Tạo khiên tạm thời hấp thụ {0}% sát thương phép tối đa đến {1}.
SpellDescription.BothAblativeArmor.MainDescription:	Tạo khiên tạm thời hấp thụ {0}% mọi sát thương tối đa đến {1}.
SpellDescription.BattleFeverDurationBuff.MainDescription:	Kéo dài Cơn sốt Chiến trận thêm {0}%.
SpellDescription.TankAdrenaline.MainDescription:	Cơn sốt chiến trận bùng nổ! Đòn cận của bạn không trượt kẻ cùng cấp; phòng thủ và sức mạnh cận chiến tăng mạnh.
SpellDescription.MageAdrenaline.MainDescription:	Cơn sốt chiến trận bùng nổ! Phòng thủ, tỷ lệ trúng phép và tốc độ niệm tăng mạnh; bị đánh không làm gián đoạn.
SpellDescription.StealthAdrenaline.MainDescription:	Cơn sốt chiến trận bùng nổ! Đòn cận không trượt kẻ cùng cấp; phòng thủ, ẩn nấp và sức mạnh xa/cận tăng mạnh.
SpellDescription.Amnesia.MainDescription:			Làm quái quên kẻ đã tấn công nó. Ngắt phép địch mà không gây choáng nếu không bị kháng.
SpellDescription.Mesmerize.MainDescription:			Mục tiêu bị thôi miên, không thể hành động.
SpellDescription.Stun.MainDescription:				Gây choáng mục tiêu {0} giây.
SpellDescription.Charm.MainDescription1:			Cố gắng thuần hóa sinh vật {0}.
SpellDescription.Charm.MainDescription2:			Ảnh hưởng quái tới {0}% cấp của bạn, tối đa {1}.
SpellDescription.CombatHeal.MainDescription:		Hồi {0} sát thương mỗi {1} giây.
SpellDescription.Confusion.MainDescriptionPositive:	Sinh vật có {0}% cơ hội đổi mục tiêu.
SpellDescription.Confusion.MainDescriptionNegative:	100% cơ hội đổi mục tiêu và 75% cơ hội đánh đồng minh.
SpellDescription.PetConversion.MainDescription:		Thả mục tiêu và mọi tháp của bạn trong vùng. Nhận lại {0}% mana đã dùng để triệu hồi.
SpellDescription.CraftingSpeedBuff.MainDescription:	Tăng tốc độ chế tác {0}%.
SpellDescription.CureDisease.MainDescription:		Xóa mọi bệnh trên mục tiêu.
SpellDescription.CureMezz.MainDescription:			Xóa mọi hiệu ứng thôi miên trên mục tiêu.
SpellDescription.CureNearsight.MainDescription:		Xóa mọi hiệu ứng cận thị.
SpellDescription.CurePoison.MainDescription:		Xóa mọi hiệu ứng sát thương theo thời gian (ví dụ: độc) trên mục tiêu.
SpellDescription.DamageSpeedDecrease.MainDescription:		Giảm tốc {0}% và gây {1} {2}.
SpellDescription.DamageToPower.MainDescription:		Chuyển {0}% sát thương phép nhận vào mục tiêu thành mana.
SpellDescription.DeathClaw.MainDescription:			{0} giảm 90% máu kẻ địch. Không ảnh hưởng linh hồn, sinh vật yếu hay mục tiêu trên cấp {1}; hiệu lực giảm với xác sống và trùm.
SpellDescription.EnduranceDrain.MainDescription:	{0}% thể lực của mục tiêu bị rút và chuyển cho người niệm.
SpellDescription.EnduranceHeal.MainDescription:		Hồi {0} thể lực.
SpellDescription.Disarm.MainDescription1:			Tước vũ khí mục tiêu trong {0} giây.
SpellDescription.Disarm.MainDescription2:			Không thể áp lại trước {0} giây.
SpellDescription.GroundArea.MainDescription1:		Tạo “đám mây” đánh tất cả trong khu vực.
SpellDescription.GroundArea.MainDescription2:		Hiệu ứng diện rộng:
SpellDescription.CloudsongFall.MainDescription:		Giảm sát thương ngã {0}%.
SpellDescription.DoomHammer.MainDescription:		Gây {0} {1}.
SpellDescription.RampingDamageFocus.SingleTargetNoSnare:	Gây {0} {1} mỗi nhịp lên mục tiêu. Tăng {2}% mỗi nhịp tối đa {3}%. Tốn {4}% mana mỗi nhịp.
SpellDescription.RampingDamageFocus.SingleTargetSnare:		Gây {0} {1} mỗi nhịp và giảm tốc {5}%. Tăng {2}% tối đa {3}%. Tốn {4}% mana mỗi nhịp.
SpellDescription.RampingDamageFocus.AoENoSnare:				Gây {0} {1} mỗi nhịp trong vùng. Tăng {2}% tối đa {3}%. Tốn {4}% mana mỗi nhịp.
SpellDescription.RampingDamageFocus.AoESnare:				Gây {0} {1} mỗi nhịp trong vùng và giảm tốc {5}%. Tăng {2}% tối đa {3}%. Tốn {4}% mana mỗi nhịp.
SpellDescription.HereticPiercingMagic.MainDescription:		Tăng hiệu quả phép của mục tiêu {0}% và giảm kháng hoàn toàn với cấp cao hơn.
SpellDescription.SummonNethersbane.MainDescription1:		Triệu hồi Nethersbane, lưỡi kiếm ô uế của Arawn.
SpellDescription.SummonNethersbane.MainDescription2:		Loại sát thương: Lạnh.
SpellDescription.SummonIcebrand.MainDescription1:			Triệu hồi Icebrand, lưỡi kiếm ô uế thấm bóng tối.
SpellDescription.SummonIcebrand.MainDescription2:			Loại sát thương: Lạnh.
SpellDescription.GoldenSpearJavelin.MainDescription:		Triệu hồi 5 lao phép.
SpellDescription.OmniHeal.MainDescription:					Hoàn trả {0}% máu, thể lực và mana.
SpellDescription.OmniHarm.MainDescription:					Mục tiêu mất {0} thể lực và {1} mana.
SpellDescription.OmniLifeDrain.MainDescription:				Gây sát thương; trả lại cho người niệm {0}% thành máu, {1}% thành mana và {2}% thành thể lực.
SpellDescription.PowerHeal.MainDescription:					Hồi {0}% mana của mục tiêu.
SpellDescription.Silence.MainDescription:					Câm lặng kẻ địch trong {0} giây.
SpellDescription.IllusionSpell.MainDescription1:			Người triệu hồi tạo {0} ảo ảnh {1} bao quanh và gây rối kẻ địch.
SpellDescription.IllusionSpell.MainDescription2:			Ảo ảnh gây {0}% sát thương của chủ, có {1}% máu tối đa của chủ và biến mất sau {2} giây.
SpellDescription.IllusionSpell.SubDescription1:				Người triệu hồi hóa thành sinh vật và {0} ảo ảnh chia sẻ ngoại hình đó.
SpellDescription.IllusionSpell.SubDescription2a:			Ảo ảnh di chuyển theo chủ và bắt chước động tác, võ học và phép.
SpellDescription.IllusionSpell.SubDescription2b:			Nếu người niệm di chuyển, ảo ảnh biến mất và phép kết thúc.
SpellDescription.Bump.MainDescriptionSingle:		Hất kẻ địch lên {0} đơn vị và phóng về trước {1}%–{2}% tầm tối đa; bị choáng trên không.
SpellDescription.Bump.MainDescriptionArea:			Đẩy mọi kẻ địch trong bán kính {3} đơn vị lên {0} và {1}%–{2}% về trước; bị choáng trên không.
SpellDescription.Bump.MainDescriptionCone:			Đẩy kẻ địch trong hình nón {0} lên và {1}%–{2}% về trước; bị choáng trên không.
SpellDescription.Conversion.MainDescription:		Chuyển {0}% mọi sát thương nhận vào thành máu, thể lực và mana.
SpellDescription.MagicConversion.MainDescription:	Chuyển {0}% sát thương phép nhận vào thành máu, thể lực và mana.
SpellDescription.Fury.MainDescription:				Cho {0}% cơ hội kháng khống chế và tăng mọi kháng phép {0}%.
SpellDescription.HealthToFatigue.MainDescription:	Tiêu tốn {0}% máu của bạn và hồi {1}% thể lực đã mất.
SpellDescription.Chamber.MainDescription:			Cho phép nạp buồng với phép chính và phụ rồi phóng tức thì vào mục tiêu.
SpellDescription.Chamber.CanContainBolts:			Có thể chứa phép tia.
SpellDescription.Chamber.CannotContainBolts:		Không thể chứa phép tia.
SpellDescription.FocusShell.MainDescription:		Giảm sát thương nhận từ cận và phép {0}%.
SpellDescription.FocusShell.OnlyInPvPORvR:			Chỉ dùng trong khu PvP/RvR.
SpellDescription.Powerless.MainDescription:			Cho phép niệm phép phụ không tốn mana.
SpellDescription.Range.MainDescription:				Cho phép niệm phép phụ với tầm {0}%.
SpellDescription.Uninterruptable.MainDescription:	Cho phép niệm phép phụ không thể bị ngắt, nhưng giảm hiệu quả {0}%.
SpellDescription.Agony.ConditionDescription:		Yêu cầu mục tiêu đang chịu “Dread” và “Anguish”.
SpellDescription.Doom.ConditionDescription:			Yêu cầu “Dread”, “Anguish” và “Agony”.
SpellDescription.Doom.Expires:						Hết hiệu lực:
SpellDescription.BuffShear.Str:						Loại bỏ cường hóa tăng Sức mạnh.
SpellDescription.BuffShear.Dex:						Loại bỏ cường hóa tăng Khéo léo.
SpellDescription.BuffShear.Con:						Loại bỏ cường hóa tăng Thể chất.
SpellDescription.BuffShear.Acuity:					Loại bỏ cường hóa tăng Trí mẫn.
SpellDescription.BuffShear.StrCon:					Loại bỏ cường hóa Sức mạnh/Thể chất.
SpellDescription.BuffShear.DexQui:					Loại bỏ cường hóa Khéo léo/Nhanh nhẹn.
SpellDescription.BuffShear.Random:					Ngẫu nhiên gỡ một buff có lợi.
SpellDescription.BuffShear.Ablative:				Gỡ mọi khiên hấp thụ.
SpellDescription.ResistBuff.MainDescription:				Tăng kháng {0} {1}%.
SpellDescription.BodySpiritEnergyBuff.MainDescription:		Tăng kháng Thể, Linh hồn và Năng lượng {0}%.
SpellDescription.HeatColdMatterBuff.MainDescription:		Tăng kháng Lửa, Lạnh và Chất {0}%.
SpellDescription.AllMagicResistsBuff.MainDescription:		Tăng mọi kháng phép {0}%.
SpellDescription.SecondaryMagicResistsBuff.MainDescription:	Tăng kháng phép thứ cấp {0}%.
SpellDescription.AllMeleeResistsBuff.MainDescription:		Tăng kháng sát thương cận chiến {0}%.
SpellDescription.AllResistsBuff.MainDescription:			Tăng mọi kháng {0}%.
SpellDescription.EssenceBuff.MainDescription:				Tăng kháng sát thương “Bản chất” {0}%.
SpellDescription.ResistDebuff.MainDescription:				Giảm kháng {0} của mục tiêu {1}%.
SpellDescription.CrushSlashThrustDebuff.MainDescription:	Giảm kháng sát thương cận chiến {0}%.
SpellDescription.EssenceDebuff.MainDescription:				Giảm kháng sát thương “Bản chất”.
SpellDescription.DualStatDebuff.MainDescription:			Giảm {0} và {1} của mục tiêu {2}.
SpellDescription.DualStatBuff.MainDescription:				Tăng {0} và {1} {2}.
SpellDescription.SingleStatBuff.MainDescription:			Tăng {0} {1}.
SpellDescription.CombatSpeedBuff.MainDescription:			Tăng tốc độ đánh {0}%.
SpellDescription.FatigueConsumptionBuff.MainDescription:	Hành động tiêu tốn ít thể lực hơn {0}%.
SpellDescription.DPSBuff.MainDescription:					Tăng DPS {0}%.
SpellDescription.MeleeDamageBuff.MainDescription:			Gây thêm {0}% sát thương cận chiến.
SpellDescription.MesmerizeDurationBuff.MainDescription:		Giảm hiệu quả phép thôi miên {0}%.
SpellDescription.EvadeChanceBuff.MainDescription:			Cho {0}% cơ hội né.
SpellDescription.ParryChanceBuff.MainDescription:			Cho {0}% cơ hội đỡ.
SpellDescription.WeaponSkillBuff.MainDescription:			Tăng kỹ năng {0} {1}%.
SpellDescription.StealthSkillBuff.MainDescription:			Tăng kỹ năng Ẩn nấp {0} {1}%.
SpellDescription.FlexibleSkillBuff.MainDescription:			Tăng kỹ năng Vũ khí mềm dẻo {0} {1}%.
SpellDescription.ResiPierceBuff.MainDescription:			Cho {0}% cơ hội xuyên kháng phép.
SpellDescription.CriticalMagicalBuff.MainDescription:		Tăng cơ hội chí mạng phép {0}%.
SpellDescription.CriticalMeleeBuff.MainDescription:			Tăng cơ hội chí mạng cận {0}%.
SpellDescription.SingleStatDebuff.MainDescription:			Giảm {0} {1}.
SpellDescription.CombatSpeedDebuff.MainDescription:			Giảm tốc độ đánh của mục tiêu {0}%.
SpellDescription.MeleeDamageDebuff.MainDescription:			Mục tiêu gây ít sát thương cận hơn {0}%.
SpellDescription.FatigueConsumptionDebuff.MainDescription:	Tăng tiêu hao thể lực trong chiến đấu của mục tiêu {0}%.
SpellDescription.FumbleChanceDebuff.MainDescription:		Tăng cơ hội “trượt tay” của mục tiêu {0}%.
SpellDescription.DPSDebuff.MainDescription:					Giảm DPS {0}%.
SpellDescription.SkillsDebuff.MainDescription:				Giảm kỹ năng {0}%.
SpellDescription.Warlock.SecondarySpell:					Đây là phép phụ.
SpellDescription.Warlock.PrimarySpell:						Đây là phép chính.
SpellDescription.AllStatsDebuff.MainDescription:			Giảm mọi thuộc tính của mục tiêu {0}.
SpellDescription.AllStatsPercentDebuff.MainDescription:		Giảm mọi thuộc tính của mục tiêu {0}%.
SpellDescription.Morph.MainDescription:						Mục tiêu biến thành {0}.
SpellDescription.PowerRend.MainDescription:					Mục tiêu mất {0}% mana.
SpellDescription.SummonAnimistFnF.MainDescription:		Triệu hồi tháp đứng yên tại mục tiêu mặt đất của bạn tấn công kẻ địch trong tầm.
SpellDescription.Bomber.MainDescription:				Triệu hồi linh hồn nguyên tố bay tới mục tiêu, nổ và tung phép khi tới nơi.
SpellDescription.SavageParryBuff.MainDescription:		Tăng cơ hội đỡ của bạn {0}%.
SpellDescription.SavageEvadeBuff.MainDescription:		Tăng cơ hội né của bạn {0}%.
SpellDescription.SavageCombatSpeedBuff.MainDescription:	Tăng tốc độ đánh của bạn {0}%.
SpellDescription.SavageDPSBuff.MainDescription:			Tăng sát thương cận của bạn {0}.
SpellDescription.SavageEnduranceHeal.MainDescription:	Bạn hồi {0} thể lực với cái giá là một phần máu của mình.
SpellDescription.Archery.SingleTarget:					Gây {0} {1} lên mục tiêu.
SpellDescription.Archery.AreaTarget:					Gây {0} {1} lên mục tiêu và khu vực.
SpellDescription.Archery.SecondaryEffectiveness:		Hiệu quả mũi tên tăng {0}%.
SpellDescription.WarlockSpeedDecrease.Frog:				Biến mục tiêu thành ếch!
SpellDescription.MaidenKiss.MainDescription:			Xóa trạng thái “Ếch” khỏi mục tiêu.
SpellDescription.ArawnCure.MainDescription:				Chữa độc, bệnh và suy yếu sau hồi sinh.
SpellDescription.Fear.SingleTarget:						Gieo sợ hãi vào kẻ địch đã chọn. Không ảnh hưởng thú cưng hoặc mục tiêu trên cấp {0}.
SpellDescription.Fear.AreaTarget:						Gieo sợ hãi quái địch trong bán kính {1} quanh người niệm. Không ảnh hưởng trên cấp {0}.
SpellDescription.FearServant.SingleTarget:				Gieo sợ hãi lên thú cưng địch. Không ảnh hưởng trên cấp {0}.
SpellDescription.FearServant.AreaTarget:				Gieo sợ hãi lên thú cưng địch trong {1}. Không ảnh hưởng trên cấp {0}.
SpellDescription.FearServant.SingleTarget&Npc:			Gieo sợ hãi vào kẻ địch đã chọn. Không ảnh hưởng trên cấp {0}.
SpellDescription.FearServant.AreaTarget&Npc:			Gieo sợ hãi lên kẻ địch trong {1}. Không ảnh hưởng trên cấp {0}.
SpellDescription.FearServant.PetDescription:			Trong sợ hãi, thú cưng không thể điều khiển hoặc thả.
SpellDescription.BainsheePulseDmg.MainDescription:		Mục tiêu chịu {0} {1}.
SpellDescription.BainsheePulseDmg.AreaDescription:		Đánh mọi kẻ địch gần người niệm.
SpellDescription.BainsheePulseDmg.SecondaryDescription:	Tái niệm trong thời gian hiệu lực sẽ hủy hiệu ứng. Kết thúc nếu người niệm di chuyển.
SpellDescription.BeFriend.MainDescriptionArea:			Tạm thời (tới cấp {0}) mê hoặc quái gần đó để thân thiện và thành đồng minh.
SpellDescription.BeFriend.MainDescriptionSingle:		Tạm thời (tới cấp {0}) mê hoặc quái đã chọn để thân thiện và thành đồng minh.
SpellDescription.VampiirStealthDetection.MainDescription:	Tăng phát hiện kẻ địch ẩn nấp {0}%.
SpellDescription.VampiirSkillBonusDeBuff.MainDescription:	Giảm tạm thời các cộng thưởng kỹ năng của mục tiêu trong {0} giây.
SpellDescription.VampiirMeleeResistance.MainDescription:	Tăng kháng sát thương cận {0}%.
SpellDescription.VampiirMagicResistance.MainDescription:	Tăng cơ hội kháng sát thương phép {0}%.
SpellDescription.VampiirEffectivenessDeBuff.MainDescription:	Giảm tạm thời hiệu quả của mục tiêu {0}%.
SpellDescription.VampiirEffectivenessDeBuff.CombatCastable:	Có thể niệm trong chiến đấu.
SpellDescription.VampiirArmorDebuff.MainDescription:		Giảm tạm thời hấp thụ và hệ số giáp của một mảnh ngẫu nhiên (mũ, thân hoặc chân) {0}%.
SpellDescription.VampiirArmorDebuff.AdditionalInfo:			Chỉ ảnh hưởng mũ, thân hoặc chân.
SpellDescription.VampiirBolt.MainDescription:			Hút {0}% mana của mục tiêu và chuyển cho người niệm.
SpellDescription.VampiirBolt.MainDescription2:			Không ảnh hưởng mục tiêu trên cấp {0}.
SpellDescription.IllusionBlade.Part1:					Triệu hồi vũ khí quang ảnh chiến đấu cạnh bạn một lúc rồi tan biến.
SpellDescription.IllusionBlade.Part2:					Hành động độc lập; không thể điều khiển, thả hay hồi máu.
SpellDescription.RangeShield.MainDescription:			Bảo vệ nhóm của người niệm khỏi tấn công vật lý của cung thủ.
SpellDescription.PetSpell.MainDescription1:				Phép của thú cưng:
SpellDescription.PetSpell.MainDescription2:				Tăng các chỉ số liệt kê của mục tiêu.
SpellDescription.Ascendance.MainDescription:			Tăng đáng kể hiệu quả phép và kỹ năng của bạn {0}%.
SpellDescription.Ascendance.Restrictions:				Trong “Thăng Hoa” không thể niệm hồi máu hay hồi sinh.
SpellDescription.Ascendance.Interaction:				“Bậc thầy Tập trung” hủy “Thăng Hoa” và ngược lại.  
SpellDescription.Occultist.ConditionDescription1:		Không thể niệm ở Dạng Chtonic.
SpellDescription.Occultist.ConditionDescription2:		Không thể niệm ở Dạng Linh Hồn hay Cuồng Nộ.
SpellDescription.Occultist.Summon.UmbralAegis1:			Triệu hồi Khiên Bóng Tối bọc giáp. Tuyệt vời để đỡ đòn và hấp thụ sát thương.
SpellDescription.Occultist.Summon.UmbralAegis2:			Dạng Linh Hồn: Khiên nhận DD bán kính 200, nhiều giáp, hấp thụ phép và tốc độ chiến đấu cao hơn.
SpellDescription.Occultist.Summon.Soultorn1:			Triệu hồi Linh Hồn Rách. Gây sát thương Chất nhưng yếu trước phép và vật lý.
SpellDescription.Occultist.Summon.Soultorn2:			Dạng Linh Hồn: thêm debuff Chất và Bệnh.
SpellDescription.Occultist.Summon.UmbralHulk1:			Triệu hồi Khổng Lồ Bóng Tối bọc giáp, chuyên sát thương vật lý.
SpellDescription.Occultist.Summon.UmbralHulk2:			Dạng Linh Hồn: nhận lao tới 5 giây, choáng 3 giây từ phía sau và tăng cơ hội tay phụ.
SpellDescription.Occultist.Summon.ImageOfArawn1:		Triệu hồi Ảnh Arawn. Hồi 12% máu đơn mục tiêu cho đồng minh.
SpellDescription.Occultist.Summon.ImageOfArawn2:		Dạng Linh Hồn: thêm chữa độc, bệnh, suy yếu sau hồi sinh và có thể xóa cận thị.  
SpellDescription.Occultist.Summon.SuccubusArchDemon1:	Triệu hồi Nữ Yêu Ma thôi miên mục tiêu.
SpellDescription.Occultist.Summon.SuccubusArchDemon2:	Dạng Linh Hồn: Ác Ma nhận debuff Dex/Qui mạnh và có thể xóa cận thị.
SpellDescription.Occultist.SpiritShapeShift1:			Hóa Dạng Linh Hồn. {0}% sát thương nhận vào được hấp thụ và chuyển thành mana.
SpellDescription.Occultist.SpiritShapeShift2:			Hồi mana +{0} mỗi cấp và phát hiện ẩn nấp +{1}%.
