# HOUSING (IT)
House.DBHousePermissions.AccessLevel:			Livello di accesso {0}
Housing.LotMarker.TargetLotNumber:				Stai mirando al lotto numero {0}.
Housing.LotMarker.ItCanBeBoughtFor:				Può essere acquistato per {0}.
Housing.LotMarker.ItIsOwnedBy:				Questo lotto appartiene a {0}.
Housing.LotMarker.YouAlreadyOwnAHouse:			Possiedi già una casa!
Housing.LotMarker.DoYouWantToBuyThisLot1:			Vuoi acquistare questo lotto?
Housing.LotMarker.DoYouWantToBuyThisLot2:			Il costo è {0}.
Housing.LotMarker.YouDoNotOwnThisLot:				Non sei il proprietario di questo lotto!
Housing.LotMarker.YouAlreadyOwnAnotherLotOrHouse:	Possiedi già un altro lotto o una casa (n. {0}).
Housing.LotMarker.YouJustBoughtThisLotFor:			Hai appena acquistato questo lotto per {0}.
Housing.LotMarker.YouDontHaveEnoughMoney:			Fondi insufficienti!
Housing.LotMarker.ThisItemCantBeSold:				Questo oggetto non può essere venduto.

Scripts.Player.Housing.BadShieldBanner:			Questo non è un oggetto o uno stendardo valido.
Scripts.Player.Housing.CantBeSold:				Questo oggetto non può essere venduto!
Scripts.Player.Housing.CarpetsRemoved:			Il tuo tappeto è stato rimosso.
Scripts.Player.Housing.ClearHookPoint:			Vuoi rimuovere l'oggetto dal punto di ancoraggio?
Scripts.Player.Housing.EnteredHouse:				Entri nella casa numero {0}.
Scripts.Player.Housing.GardenItemPlaced:			Oggetti da giardino posizionati. {0} posti rimanenti.
Scripts.Player.Housing.GardenItemPlacedName:		Lascia l'oggetto {0} nel tuo giardino.
Scripts.Player.Housing.GardenMaxObjects:			Hai depositato 30 oggetti nel tuo giardino. Spazio esaurito.
Scripts.Player.Housing.GuildNowOwns:				[Gilda] {0} ora possiede una casa di gilda di {1}!
Scripts.Player.Housing.HookPointAdded:			Questo oggetto è stato aggiunto alla tua casa.
Scripts.Player.Housing.HookPointAlready:			Quel punto di ancoraggio ha già un oggetto!
Scripts.Player.Housing.HookPointCleared:			Il punto di ancoraggio ora è vuoto.
Scripts.Player.Housing.HookPointCloser:			Avvicinati il più possibile al lotto desiderato e premi “accetta”.
Scripts.Player.Housing.HookPointID:				L'ID del punto di ancoraggio è: {0}
Scripts.Player.Housing.HookPointLogged:			Posizione del punto di ancoraggio {0} registrata!
Scripts.Player.Housing.HookPointLogLoc:			Mostrare i punti di ancoraggio?
Scripts.Player.Housing.HookPointNot:				Questo non è un oggetto utilizzabile sui punti di ancoraggio!
Scripts.Player.Housing.HookPointNotPlaced:			L'oggetto non è stato posizionato su quel punto di ancoraggio.
Scripts.Player.Housing.HouseUseMaterial:			Usa Maiusc+clic destro nella tua casa per modificare l'aspetto.
Scripts.Player.Housing.HouseUseMaterial:			Usa Maiusc+clic destro nella tua casa per cambiare i tappeti.
Scripts.Player.Housing.IndoorFloorPlaced:			Hai posizionato {0} al piano della tua casa.
Scripts.Player.Housing.IndoorItemPlaced:			Oggetto interno posizionato. {0} posto rimanente.
Scripts.Player.Housing.IndoorMaxItems:			Attualmente hai posizionato {0} oggetti nella tua casa. Non puoi posizionarne altri.
Scripts.Player.Housing.IndoorWallPlaced:			Hai appena posizionato {0} sulla parete della tua casa.
Scripts.Player.Housing.InteriorBannersAdded:		Lo stendardo di gilda interno è stato cambiato.
Scripts.Player.Housing.InteriorBannersRemoved:		Lo stendardo di gilda interno è stato rimosso.
Scripts.Player.Housing.InteriorShieldsAdded:		Lo scudo di gilda interno è stato cambiato.
Scripts.Player.Housing.InteriorShieldsRemoved:		Lo scudo di gilda interno è stato rimosso.
Scripts.Player.Housing.LeftHouse:				Esci dalla casa {0}.
Scripts.Player.Housing.LotAlready:				Possiedi già un altro lotto o una casa (n. {0})
Scripts.Player.Housing.LotBought:				Hai appena acquistato questo lotto per {0}!
Scripts.Player.Housing.LotCost:					Può essere acquistato per {0}.
Scripts.Player.Housing.LotNotItem:				Questo non è un valido atto di proprietà.
Scripts.Player.Housing.LotNotYours:				Non possiedi questo lotto!
Scripts.Player.Housing.LotOffer:				Vuoi acquistare questo lotto? Costa {0}.
Scripts.Player.Housing.LotTargeted:				Prendi di mira il lotto numero {0}.
Scripts.Player.Housing.NotFloorObject:			Questo oggetto non può essere posizionato al piano superiore!
Scripts.Player.Housing.NotHookPoint:				Questo oggetto non può essere posizionato su un punto di ancoraggio!
Scripts.Player.Housing.NotWallObject:				Questo oggetto non può essere posizionato sulla parete!
Scripts.Player.Housing.OutdoorBannersAdded:		Lo stendardo di gilda esterno è stato cambiato.
Scripts.Player.Housing.OutdoorBannersRemoved:		Lo stendardo di gilda esterno è stato rimosso.
Scripts.Player.Housing.OutdoorShieldsAdded:		Lo scudo di gilda esterno è stato cambiato.
Scripts.Player.Housing.OutdoorShieldsRemoved:		Lo scudo di gilda esterno è stato rimosso.
Scripts.Player.Housing.PaidChanges:				Paghi {0} per effettuare le modifiche.
Scripts.Player.Housing.PaidNotEnough:			Non hai abbastanza denaro per farlo!
Scripts.Player.Housing.PorchAlready:				Questa casa ha già una veranda!
Scripts.Player.Housing.PorchNone:				Questa casa non possiede una veranda!
Scripts.Player.Housing.PorchNotItem:				Questo non è un oggetto da veranda!
Scripts.Player.Housing.TransferToGuild:			Vuoi trasferire questa casa a {0}?

