# DelveInfo
DelveInfo.CastingTime:          Tempo di lancio: {0}
SpellDescription.MageAdrenaline.MainDescription:	Sei colmo di furia! Difesa, probabilità di impatto delle magie e velocità di lancio aumentano molto e i colpi non ti interrompono.
SpellDescription.StealthAdrenaline.MainDescription:	Sei colmo di furia! I tuoi colpi in mischia non mancano contro nemici del tuo livello; difesa, furtività e potenza a distanza e in mischia aumentano molto.
SpellDescription.Amnesia.MainDescription:			Confonde la mente del mostro facendogli dimenticare chi stava attaccando. Interrompe gli incantesimi in corso senza stordire, salvo resistenza.
SpellDescription.Mesmerize.MainDescription:			Il bersaglio è ipnotizzato e incapace di agire.
SpellDescription.Stun.MainDescription:				Stordisce il bersaglio per {0} s.
SpellDescription.Charm.MainDescription1:			Tenta di soggiogare una creatura {0}.
SpellDescription.Charm.MainDescription2:			Colpisce mostri fino al {0}% del tuo livello, massimo {1}.
SpellDescription.CombatHeal.MainDescription:		Ripristina {0} danni ogni {1} s.
SpellDescription.Confusion.MainDescriptionPositive:	La creatura ha il {0}% di probabilità di cambiare bersaglio.
SpellDescription.Confusion.MainDescriptionNegative:	Probabilità 100% di cambiare bersaglio e 75% di colpire un alleato.
SpellDescription.PetConversion.MainDescription:		Libera il bersaglio e tutte le tue torrette nell'area. Recuperi il {0}% del mana speso per evocare il pet.
SpellDescription.CraftingSpeedBuff.MainDescription:	Aumenta la velocità di lavorazione del {0}%.
SpellDescription.CureDisease.MainDescription:		Rimuove tutte le malattie dal bersaglio.
SpellDescription.CureMezz.MainDescription:			Rimuove tutti gli effetti di ipnosi dal bersaglio.
SpellDescription.CureNearsight.MainDescription:		Rimuove tutti gli effetti di miopia.
SpellDescription.CurePoison.MainDescription:		Rimuove tutti gli effetti di danno nel tempo (come veleni) dal bersaglio.
SpellDescription.DamageSpeedDecrease.MainDescription:		Riduce la velocità del {0}% e infligge {1} {2}.
SpellDescription.DamageToPower.MainDescription:		Converte il {0}% dei danni magici subiti dal bersaglio in mana.
SpellDescription.DeathClaw.MainDescription:			{0} riduce la salute del nemico del 90%. Non colpisce spiriti, creature deboli o sopra il livello {1}; effetto ridotto su non morti e boss.
SpellDescription.EnduranceDrain.MainDescription:	Si drena il {0}% del vigore del bersaglio e si trasferisce al lanciatore.
SpellDescription.EnduranceHeal.MainDescription:		Ripristina {0} vigore.
SpellDescription.Disarm.MainDescription1:			Disarma il bersaglio per {0} s.
SpellDescription.Disarm.MainDescription2:			Non riapplicabile prima di {0} s.
SpellDescription.GroundArea.MainDescription1:		Crea una “nube” che colpisce tutti nell'area.
SpellDescription.GroundArea.MainDescription2:		Effetto ad area:
SpellDescription.CloudsongFall.MainDescription:		Riduce del {0}% il danno da caduta.
SpellDescription.DoomHammer.MainDescription:		Infligge {0} {1}.
SpellDescription.RampingDamageFocus.SingleTargetNoSnare:	Infligge {0} {1} a ogni impulso al bersaglio. Aumenta del {2}% per impulso fino a {3}%. Costa {4}% mana per impulso.
SpellDescription.RampingDamageFocus.SingleTargetSnare:		Infligge {0} {1} per impulso e riduce la velocità del {5}%. Aumenta del {2}% fino a {3}%. Costa {4}% mana per impulso.
SpellDescription.RampingDamageFocus.AoENoSnare:				Infligge {0} {1} per impulso in area. Aumenta del {2}% fino a {3}%. Costa {4}% mana per impulso.
SpellDescription.RampingDamageFocus.AoESnare:				Infligge {0} {1} per impulso in area e riduce la velocità del {5}%. Aumenta del {2}% fino a {3}%. Costa {4}% mana per impulso.
SpellDescription.HereticPiercingMagic.MainDescription:		Aumenta l'efficacia delle magie del bersaglio del {0}%, riducendo i resist completi contro nemici di livello superiore.
SpellDescription.SummonNethersbane.MainDescription1:		Evoca Nethersbane, la lama profana di Arawn.
SpellDescription.SummonNethersbane.MainDescription2:		Infligge danno da freddo.
SpellDescription.SummonIcebrand.MainDescription1:			Evoca Icebrand, la lama profana infusa d'ombra.
SpellDescription.SummonIcebrand.MainDescription2:			Infligge danno da freddo.
SpellDescription.GoldenSpearJavelin.MainDescription:		Evoca 5 giavellotti magici.
SpellDescription.OmniHeal.MainDescription:					Restituisce il {0}% di salute, vigore e mana.
SpellDescription.OmniHarm.MainDescription:					Il bersaglio perde {0} vigore e {1} mana.
SpellDescription.OmniLifeDrain.MainDescription:				Infligge danno; restituisce al lanciatore il {0}% come salute, {1}% come mana e {2}% come vigore.
SpellDescription.PowerHeal.MainDescription:					Ripristina il {0}% del mana del bersaglio.
SpellDescription.Silence.MainDescription:					Mette a tacere il nemico per {0} s.
SpellDescription.IllusionSpell.MainDescription1:			L'evocatore crea {0} {1} illusioni che lo circondano e confondono i nemici.
SpellDescription.IllusionSpell.MainDescription2:			Le illusioni infliggono il {0}% del danno dell'evocatore, hanno il {1}% della sua salute massima e svaniscono dopo {2} s.
SpellDescription.IllusionSpell.SubDescription1:				L'evocatore assume la forma di una creatura e le {0} illusioni ne condividono l'aspetto.
SpellDescription.IllusionSpell.SubDescription2a:			Le illusioni si muovono con l'evocatore e imitano movimenti, stili e incantesimi.
SpellDescription.IllusionSpell.SubDescription2b:			Se il lanciatore si muove, le illusioni svaniscono e l'incantesimo termina.
SpellDescription.Bump.MainDescriptionSingle:		Scaglia il nemico a {0} unità verso l'alto e lo proietta avanti del {1}%–{2}% della distanza massima, stordendolo in aria.
SpellDescription.Bump.MainDescriptionArea:			Scaglia tutti i nemici entro {3} unità a {0} in alto e {1}%–{2}% in avanti, stordendoli in aria.
SpellDescription.Bump.MainDescriptionCone:			Scaglia i nemici nel cono a {0} in alto e {1}%–{2}% in avanti, stordendoli in aria.
SpellDescription.Conversion.MainDescription:		Converte il {0}% di tutti i danni subiti in salute, vigore e mana.
SpellDescription.MagicConversion.MainDescription:	Converte il {0}% di tutti i danni magici subiti in salute, vigore e mana.
SpellDescription.Fury.MainDescription:				Conferisce il {0}% di probabilità di resistere al controllo e aumenta tutte le resistenze magiche del {0}%.
SpellDescription.HealthToFatigue.MainDescription:	Consuma il {0}% della tua salute e ripristina il {1}% del vigore perso.
SpellDescription.Chamber.MainDescription:			Permette di precaricare una camera con una magia primaria e una secondaria da scaricare istantaneamente sul bersaglio.
SpellDescription.Chamber.CanContainBolts:			Può contenere dardi.
SpellDescription.Chamber.CannotContainBolts:		Non può contenere dardi.
SpellDescription.FocusShell.MainDescription:		Riduce del {0}% il danno in mischia e da magia subito.
SpellDescription.FocusShell.OnlyInPvPORvR:			Utilizzabile solo in zone RvR o PvP.
SpellDescription.Powerless.MainDescription:			Permette di lanciare una magia secondaria senza costo di mana.
SpellDescription.Range.MainDescription:				Permette di lanciare una magia secondaria con portata {0}%.
SpellDescription.Uninterruptable.MainDescription:	Permette di lanciare una magia secondaria senza interruzione ma ne riduce l'efficacia del {0}%.
SpellDescription.Agony.ConditionDescription:		Richiede che il bersaglio sia sotto “Dread” e “Anguish”.
SpellDescription.Doom.ConditionDescription:			Richiede “Dread”, “Anguish” e “Agony”.
SpellDescription.Doom.Expires:						Alla scadenza:
SpellDescription.BuffShear.Str:						Rimuove i benefici che aumentano la Forza.
SpellDescription.BuffShear.Dex:						Rimuove i benefici che aumentano la Destrezza.
SpellDescription.BuffShear.Con:						Rimuove i benefici che aumentano la Costituzione.
SpellDescription.BuffShear.Acuity:					Rimuove i benefici che aumentano la Lucidità.
SpellDescription.BuffShear.StrCon:					Rimuove i benefici Forza/Costituzione.
SpellDescription.BuffShear.DexQui:					Rimuove i benefici Destrezza/Velocità.
SpellDescription.BuffShear.Random:					Rimuove casualmente un beneficio positivo.
SpellDescription.BuffShear.Ablative:				Rimuove tutti gli scudi ablativi.
SpellDescription.ResistBuff.MainDescription:				Aumenta la resistenza a {0} del {1}%.
SpellDescription.BodySpiritEnergyBuff.MainDescription:		Aumenta la resistenza a Corpo, Spirito ed Energia del {0}%.
SpellDescription.HeatColdMatterBuff.MainDescription:		Aumenta la resistenza a Calore, Freddo e Materia del {0}%.
SpellDescription.AllMagicResistsBuff.MainDescription:		Aumenta tutte le resistenze magiche del {0}%.
SpellDescription.SecondaryMagicResistsBuff.MainDescription:	Aumenta le resistenze magiche secondarie del {0}%.
SpellDescription.AllMeleeResistsBuff.MainDescription:		Aumenta le resistenze al danno in mischia del {0}%.
SpellDescription.AllResistsBuff.MainDescription:			Aumenta tutte le resistenze del {0}%.
SpellDescription.EssenceBuff.MainDescription:				Aumenta la resistenza al danno “Essenza” del {0}%.
SpellDescription.ResistDebuff.MainDescription:				Riduce la resistenza a {0} del bersaglio del {1}%.
SpellDescription.CrushSlashThrustDebuff.MainDescription:	Riduce le resistenze al danno in mischia del {0}%.
SpellDescription.EssenceDebuff.MainDescription:				Riduce le resistenze al danno “Essenza”.
SpellDescription.DualStatDebuff.MainDescription:			Riduce {0} e {1} del bersaglio di {2}.
SpellDescription.DualStatBuff.MainDescription:				Aumenta {0} e {1} di {2}.
SpellDescription.SingleStatBuff.MainDescription:			Aumenta {0} di {1}.
SpellDescription.CombatSpeedBuff.MainDescription:			Aumenta la velocità d'attacco del {0}%.
SpellDescription.FatigueConsumptionBuff.MainDescription:	Le azioni consumano il {0}% in meno di vigore.
SpellDescription.DPSBuff.MainDescription:					Aumenta il DPS del {0}%.
SpellDescription.MeleeDamageBuff.MainDescription:			Infliggi il {0}% di danno in mischia in più.
SpellDescription.MesmerizeDurationBuff.MainDescription:		Riduce l'efficacia delle magie di ipnosi del {0}%.
SpellDescription.EvadeChanceBuff.MainDescription:			Conferisce il {0}% di probabilità di schivare.
SpellDescription.ParryChanceBuff.MainDescription:			Conferisce il {0}% di probabilità di parare.
SpellDescription.WeaponSkillBuff.MainDescription:			Aumenta la perizia con {0} del {1}%.
SpellDescription.StealthSkillBuff.MainDescription:			Aumenta l'abilità Furtività {0} del {1}%.
SpellDescription.FlexibleSkillBuff.MainDescription:			Aumenta l'abilità Flessibile {0} del {1}%.
SpellDescription.ResiPierceBuff.MainDescription:			Conferisce il {0}% di probabilità di penetrare le resistenze magiche.
SpellDescription.CriticalMagicalBuff.MainDescription:		Aumenta la probabilità di critico delle magie del {0}%.
SpellDescription.CriticalMeleeBuff.MainDescription:			Aumenta la probabilità di critico in mischia del {0}%.
SpellDescription.SingleStatDebuff.MainDescription:			Riduce {0} di {1}.
SpellDescription.CombatSpeedDebuff.MainDescription:			Riduce la velocità d'attacco del bersaglio del {0}%.
SpellDescription.MeleeDamageDebuff.MainDescription:			Il bersaglio infligge il {0}% in meno di danno in mischia.
SpellDescription.FatigueConsumptionDebuff.MainDescription:	Aumenta del {0}% il vigore consumato in combattimento dal bersaglio.
SpellDescription.FumbleChanceDebuff.MainDescription:		Aumenta la probabilità di inciampo del bersaglio del {0}%.
SpellDescription.DPSDebuff.MainDescription:					Riduce il DPS del {0}%.
SpellDescription.SkillsDebuff.MainDescription:				Riduce le abilità del {0}%.
SpellDescription.Warlock.SecondarySpell:					Questa è una magia secondaria.
SpellDescription.Warlock.PrimarySpell:						Questa è una magia primaria.
SpellDescription.AllStatsDebuff.MainDescription:			Riduce tutti gli attributi del bersaglio di {0}.
SpellDescription.AllStatsPercentDebuff.MainDescription:		Riduce tutti gli attributi del bersaglio del {0}%.
SpellDescription.Morph.MainDescription:						Il bersaglio è stato trasformato in {0}.
SpellDescription.PowerRend.MainDescription:					Il bersaglio perde il {0}% del suo mana.
SpellDescription.SummonAnimistFnF.MainDescription:		Evoca una torretta fissa sul tuo bersaglio a terra che attacca i nemici a portata.
SpellDescription.Bomber.MainDescription:				Evoca uno spirito elementale che vola verso il bersaglio, esplode e lancia la sua magia all'arrivo.
SpellDescription.SavageParryBuff.MainDescription:		Aumenta la tua probabilità di parare del {0}%.
SpellDescription.SavageEvadeBuff.MainDescription:		Aumenta la tua probabilità di schivare del {0}%.
SpellDescription.SavageCombatSpeedBuff.MainDescription:	Aumenta la tua velocità d'attacco del {0}%.
SpellDescription.SavageDPSBuff.MainDescription:			Aumenta il tuo danno in mischia di {0}.
SpellDescription.SavageEnduranceHeal.MainDescription:	Ripristini {0} vigore a costo di parte della tua salute.
SpellDescription.Archery.SingleTarget:					Infligge {0} {1} al bersaglio.
SpellDescription.Archery.AreaTarget:					Infligge {0} {1} al bersaglio e dintorni.
SpellDescription.Archery.SecondaryEffectiveness:		L'efficacia del tiro aumenta del {0}%.
SpellDescription.WarlockSpeedDecrease.Frog:				Trasforma il bersaglio in una rana!
SpellDescription.MaidenKiss.MainDescription:			Cura lo stato “Rana” del bersaglio.
SpellDescription.ArawnCure.MainDescription:				Cura veleno, malattia e malus da resurrezione.
SpellDescription.Fear.SingleTarget:						Spaventa il nemico selezionato. Non colpisce pet né bersagli sopra il livello {0}.
SpellDescription.Fear.AreaTarget:						Spaventa i mostri nemici entro {1} di raggio attorno al lanciatore. Non colpisce sopra il livello {0}.
SpellDescription.FearServant.SingleTarget:				Spaventa un pet nemico. Non colpisce sopra il livello {0}.
SpellDescription.FearServant.AreaTarget:				Spaventa i pet nemici entro {1} di raggio. Non colpisce sopra il livello {0}.
SpellDescription.FearServant.SingleTarget&Npc:			Spaventa il nemico selezionato. Non colpisce sopra il livello {0}.
SpellDescription.FearServant.AreaTarget&Npc:			Spaventa i nemici entro {1} di raggio. Non colpisce sopra il livello {0}.
SpellDescription.FearServant.PetDescription:			Sotto paura i pet non possono essere controllati o liberati dal loro padrone.
SpellDescription.BainsheePulseDmg.MainDescription:		Il bersaglio subisce {0} {1}.
SpellDescription.BainsheePulseDmg.AreaDescription:		Colpisce tutti i nemici vicino al lanciatore.
SpellDescription.BainsheePulseDmg.SecondaryDescription:	Rilanciare durante l'effetto lo annulla. Termina se il lanciatore si muove.
SpellDescription.BeFriend.MainDescriptionArea:			Incanta temporaneamente (fino al livello {0}) i mostri vicini rendendoli amichevoli e alleati.
SpellDescription.BeFriend.MainDescriptionSingle:		Incanta temporaneamente (fino al livello {0}) il mostro selezionato rendendolo amichevole e alleato.
SpellDescription.VampiirStealthDetection.MainDescription:	Aumenta la rilevazione dei nemici furtivi del {0}%.
SpellDescription.VampiirSkillBonusDeBuff.MainDescription:	Riduce temporaneamente i bonus abilità del bersaglio del {0}%.
SpellDescription.VampiirMeleeResistance.MainDescription:	Aumenta le resistenze al danno in mischia del {0}%.
SpellDescription.VampiirMagicResistance.MainDescription:	Aumenta la probabilità di resistere al danno magico del {0}%.
SpellDescription.VampiirEffectivenessDeBuff.MainDescription:	Riduce temporaneamente l'efficacia del bersaglio del {0}%.
SpellDescription.VampiirEffectivenessDeBuff.CombatCastable:	Lanciabile in combattimento.
SpellDescription.VampiirArmorDebuff.MainDescription:		Riduce temporaneamente assorbimento e fattore armatura di un pezzo casuale (elmo, torso o gambe) del {0}%.
SpellDescription.VampiirArmorDebuff.AdditionalInfo:			Colpisce solo elmo, torso o gambe.
SpellDescription.VampiirBolt.MainDescription:			Assorbe il {0}% del mana del bersaglio e lo trasferisce al lanciatore.
SpellDescription.VampiirBolt.MainDescription2:			Non colpisce bersagli sopra il livello {0}.
SpellDescription.IllusionBlade.Part1:					Evoca un'arma spettrale che combatte al tuo fianco per poco prima di svanire.
SpellDescription.IllusionBlade.Part2:					Agisce autonomamente e non può essere controllata, liberata o curata.
SpellDescription.RangeShield.MainDescription:			Protegge il gruppo del lanciatore dagli attacchi fisici degli arcieri.
SpellDescription.PetSpell.MainDescription1:				Magie del pet:
SpellDescription.PetSpell.MainDescription2:				Aumenta i valori elencati del bersaglio.
SpellDescription.Ascendance.MainDescription:			Aumenta notevolmente l'efficacia di magie e abilità del {0}%.
SpellDescription.Ascendance.Restrictions:				Durante “Ascesa” non puoi lanciare cure o resurrezioni.
SpellDescription.Ascendance.Interaction:				“Maestro della Concentrazione” annulla “Ascesa” e viceversa.  
SpellDescription.Occultist.ConditionDescription1:		Non lanciabile in forma Ctonica.
SpellDescription.Occultist.ConditionDescription2:		Non lanciabile in forma Spirito o Derelitta.
SpellDescription.Occultist.Summon.UmbralAegis1:			Evoca un'Egida Corazzata. Eccelle nel provocare e assorbire danno.
SpellDescription.Occultist.Summon.UmbralAegis2:			Forma Spirito: ottiene DD a raggio 200, armatura aumentata, assorbimento magico e maggiore velocità di combattimento.
SpellDescription.Occultist.Summon.Soultorn1:			Evoca un'Anima Lacerata. Infligge danno di Materia ma è fragile a magia e fisico.
SpellDescription.Occultist.Summon.Soultorn2:			Forma Spirito: applica anche debuff Materia e Malattia.
SpellDescription.Occultist.Summon.UmbralHulk1:			Evoca un Colosso Corazzato, specialista nel danno fisico.
SpellDescription.Occultist.Summon.UmbralHulk2:			Forma Spirito: ottiene Carica di 5 s, Stordimento da schiena di 3 s e maggiore probabilità di colpo di mano secondaria.
SpellDescription.Occultist.Summon.ImageOfArawn1:		Evoca un'Immagine di Arawn. Guarisce gli alleati con cure singole del 12%.
SpellDescription.Occultist.Summon.ImageOfArawn2:		Forma Spirito: aggiunge cure a veleno, malattia e malus resurrezione e può rimuovere miopia.  
SpellDescription.Occultist.Summon.SuccubusArchDemon1:	Evoca una Succube demoniaca che ipnotizza il suo bersaglio.
SpellDescription.Occultist.Summon.SuccubusArchDemon2:	Forma Spirito: l'Arcidemone ottiene forte debuff Des/Vel e può rimuovere miopia.
SpellDescription.Occultist.SpiritShapeShift1:			Assumi forma spirituale. Il {0}% del danno subìto viene assorbito e convertito in mana.
SpellDescription.Occultist.SpiritShapeShift2:			La rigenerazione mana aumenta di {0} per livello e la rilevazione dei furtivi del {1}%.
SpellDescription.Occultist.SpiritShapeShift3:			I tuoi servitori diventano più robusti e ottengono abilità extra.
SpellDescription.Occultist.ChtonicShapeShift1:			Incarnazione del Cavaliere Ctonico. AF aumenta di {0} per livello; salute, AF e armi +{1}%, assorbimento in mischia +{2}% e resistenze magiche secondarie +{3}%.  
SpellDescription.Occultist.ChtonicShapeShift2:			Acquisisci anche la capacità di parare.
SpellDescription.Occultist.DecrepitShapeShift1:			Incarnazione del Mago Decrepito. Danno magico +{0}%.
SpellDescription.Occultist.DecrepitShapeShift2:			Assorbimento armatura +{0}%.
SpellDescription.Occultist.DecrepitShapeShift3:			Gli assalitori in mischia hanno il {0}% di applicare Malattia; la tua carne marcia rigenera e la rigenerazione salute aumenta di {1}.
SpellDescription.Occultist.BringerOfDeath1:				Incarnazione del Portatore di Morte. Le tue magie non possono essere interrotte ma funzionano al {0}%; subisci il {1}% di danni in meno, magici e fisici.
SpellDescription.Occultist.BringerOfDeath2:				Velocità di movimento +{0}% anche in speedwarp o in combattimento. Attivi anche i bonus di rigenerazione e la Malattia della forma Decrepita.
